"year","FIPS","grade","subject","female","lep","sped","age","white","black","hispanic","asian","amind","unclass","freelunch","redlunch","misslunch","books_125","books_26p","books_multmiss","lang_nr","lang_st","lang_mt","lang_om","score_000000","score_100000","score_010000","score_001000","score_000100","score_000010","score_000001","score_110000","score_101000","score_100100","score_100010","score_100001","score_011000","score_010100","score_010010","score_010001","score_001100","score_001010","score_001001","score_000110","score_000101","score_000011","score_111000","score_110100","score_110010","score_110001","score_101100","score_101010","score_101001","score_100110","score_100101","score_100011","score_011100","score_011010","score_011001","score_010110","score_010101","score_010011","score_001110","score_001101","score_001011","score_000111","score_111100","score_111010","score_111001","score_110110","score_110101","score_110011","score_101110","score_101101","score_101011","score_100111","score_011110","score_011101","score_011011","score_010111","score_001111","score_111110","score_111101","score_111011","score_110111","score_101111","score_011111","score_111111","rank"
1990,"Hawaii",8,"math",0.4736721,0.0184438,0.0366546,13.75132,0.1775897,0.0204953,0.103746,0.6749013,0.0101883,0.0130793,,,,0.0475901,0.9027734,0.0496364,0.4112122,0.426707,0.1551702,0.004823,250.704,242.399,,249.3907,247.82,247.7035,251.325,,238.863,240.8527,240.9417,240.8913,,,,,246.8131,246.3619,249.7734,245.7596,248.5291,248.3503,,,,,237.9702,237.4975,238.2041,239.8511,239.4059,239.3979,,,,,,,244.6804,247.3288,246.851,246.4477,,,,,,,236.9935,237.2375,236.7902,238.371,,,,,245.2437,,,,,236.2254,,,11
1990,"Idaho",8,"math",0.4751857,0.0035364,0.0405547,13.97586,0.8968937,0.0021247,0.0631125,0.0131069,0.0227463,0.0020159,,,,0.0179123,0.9608594,0.0212283,0.6755812,0.2828007,0.038537,0.002892,271.5391,263.4719,,269.6779,268.8056,271.3178,269.8447,,262.7334,260.9005,263.1848,263.1007,,,,,267.3085,269.4476,268.8935,268.7774,267.2056,269.5349,,,,,260.389,262.4651,262.4988,260.8139,260.602,262.8217,,,,,,,267.2635,266.5108,268.5968,267.1118,,,,,,,260.3061,260.1995,262.2365,260.5173,,,,,266.4163,,,,,260.1181,,,12
1990,"Illinois",8,"math",0.4824862,0.002774,0.0396886,13.92524,0.6715882,0.1678194,0.123512,0.027249,0.0091981,0.0006333,,,,0.0448696,0.9225078,0.0326227,0.7052042,0.2081908,0.0841604,0.0021389,260.3007,259.3604,,258.4116,257.5338,259.4529,259.0479,,258.131,256.6848,258.4787,259.0432,,,,,256.0138,257.5498,257.8581,257.0475,256.3825,258.0827,,,,,255.7688,257.2888,257.9519,256.1639,256.4601,258.1393,,,,,,,255.4967,255.4852,256.9165,255.7992,,,,,,,255.2575,255.6556,257.0863,255.9161,,,,,254.9004,,,,,255.1214,,,13
1990,"Indiana",8,"math",0.4901375,0.0007576,0.0238603,14.12016,0.8445537,0.0880253,0.0442266,0.0112911,0.0115304,0.0003729,,,,0.0333655,0.9280976,0.0385369,0.7657359,0.1919903,0.0346634,0.0061924,266.9686,261.0941,,265.0054,263.5906,268.5333,265.0655,,260.447,257.8847,262.502,260.9162,,,,,262.0371,266.5744,264.1815,264.9048,261.7676,266.5343,,,,,257.475,261.8377,260.392,259.0823,257.7698,262.2717,,,,,,,263.374,261.1595,265.6406,263.0404,,,,,,,258.6648,257.4565,261.7303,258.929,,,,,262.4334,,,,,258.6077,,,14
1990,"Iowa",8,"math",0.4970415,0.0038048,0.0602442,14.08719,0.9134684,0.0197077,0.0428716,0.0085416,0.0143549,0.001056,,,,0.016176,0.9630881,0.0207359,0.7874281,0.1761032,0.0314673,0.0047128,278.1823,269.97,,276.3311,276.209,279.339,276.1221,,269.4316,268.1451,270.9973,269.7866,,,,,274.6811,277.4893,275.3912,277.1548,274.2186,277.1558,,,,,267.7703,270.4476,269.3671,268.9937,268.013,270.7605,,,,,,,275.6388,273.6792,276.4191,275.0925,,,,,,,268.6138,267.7337,270.3294,268.822,,,,,274.5538,,,,,268.5375,,,15
1990,"Kentucky",8,"math",0.4939937,0.0003429,0.0280085,14.10539,0.8505852,0.0856341,0.0442213,0.005959,0.0132378,0.0003627,,,,0.0582672,0.9059502,0.0357825,0.8247721,0.1527771,0.0188472,0.0024005,256.4678,250.5625,,254.4894,253.25,257.8497,254.0496,,249.9219,247.4954,251.7807,250.2295,,,,,251.6747,255.8742,253.3438,254.4222,250.9353,255.2901,,,,,247.0855,251.1267,249.7628,248.5458,247.2495,251.378,,,,,,,252.8651,250.471,254.5756,252.0274,,,,,,,248.1293,246.9775,250.8972,248.2471,,,,,251.5642,,,,,247.9682,,,16
1990,"Louisiana",8,"math",0.5044765,0.0014591,0.0236631,14.12238,0.5486904,0.3759421,0.053809,0.0096781,0.0115626,0.0003177,,,,0.062439,0.8937011,0.0438599,0.6818593,0.2670878,0.0456969,0.0029527,245.6193,250.0371,,243.6819,242.2337,247.2114,243.989,,249.3242,246.6417,251.3734,249.5764,,,,,240.7032,245.2786,242.9422,243.5684,240.707,245.5524,,,,,246.1847,250.6458,249.0098,247.7954,246.2856,250.8952,,,,,,,242.0615,239.9592,244.4962,242.0497,,,,,,,247.3312,245.9428,250.3129,247.4247,,,,,241.3031,,,,,247.0742,,,17
1990,"Maryland",8,"math",0.4901181,0.0081232,0.0567519,13.86044,0.5939302,0.2794366,0.0723322,0.0387614,0.0148381,0.0007014,,,,0.0348718,0.9321758,0.0326638,0.6870478,0.2434197,0.0642853,0.0052471,260.4713,262.052,,258.7787,258.3632,258.8214,259.145,,261.2704,259.98,260.3456,261.7229,,,,,256.982,257.1095,258.2073,257.2558,257.1065,257.3518,,,,,259.4125,259.6123,261.083,258.8199,259.7191,260.0157,,,,,,,255.8268,256.3965,256.4456,255.8703,,,,,,,258.2655,259.2661,259.4216,258.551,,,,,255.1581,,,,,258.111,,,18
1990,"Michigan",8,"math",0.475784,0.002795,0.038672,13.99169,0.773872,0.1316954,0.0506225,0.0187007,0.0225235,0.0025859,,,,0.025672,0.9416917,0.0326363,0.7395335,0.1953676,0.0552527,0.0083476,264.0947,260.1654,,262.2063,261.2885,264.0693,262.6043,,259.4585,257.464,260.0297,260.1042,,,,,259.7712,262.1733,261.6225,261.4077,259.8558,262.4476,,,,,256.9841,259.338,259.4863,257.4958,257.4473,259.9348,,,,,,,259.8778,259.1397,261.4773,259.8824,,,,,,,257.0183,257.0376,259.3317,257.4517,,,,,259.1657,,,,,257.0446,,,19
1990,"Minnesota",8,"math",0.5014025,0.0063398,0.0567292,14.05496,0.8969603,0.022931,0.032198,0.0295136,0.0172255,0.0011716,,,,0.0187938,0.9549065,0.0262997,0.7252069,0.2354258,0.0365891,0.0023903,275.6286,267.2302,,273.8705,273.5196,276.3863,273.738,,266.7402,265.3084,267.9086,266.914,,,,,272.0807,274.6271,272.9683,274.1793,271.7175,274.4073,,,,,264.9777,267.4135,266.5442,265.9038,265.0594,267.5716,,,,,,,272.7448,271.1501,273.6367,272.3245,,,,,,,265.57,264.8243,267.1955,265.6378,,,,,271.7575,,,,,265.3993,,,20
