FIPS,year,profmean,pct,sepct,semean,diff,profmean_stnd,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,score_m1,score_m2,score_m3,score_m4,score_m5,score_m6,score_m7,score_m8,score_m9,score_m10,score_m11,score_m12,score_m13,score_m14,score_m15,score_m16,score_m17,score_m18,score_m19,score_m20,score_m21,score_m22,score_m23,score_m24,score_m25,score_m26,score_m27,score_m28,score_m29,score_m30,score_m31,score_m32,score_m33,score_m34,score_m35,score_m36,score_m37,score_m38,score_m39,score_m40,score_m41,score_m42,score_m43,score_m44,score_m45,score_m46,score_m47,score_m48,score_m49,score_m50,score_m51,score_m52,score_m53,score_m54,score_m55,score_m56,score_m57,score_m58,score_m59,score_m60,score_m61,score_m62,score_m63,score_m64,score_m65,score_m65_r
"Alabama",1992,244.330,0.000,0.00000,919.04034,-2.024826,-.2887082,.4438036,0,.0911802,14.01294,.5182806,.4185729,.0427139,.0067297,.0137029,0,,,,.054383,.8868437,.0587734,244.3303,249.0804,,243.9253,247.1008,246.1129,243.6471,,249.2785,251.6486,250.6963,249.2704,,,,,246.5798,245.7657,243.7288,248.2331,246.3152,245.3753,,,,,251.6943,250.8896,249.4993,252.6876,251.7696,250.7951,,,,,,,247.786,246.2499,245.4701,247.4408,,,,,,,252.7514,251.849,251.0193,252.7535,,,,,247.4089,,,,,252.849,,,,
"Alabama",1994,236.640,0.005,0.00470,,-9.80e-08,-.4946961,.4720298,0,.0514582,13.94224,.3876508,.5468874,.0444646,.0076539,.0074062,.005937,,,,.0939967,.8378671,.0681362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama",1998,255.227,0.001,0.00092,13.42184,1.11e-08,-.2096422,.5018407,.0011128,.0601035,14.11725,.6242353,.3120276,.0402677,.0107148,.0127545,0,.3335893,.0710375,.0107722,.0713915,.882879,.0457295,255.2266,255.8335,256.8417,253.8983,255.2802,256.4775,253.6017,256.958,255.9372,255.8098,256.8723,255.8578,255.6608,256.687,257.7339,255.9198,254.1082,255.1763,253.1885,256.1525,253.6856,254.7477,256.9673,256.7199,257.725,256.9485,255.8974,256.973,255.9911,256.548,255.8605,256.8303,255.6633,256.5795,255.4211,257.2852,255.7364,256.6784,255.0242,253.3259,254.3413,254.5072,256.7375,257.7431,256.9974,257.2598,256.744,257.6605,256.649,255.9716,256.9606,256.5548,256.2993,255.3178,256.1941,256.2632,254.1684,257.2956,256.793,257.7166,257.2477,256.6776,255.8662,257.3126,,
"Alabama",2002,252.502,0.001,0.00071,13.77011,3.22e-10,-.3011403,.4922909,.0047434,.1202318,14.1855,.6093102,.3699582,.0120386,.0045234,.0034374,.0007322,.3520837,.0775597,.1363408,.3334401,.661925,.0046349,252.5017,254.1835,255.4802,250.6676,253.7506,254.6674,251.7138,255.8825,253.9446,255.2996,256.1082,254.9311,253.7008,256.4904,257.1772,255.2227,252.0626,252.8862,250.7952,255.2133,252.7988,253.7836,255.5156,256.8087,257.4864,256.5822,255.0482,255.8644,254.696,256.6187,255.8921,256.752,254.8964,255.4602,254.1785,257.5863,256.0321,256.7835,253.6034,251.9536,252.8768,254.2411,256.4638,257.1353,256.2337,257.8882,257.3699,258.0999,256.3879,255.653,256.5122,257.1519,256.0689,255.1079,255.7686,257.0755,253.4301,257.575,257.0472,257.7642,258.401,256.9308,256.1922,258.1057,,
"Alabama",2003,253.173,0.001,0.00065,14.41431,-1.44e-08,-.2479306,.4993251,.0077036,.1052255,14.18123,.6270252,.3489791,.0104638,.0081893,.0051651,.0001775,.3860054,.0949388,.0010819,.3499784,.6486006,.0014209,253.1726,253.8457,255.9752,251.4143,253.3437,255.2942,251.1451,255.7351,253.6556,253.9388,255.7481,253.7085,254.3139,255.8806,257.5619,254.7269,251.7865,253.5883,250.5024,254.8199,251.3691,253.169,255.4102,255.5495,257.23,255.5767,253.7757,255.553,253.6061,255.285,253.853,255.5171,254.4355,255.9592,253.9327,256.9387,254.6136,256.1677,253.344,250.805,252.5388,252.8169,255.2855,256.9199,255.3476,256.5922,255.4487,256.9919,255.1437,253.7612,255.4098,255.1383,255.57,253.9398,255.4029,255.6061,252.2903,256.3595,255.2623,256.7753,256.4401,255.066,254.9751,256.2816,256.1912,256.1912
"Alabama",2005,251.978,0.001,0.00065,14.07361,-2.42e-08,-.2568016,.4968538,.0126222,.1095956,14.16777,.5799341,.3802581,.0211506,.0099943,.0053399,.0033231,.4043964,.094713,.0119063,.3866575,.6097983,.0035442,251.9784,253.4869,254.652,250.3798,252.5875,253.767,249.9111,255.0486,253.4437,253.9955,255.0464,253.2126,253.1213,254.9954,255.9926,253.3524,251.1447,252.2111,249.3947,253.8129,250.5676,251.6112,254.8825,255.3223,256.2855,254.7823,253.9357,254.999,253.2682,255.081,253.7715,254.7016,253.646,254.5081,252.6681,255.8758,253.6749,254.5569,252.4351,250.0901,251.1054,251.7629,255.1722,256.1324,254.7181,256.1702,255.108,255.9574,255.0393,253.7929,254.7528,254.8112,254.5861,253.0775,253.8969,254.4904,251.3162,256.0464,255.0414,255.9043,255.9163,254.8491,253.9273,255.8734,256.3802,255.8324
"Alabama",2007,251.937,0.001,0.00058,14.32618,1.34e-07,-.279645,.4974724,.0132084,.0959812,14.18204,.6031072,.3589728,.0258405,.0073185,.0043572,.0004037,.4089908,.0830256,.0021183,.4161781,.5816665,.0021554,251.9369,252.5836,253.9881,250.1971,252.1341,253.8721,249.7688,253.994,252.5426,252.6905,254.2758,252.4156,252.4171,253.9975,255.4659,252.7337,250.5915,252.1783,249.2343,253.479,249.9976,251.6007,253.8421,253.9027,255.3553,253.8446,252.6513,254.2301,252.4847,253.887,252.5525,254.0283,252.6268,253.9487,252.0706,254.9798,252.6951,254.0632,252.0084,249.5262,251.0776,251.3068,253.7794,255.2178,253.803,254.8495,253.7835,255.136,253.8679,252.6042,254.0928,253.6983,253.6792,252.1301,253.4281,253.6086,250.8698,254.7562,253.7512,255.1068,254.6863,253.7684,253.0841,254.681,255.5698,254.6402
"Alabama",2009,254.895,0.001,0.00059,13.37245,6.98e-09,-.2287182,.4898211,.0126624,.0881106,14.15871,.6013619,.3482093,.0253036,.0111908,.0125262,.0014081,.40571,.0926953,.000319,.4060954,.5923781,.0015264,254.8952,255.1257,256.4606,253.3085,254.542,256.5008,252.5876,256.3511,255.3652,254.6989,256.4711,254.9701,255.0635,255.9897,257.6902,255.1632,253.1668,254.9503,252.2427,255.679,252.2853,254.0682,256.4711,255.7655,257.4258,256.2143,254.9187,256.7065,255.2995,255.6716,254.5867,256.2426,254.7907,256.3356,254.6877,256.8224,254.6527,256.229,254.3634,252.004,253.7329,253.3652,255.8899,257.5587,256.4264,256.5307,255.6707,257.2246,255.9097,254.8787,256.5678,255.5113,255.6819,254.2669,255.7769,255.4016,253.1134,256.6822,255.8697,257.4478,256.3942,255.8201,255.0503,256.6176,257.9879,256.608
"Alabama",2011,258.421,0.001,0.00066,14.03067,1.01e-08,-.1613261,.4957787,.0135265,.0880916,14.15457,.598416,.3314323,.0489811,.0113062,.0091897,.0006747,.4600357,.0683698,0,.4295273,.5686339,.0018389,258.4211,258.2171,259.7052,256.7701,257.9211,260.0449,256.0371,259.3741,258.3932,257.6447,259.5827,257.9979,258.2855,259.1346,260.9618,258.3507,256.4981,258.4301,255.6303,259.077,255.6128,257.5401,259.4389,258.6716,260.4737,259.1758,257.8184,259.7548,258.2607,258.638,257.4902,259.2938,257.92,259.5858,257.8403,259.9884,257.7619,259.4489,257.7141,255.2845,257.1428,256.7143,258.7546,260.5512,259.3285,259.4582,258.5349,260.2137,258.8299,257.7322,259.5524,258.4367,258.8342,257.3494,258.9623,258.5356,256.4157,259.5684,258.6881,260.3773,259.2809,258.6954,258.1586,259.4587,261.7458,259.485
"Alabama",2013,257.428,0.001,0.00060,31.50626,1.30e-08,-.2717067,.4889486,.0125884,.0876523,14.12032,.6022388,.3297912,.0409113,.0110943,.0096105,.0063539,.4858059,.0766363,0,.5027341,.4957139,.001552,257.4278,256.8224,258.97,255.8811,256.4421,258.7631,255.084,258.2774,257.2278,255.7922,257.8922,256.726,257.6045,257.9202,259.9866,257.6552,255.1398,257.2437,254.7873,257.4162,254.1718,256.2813,258.5277,257.0901,259.1004,258.1791,256.1787,258.294,257.1905,256.5947,255.7525,257.7309,256.7727,258.6508,257.218,258.6298,256.5812,258.498,256.1628,253.963,255.9923,255.0749,257.3482,259.3615,258.4976,257.7018,257.0489,258.9454,256.9977,256.1836,258.1917,256.5108,257.5289,256.2507,258.0784,257.1963,254.8912,257.9836,257.3603,259.2732,257.6226,256.957,256.8939,257.9552,260.911,257.9499
