year,FIPS,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,lang_nr,lang_st,lang_mt,lang_om,score_st_m1,score_m1,score_st_m2,score_m2,score_st_m3,score_m3,score_st_m4,score_m4,score_st_m5,score_m5,score_st_m6,score_m6,score_st_m7,score_m7,score_st_m8,score_m8,score_st_m9,score_m9,score_st_m10,score_m10,score_st_m11,score_m11,score_st_m12,score_m12,score_st_m13,score_m13,score_st_m14,score_m14,score_st_m15,score_m15,score_st_m16,score_m16,score_st_m17,score_m17,score_st_m18,score_m18,score_st_m19,score_m19,score_st_m20,score_m20,score_st_m21,score_m21,score_st_m22,score_m22,score_st_m23,score_m23,score_st_m24,score_m24,score_st_m25,score_m25,score_st_m26,score_m26,score_st_m27,score_m27,score_st_m28,score_m28,score_st_m29,score_m29,score_st_m30,score_m30,score_st_m31,score_m31,score_st_m32,score_m32,score_st_m33,score_m33,score_st_m34,score_m34,score_st_m35,score_m35,score_st_m36,score_m36,score_st_m37,score_m37,score_st_m38,score_m38,score_st_m39,score_m39,score_st_m40,score_m40,score_st_m41,score_m41,score_st_m42,score_m42,score_st_m43,score_m43,score_st_m44,score_m44,score_st_m45,score_m45,score_st_m46,score_m46,score_st_m47,score_m47,score_st_m48,score_m48,score_st_m49,score_m49,score_st_m50,score_m50,score_st_m51,score_m51,score_st_m52,score_m52,score_st_m53,score_m53,score_st_m54,score_m54,score_st_m55,score_m55,score_st_m56,score_m56,score_st_m57,score_m57,score_st_m58,score_m58,score_st_m59,score_m59,score_st_m60,score_m60,score_st_m61,score_m61,score_st_m62,score_m62,score_st_m63,score_m63,score_st_m64,score_m64
1992,Alabama,0.4871478,0.000854,0.0594347,10.0988,0.6102041,0.3166984,0.0409753,0.0076402,0.024482,0,,,,0.1067032,0.8164638,0.076833,0.8215653,0.1450544,0.0326508,0.0007295,-0.2919133,208.3279,-0.2535754,209.378,,,-0.3684973,206.2301,-0.3345339,207.1604,-0.2622144,209.1414,-0.3560575,206.5708,,,-0.2743648,208.8086,-0.2999496,208.1077,-0.2325604,209.9537,-0.2542681,209.3591,,,,,,,,,-0.4053034,205.2219,-0.3386894,207.0466,-0.3850594,205.7764,-0.3110353,207.8041,-0.4016479,205.322,-0.3298503,207.2887,,,,,,,,,-0.3166104,207.6514,-0.253564,209.3783,-0.2696923,208.9366,-0.2835507,208.5569,-0.3012244,208.0728,-0.2351385,209.883,,,,,,,,,,,,,-0.3812486,205.8808,-0.4266838,204.6363,-0.358915,206.4926,-0.3798623,205.9188,,,,,,,,,,,,,-0.300308,208.0979,-0.3131264,207.7468,-0.2507854,209.4544,-0.2860259,208.4891,,,,,,,,,-0.4047387,205.2374,,,,,,,,,-0.2980307,208.1603,,,,
1996,Alabama,0.5008874,0.002222,0.0501269,10.07521,0.6232728,0.2901632,0.0582442,0.0063225,0.021648,0.0003492,0.3679814,0.0728729,0.0707713,0.102087,0.8314045,0.0665085,0.8214532,0.1506063,0.0269184,0.001022,-0.28345,213.9783,-0.2593737,214.6377,-0.266149,214.4522,-0.3589123,211.9112,-0.3336396,212.6035,-0.2605485,214.6056,-0.3497326,212.1626,-0.2440821,215.0566,-0.2830786,213.9884,-0.3127996,213.1743,-0.2438324,215.0635,-0.2615636,214.5778,-0.3152573,213.107,-0.3117791,213.2023,-0.2509779,214.8677,-0.2887397,213.8334,-0.4030086,210.7033,-0.3360392,212.5377,-0.3768648,211.4194,-0.314453,213.129,-0.4028254,210.7083,-0.3305833,212.6872,-0.2649278,214.4856,-0.2950615,213.6602,-0.2324984,215.3739,-0.2427451,215.0932,-0.3317749,212.6545,-0.2675981,214.4125,-0.2792226,214.0941,-0.2996929,213.5333,-0.3154546,213.1016,-0.2478607,214.9531,-0.3572094,211.9578,-0.3003299,213.5159,-0.3109619,213.2247,-0.300918,213.4998,-0.3389412,212.4583,-0.2774671,214.1421,-0.3834709,211.2385,-0.4258111,210.0787,-0.3577457,211.9432,-0.3856203,211.1796,-0.3119848,213.1966,-0.2533554,214.8026,-0.2587147,214.6558,-0.2861689,213.9038,-0.2945125,213.6752,-0.2327139,215.368,-0.3187312,213.0118,-0.329076,212.7285,-0.2655981,214.4673,-0.3035322,213.4282,-0.3459166,212.2672,-0.3581563,211.9319,-0.2996696,213.534,-0.3299161,212.7055,-0.4084904,210.5532,-0.3030108,213.4424,-0.3070694,213.3313,-0.2487013,214.9301,-0.2865155,213.8943,-0.317222,213.0532,-0.3488578,212.1866,-0.2990104,213.552
2000,Alabama,0.4980233,0.0047761,0.0706918,10.10045,0.5391618,0.348713,0.0805189,0.0101577,0.020781,0.0006676,0.4269539,0.0783029,0.0477274,0.1081664,0.7842685,0.1075651,0.7959635,0.1498576,0.0506686,0.0035103,-0.2222092,217.9411,-0.124284,220.6234,-0.1553764,219.7717,-0.2955772,215.9314,-0.2556757,217.0243,-0.1920342,218.7676,-0.276175,216.4628,-0.098208,221.3377,-0.1524512,219.8519,-0.1612196,219.6117,-0.1028197,221.2114,-0.1236393,220.6411,-0.2073526,218.348,-0.1878188,218.8831,-0.1367058,220.2832,-0.1737639,219.2681,-0.3238006,215.1583,-0.265261,216.7618,-0.306526,215.6315,-0.2324059,217.6617,-0.3127438,215.4611,-0.2491294,217.2037,-0.1235344,220.6439,-0.1345637,220.3418,-0.0826716,221.7633,-0.0947791,221.4316,-0.1848418,218.9646,-0.1311244,220.436,-0.146027,220.0278,-0.1450041,220.0558,-0.1615393,219.6029,-0.1040965,221.1764,-0.2362461,217.5565,-0.1887666,218.8571,-0.2006986,218.5303,-0.175345,219.2247,-0.2107863,218.254,-0.1586133,219.6831,-0.2999626,215.8112,-0.3394095,214.7307,-0.2795442,216.3705,-0.2909429,216.0583,-0.1559623,219.7557,-0.1080189,221.0689,-0.1154092,220.8665,-0.1238068,220.6365,-0.1322931,220.404,-0.0808228,221.8139,-0.1687039,219.4067,-0.1799894,219.0975,-0.1266303,220.5591,-0.1465273,220.0141,-0.2232029,217.9138,-0.2346859,217.5993,-0.1854851,218.947,-0.1998689,218.553,-0.3174543,215.3321,-0.14511,220.0529,-0.149455,219.9339,-0.1014827,221.248,-0.1224279,220.6743,-0.1650598,219.5065,-0.2234459,217.9072,-0.1395175,220.2061
2003,Alabama,0.4851581,0.008133,0.0971275,10.1421,0.6099635,0.3609424,0.0107207,0.0054831,0.0110743,0.001816,0.467882,0.0980139,0.0009473,0.4028518,0.592006,0.0051422,0.6958468,0.2298642,0.0694462,0.0048428,-0.3872738,223.3446,-0.3374128,224.7104,-0.2856334,226.1288,-0.4578893,221.4104,-0.3992433,223.0168,-0.3450976,224.4999,-0.4326966,222.1004,-0.2688168,226.5894,-0.3446349,224.5126,-0.3536609,224.2654,-0.3060909,225.5684,-0.3367081,224.7297,-0.3387131,224.6748,-0.3000897,225.7328,-0.2600645,226.8291,-0.3052113,225.5925,-0.4657115,221.1961,-0.4152969,222.577,-0.468875,221.1094,-0.3688611,223.849,-0.4464826,221.7228,-0.3917658,223.2216,-0.2789843,226.3109,-0.28889,226.0396,-0.2477549,227.1663,-0.2685806,226.5959,-0.3594431,224.107,-0.3139111,225.3542,-0.3421777,224.5799,-0.3319255,224.8607,-0.3532178,224.2775,-0.3063549,225.5612,-0.3499501,224.367,-0.3127992,225.3846,-0.3376557,224.7038,-0.2841353,226.1698,-0.3227668,225.1116,-0.2818207,226.2332,-0.4343876,222.0541,-0.4795127,220.818,-0.4280661,222.2273,-0.4161922,222.5525,-0.2973014,225.8092,-0.2580053,226.8855,-0.2769283,226.3672,-0.2753753,226.4098,-0.2888443,226.0408,-0.2482324,227.1532,-0.3378762,224.6977,-0.357444,224.1617,-0.3124113,225.3953,-0.3320667,224.8569,-0.3330306,224.8305,-0.3522474,224.3041,-0.3140552,225.3502,-0.307489,225.5301,-0.4489949,221.654,-0.2836092,226.1842,-0.2956257,225.8551,-0.2566919,226.9215,-0.2757189,226.4003,-0.3364709,224.7362,-0.3364696,224.7363,-0.2823636,226.2183
2005,Alabama,0.4902139,0.0156133,0.1036706,10.14304,0.569113,0.3836812,0.0233109,0.008046,0.0132515,0.0025974,0.450193,0.1019322,0.0111734,0.4274898,0.5698788,0.0026315,0.7135235,0.2106648,0.0715939,0.0042177,-0.439846,225.0712,-0.3564922,227.3544,-0.3494126,227.5484,-0.504328,223.3049,-0.4464948,224.8891,-0.3973988,226.2339,-0.4848492,223.8385,-0.3060167,228.7371,-0.3626464,227.1859,-0.3675051,227.0528,-0.3250856,228.2147,-0.3554191,227.3839,-0.3976371,226.2274,-0.3586871,227.2943,-0.3232959,228.2638,-0.3677327,227.0466,-0.5073798,223.2214,-0.4614167,224.4804,-0.5149753,223.0133,-0.4162496,225.7176,-0.4936007,223.5988,-0.443873,224.9609,-0.3141011,228.5156,-0.3199083,228.3566,-0.2840093,229.3399,-0.3047736,228.7711,-0.372547,226.9147,-0.3318523,228.0294,-0.359372,227.2756,-0.3459812,227.6424,-0.3669531,227.0679,-0.325203,228.2115,-0.4040705,226.0512,-0.3710154,226.9566,-0.3953218,226.2908,-0.3425976,227.735,-0.3803559,226.7008,-0.3439094,227.6991,-0.4761501,224.0768,-0.5212191,222.8423,-0.474137,224.1319,-0.4636051,224.4204,-0.3266641,228.1715,-0.292186,229.1159,-0.3107737,228.6068,-0.3060457,228.7363,-0.3191508,228.3773,-0.2836691,229.3492,-0.3511917,227.4996,-0.3700227,226.9838,-0.3297584,228.0867,-0.346148,227.6378,-0.3869116,226.5212,-0.4054837,226.0125,-0.3712172,226.9511,-0.3650047,227.1213,-0.490982,223.6705,-0.3126138,228.5564,-0.3240313,228.2436,-0.2897936,229.1815,-0.3057802,228.7435,-0.3493959,227.5488,-0.3895751,226.4483,-0.3105161,228.6138
2007,Alabama,0.4857739,0.0204882,0.1006679,10.12191,0.5835461,0.3719696,0.0253405,0.0095861,0.0053529,0.004205,0.4531633,0.0970006,0,0.4355583,0.5618581,0.0025836,0.7216716,0.2033274,0.0721933,0.0028075,-0.3814501,228.52,-0.3131248,230.3916,-0.2936698,230.9245,-0.4419351,226.8632,-0.3905407,228.271,-0.3450918,229.5159,-0.4275297,227.2578,-0.2603315,231.8377,-0.3161605,230.3084,-0.3260934,230.0363,-0.2866615,231.1165,-0.3122429,230.4157,-0.3391892,229.6776,-0.3050383,230.6131,-0.2716531,231.5276,-0.3125988,230.406,-0.4475248,226.7101,-0.4052151,227.869,-0.4537516,226.5396,-0.3644249,228.9864,-0.438678,226.9524,-0.3929408,228.2053,-0.2660173,231.6819,-0.276206,231.4028,-0.2423289,232.3308,-0.2593882,231.8635,-0.3282753,229.9766,-0.2902385,231.0185,-0.3132263,230.3888,-0.3077685,230.5383,-0.3256782,230.0477,-0.2869532,231.1085,-0.3478192,229.4412,-0.3168706,230.289,-0.3374391,229.7256,-0.291341,230.9883,-0.3272742,230.004,-0.2930647,230.9411,-0.4205982,227.4477,-0.4625697,226.298,-0.4192771,227.4839,-0.4131134,227.6527,-0.2807574,231.2782,-0.2480922,232.1729,-0.263075,231.7625,-0.2647012,231.718,-0.2756857,231.4171,-0.2422785,232.3322,-0.3100991,230.4745,-0.3260316,230.038,-0.2884694,231.0669,-0.3080719,230.53,-0.3332928,229.8391,-0.3498138,229.3866,-0.3177019,230.2662,-0.3145147,230.3535,-0.4368005,227.0039,-0.2690935,231.5977,-0.2784454,231.3415,-0.2460698,232.2283,-0.2646764,231.7187,-0.3085825,230.516,-0.3366112,229.7482,-0.2673139,231.6464
2009,Alabama,0.4825876,0.022505,0.0914222,10.10958,0.6083345,0.3302628,0.0423367,0.0105625,0.004338,0.0041654,0.458817,0.0849495,0,0.4580611,0.5411896,0.0007493,0.7194535,0.1995453,0.0786837,0.0023175,-0.4017935,227.9626,-0.3619832,229.0531,-0.3151118,230.337,-0.4606246,226.3512,-0.4184025,227.5077,-0.3689858,228.8613,-0.445625,226.762,-0.3031241,230.6654,-0.3678932,228.8912,-0.3818371,228.5093,-0.3378285,229.7148,-0.3605998,229.091,-0.3595838,229.1189,-0.3331755,229.8422,-0.2954929,230.8744,-0.3331165,229.8438,-0.4734835,225.9989,-0.4275199,227.2579,-0.4714969,226.0533,-0.3943197,228.1674,-0.4642064,226.253,-0.4146538,227.6104,-0.3117382,230.4294,-0.3258646,230.0425,-0.28723,231.1008,-0.3019193,230.6984,-0.3863034,228.3869,-0.3441958,229.5404,-0.3644465,228.9857,-0.3647004,228.9787,-0.380875,228.5356,-0.3376265,229.7203,-0.3748212,228.7015,-0.3397954,229.6609,-0.3576677,229.1713,-0.3206713,230.1847,-0.35436,229.2619,-0.3159764,230.3133,-0.4486757,226.6785,-0.4874628,225.616,-0.4406219,226.8991,-0.4407564,226.8954,-0.332803,229.8524,-0.2959045,230.8631,-0.3085018,230.5181,-0.3153883,230.3295,-0.3250302,230.0653,-0.2869191,231.1093,-0.3692998,228.8527,-0.3835107,228.4635,-0.3419209,229.6027,-0.3644688,228.985,-0.3616109,229.0633,-0.3764648,228.6564,-0.3403834,229.6448,-0.342831,229.5777,-0.4638293,226.2634,-0.3221905,230.1431,-0.3301493,229.9251,-0.2935828,230.9267,-0.3150559,230.3386,-0.3672444,228.909,-0.3645568,228.9826,-0.320071,230.2012
2011,Alabama,0.4895926,0.0218403,0.0882196,10.08468,0.5980842,0.3241633,0.0484207,0.0105973,0.0137709,0.0049637,0.5071099,0.0702675,0,0.4479011,0.5433101,0.0087888,0.717676,0.1961107,0.0796967,0.0065166,-0.3170734,231.286,-0.2719194,232.5229,-0.1948567,234.6338,-0.3764496,229.6596,-0.3362868,230.7597,-0.291443,231.9881,-0.3563558,230.21,-0.1915843,234.7234,-0.2806394,232.284,-0.2945689,231.9025,-0.2541392,233.0099,-0.2671931,232.6523,-0.2428074,233.3203,-0.216538,234.0399,-0.1809527,235.0146,-0.21037,234.2088,-0.3917693,229.24,-0.3506791,230.3655,-0.3830288,229.4794,-0.3170886,231.2856,-0.3780392,229.6161,-0.3328897,230.8528,-0.2040429,234.3821,-0.2184919,233.9864,-0.1816161,234.9964,-0.1875145,234.8349,-0.3014278,231.7146,-0.2631446,232.7632,-0.273605,232.4767,-0.2815434,232.2592,-0.2907355,232.0075,-0.2506064,233.1067,-0.2613934,232.8112,-0.2292017,233.693,-0.2375746,233.4636,-0.207342,234.2918,-0.2357417,233.5139,-0.1992873,234.5124,-0.3720961,229.7788,-0.40191,228.9622,-0.3596171,230.1207,-0.359777,230.1163,-0.2287228,233.7061,-0.1940967,234.6546,-0.197611,234.5583,-0.2114594,234.179,-0.215191,234.0768,-0.178448,235.0832,-0.2884947,232.0688,-0.2955271,231.8762,-0.257297,232.9234,-0.2784351,232.3444,-0.2519571,233.0697,-0.2601885,232.8442,-0.2265386,233.7659,-0.2278238,233.7307,-0.3835235,229.4658,-0.2216162,233.9008,-0.2232917,233.8549,-0.1885742,234.8058,-0.2086614,234.2556,-0.2833236,232.2105,-0.2521237,233.0651,-0.216706,234.0353
2013,Alabama,0.4815527,0.0234249,0.092922,10.06139,0.596627,0.3020093,0.0650885,0.0161018,0.008337,0.0118364,0.526606,0.0599767,0,0.4583729,0.5377201,0.003907,0.7117024,0.1860228,0.0989975,0.0032772,-0.295187,232.8613,-0.2613421,233.7884,-0.1608455,236.5412,-0.3532639,231.2705,-0.3105764,232.4398,-0.2762669,233.3796,-0.3295337,231.9205,-0.1714544,236.2506,-0.2735875,233.453,-0.2794141,233.2934,-0.2485661,234.1384,-0.2565214,233.9205,-0.2090855,235.2198,-0.179529,236.0294,-0.1517564,236.7902,-0.175732,236.1334,-0.364996,230.9491,-0.334338,231.7889,-0.3583095,231.1323,-0.2963303,232.83,-0.3470847,231.4398,-0.3128066,232.3787,-0.187589,235.8086,-0.19479,235.6114,-0.1658124,236.4052,-0.1679981,236.3453,-0.2896021,233.0143,-0.2609464,233.7992,-0.2668783,233.6368,-0.2699626,233.5523,-0.2753954,233.4035,-0.2448948,234.2389,-0.2247229,234.7915,-0.2006216,235.4517,-0.2049349,235.3335,-0.1733477,236.1987,-0.1976968,235.5318,-0.1694156,236.3064,-0.3505152,231.3458,-0.3730814,230.7276,-0.3415956,231.5901,-0.3339309,231.8001,-0.2084167,235.2381,-0.1819391,235.9634,-0.1820682,235.9599,-0.1905133,235.7285,-0.1919542,235.6891,-0.1632047,236.4766,-0.2802047,233.2717,-0.2838787,233.1711,-0.2553751,233.9519,-0.2666521,233.643,-0.218675,234.9571,-0.2240743,234.8092,-0.1988144,235.5012,-0.1928852,235.6636,-0.3598662,231.0896,-0.2041179,235.3559,-0.2037112,235.367,-0.1772629,236.0915,-0.1881614,235.793,-0.2751898,233.4091,-0.2193146,234.9396,-0.1999035,235.4713
2015,Alabama,,,,,,,,,,,,,,,,,,,,,-2.156509,231,-2.122665,231.9271,-2.022171,234.6799,-2.2146,229.4092,-2.171906,230.5785,-2.137589,231.5183,-2.190857,230.0592,-2.032776,234.3893,-2.134918,231.5917,-2.140747,231.4321,-2.109894,232.277,-2.117844,232.0591,-2.070419,233.3585,-2.040863,234.1681,-2.013092,234.9288,-2.037064,234.2721,-2.226318,229.0878,-2.195663,229.9276,-2.219635,229.271,-2.157654,230.9687,-2.20842,229.5784,-2.174133,230.5174,-2.04892,233.9473,-2.056122,233.7501,-2.027145,234.5438,-2.029327,234.4839,-2.150925,231.153,-2.122269,231.9379,-2.128204,231.7754,-2.131287,231.6909,-2.136719,231.5421,-2.106216,232.3776,-2.086044,232.9301,-2.061951,233.5903,-2.066269,233.4722,-2.034683,234.3374,-2.059021,233.6704,-2.030746,234.4451,-2.211838,229.4845,-2.234406,228.8663,-2.202927,229.7288,-2.195251,229.9387,-2.069748,233.3768,-2.043274,234.1021,-2.043396,234.0985,-2.051834,233.8672,-2.053284,233.8277,-2.024536,234.6152,-2.141525,231.4104,-2.145203,231.3098,-2.116699,232.0905,-2.127975,231.7816,-2.080002,233.0958,-2.085403,232.9479,-2.060135,233.6398,-2.054214,233.8022,-2.221191,229.2283,-2.065445,233.4946,-2.065033,233.5057,-2.038589,234.2302,-2.049484,233.9316,-2.13652,231.5478,-2.080643,233.0783,-2.061234,233.61
