year,FIPS,profmean,pct,sepct,semean,diff,profmean_stnd,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,lang_nr,lang_st,lang_mt,lang_om,score_st_m1,score_m1,score_st_m2,score_m2,score_st_m3,score_m3,score_st_m4,score_m4,score_st_m5,score_m5,score_st_m6,score_m6,score_st_m7,score_m7,score_st_m8,score_m8,score_st_m9,score_m9,score_st_m10,score_m10,score_st_m11,score_m11,score_st_m12,score_m12,score_st_m13,score_m13,score_st_m14,score_m14,score_st_m15,score_m15,score_st_m16,score_m16,score_st_m17,score_m17,score_st_m18,score_m18,score_st_m19,score_m19,score_st_m20,score_m20,score_st_m21,score_m21,score_st_m22,score_m22,score_st_m23,score_m23,score_st_m24,score_m24,score_st_m25,score_m25,score_st_m26,score_m26,score_st_m27,score_m27,score_st_m28,score_m28,score_st_m29,score_m29,score_st_m30,score_m30,score_st_m31,score_m31,score_st_m32,score_m32,score_st_m33,score_m33,score_st_m34,score_m34,score_st_m35,score_m35,score_st_m36,score_m36,score_st_m37,score_m37,score_st_m38,score_m38,score_st_m39,score_m39,score_st_m40,score_m40,score_st_m41,score_m41,score_st_m42,score_m42,score_st_m43,score_m43,score_st_m44,score_m44,score_st_m45,score_m45,score_st_m46,score_m46,score_st_m47,score_m47,score_st_m48,score_m48,score_st_m49,score_m49,score_st_m50,score_m50,score_st_m51,score_m51,score_st_m52,score_m52,score_st_m53,score_m53,score_st_m54,score_m54,score_st_m55,score_m55,score_st_m56,score_m56,score_st_m57,score_m57,score_st_m58,score_m58,score_st_m59,score_m59,score_st_m60,score_m60,score_st_m61,score_m61,score_st_m62,score_m62,score_st_m63,score_m63,score_st_m64,score_m64
1992,"Alabama",244.330,0.000,0.00000,919.04034,-2.024826,-.2887082,.4438036,0,.0911802,14.01294,.5182806,.4185729,.0427139,.0067297,.0137029,0,,,,.054383,.8868437,.0587734,.8121055,.1442807,.0374078,.0062061,-.2887082,244.3303,-.1931623,247.4749,,,-.3517613,242.2551,-.2866334,244.3986,-.2838969,244.4886,-.3500898,242.3101,,,-.2152661,246.7475,-.1951659,247.409,-.1950355,247.4133,-.2004252,247.2359,,,,,,,,,-.3422353,242.5686,-.3475873,242.3924,-.3783541,241.3798,-.283355,244.5065,-.3460787,242.4421,-.350343,242.3017,,,,,,,,,-.2135249,246.8047,-.2170972,246.6872,-.218032,246.6564,-.1964113,247.368,-.2000618,247.2479,-.2042616,247.1096,,,,,,,,,,,,,-.3396682,242.6531,-.3705915,241.6353,-.3787203,241.3678,-.3464402,242.4302,,,,,,,,,,,,,-.2149288,246.7585,-.2147724,246.7637,-.221826,246.5316,-.2028163,247.1572,,,,,,,,,-.3712425,241.6139,,,,,,,,,-.2176782,246.6681,,,,
1994,"Alabama",236.640,0.005,0.00470,,-9.80e-08,-.4946961,.4720298,0,.0514582,13.94224,.3876508,.5468874,.0444646,.0076539,.0074062,.005937,,,,.0939967,.8378671,.0681362,.7936593,.1388113,.0557801,.0117492,-.4946961,236.6402,-.2911969,243.3378,,,-.5577493,234.5649,-.5469525,234.9203,-.5099577,236.1379,-.5426946,235.0604,,,-.3142722,242.5784,-.3478674,241.4727,-.3142683,242.5785,-.2911019,243.341,,,,,,,,,-.5993247,233.1966,-.5743567,234.0183,-.573043,234.0616,-.5554714,234.6399,-.5935021,233.3882,-.5637398,234.3678,,,,,,,,,-.3644913,240.9255,-.3372414,241.8224,-.3098863,242.7227,-.3618638,241.012,-.3456279,241.5464,-.3159469,242.5232,,,,,,,,,,,,,-.609362,232.8662,-.6170207,232.6142,-.5943639,233.3598,-.606391,232.964,,,,,,,,,,,,,-.3788509,240.4529,-.3588693,241.1106,-.3346272,241.9084,-.3610813,241.0378,,,,,,,,,-.6305682,232.1683,,,,,,,,,-.3746632,240.5907,,,,
1998,"Alabama",255.227,0.001,0.00092,13.42184,1.11e-08,-.2096422,.5018407,.0011128,.0601035,14.11725,.6242353,.3120276,.0402677,.0107148,.0127545,0,.3335893,.0710375,.0107722,.0713915,.882879,.0457295,.8062941,.1479937,.0382253,.0074868,-.2096422,255.2266,-.1899785,255.8738,-.1755069,256.3501,-.271304,253.1972,-.260758,253.5443,-.1669789,256.6308,-.2725235,253.157,-.1674836,256.6142,-.2102891,255.2054,-.2421248,254.1575,-.1529716,257.0918,-.1973194,255.6322,-.226882,254.6592,-.2261426,254.6836,-.1429049,257.4231,-.2108847,255.1857,-.3119738,251.8586,-.2279241,254.6249,-.2990974,252.2824,-.2288256,254.5953,-.3202631,251.5858,-.2335667,254.4392,-.1877734,255.9464,-.2208402,254.8581,-.1374628,257.6022,-.1735264,256.4153,-.2566514,253.6794,-.1733505,256.4211,-.213137,255.1116,-.2136726,255.094,-.2462057,254.0232,-.1629488,256.7634,-.2688537,253.2778,-.1935245,255.7571,-.2373884,254.3134,-.2028406,255.4505,-.2609543,253.5378,-.1828838,256.1073,-.2785832,252.9576,-.3406912,250.9135,-.259956,253.5707,-.2900717,252.5795,-.2356128,254.3719,-.1575397,256.9415,-.1897566,255.8811,-.1981777,255.604,-.2239172,254.7568,-.1458581,257.3259,-.2278225,254.6283,-.257223,253.6606,-.1788352,256.2406,-.2196157,254.8984,-.2441534,254.0908,-.2815925,252.8586,-.2089739,255.2486,-.2400272,254.2266,-.3098146,251.9297,-.2123826,255.1364,-.235471,254.3765,-.1619095,256.7976,-.2028709,255.4495,-.230295,254.5469,-.2598818,253.5731,-.2139257,255.0856
2002,"Alabama",252.502,0.001,0.00071,13.77011,3.22e-10,-.3011403,.4922909,.0047434,.1202318,14.1855,.6093102,.3699582,.0120386,.0045234,.0034374,.0007322,.3520837,.0775597,.1363408,.3334401,.661925,.0046349,.7329177,.1655315,.0354259,.0661249,-.3011403,252.5017,-.2635464,253.739,-.2163917,255.291,-.3582634,250.6216,-.2772138,253.2892,-.2352223,254.6712,-.2752017,253.3554,-.2121902,255.4293,-.272176,253.455,-.2429818,254.4158,-.2046922,255.6761,-.1938149,256.0341,-.2710403,253.4924,-.1978834,255.9001,-.1642565,257.0069,-.1775662,256.5688,-.328897,251.5882,-.2907498,252.8437,-.3051533,252.3696,-.2321123,254.7736,-.2664371,253.6439,-.2140726,255.3673,-.2246061,255.0206,-.1964585,255.9471,-.1628395,257.0535,-.145652,257.6192,-.2511436,254.1472,-.2134698,255.3872,-.2033793,255.7193,-.202075,255.7622,-.1878617,256.23,-.139744,257.8137,-.2463185,254.306,-.2169835,255.2715,-.2103889,255.4886,-.1638112,257.0215,-.1745082,256.6695,-.1308553,258.1062,-.2813826,253.152,-.2926428,252.7814,-.2436883,254.3926,-.2227995,255.0801,-.2074864,255.5841,-.1747753,256.6607,-.15835,257.2013,-.1627969,257.0549,-.1434418,257.692,-.1001972,259.1153,-.2095999,255.5145,-.19611,255.9585,-.1494442,257.4944,-.1495047,257.4924,-.2098345,255.5068,-.2026652,255.7428,-.1628249,257.054,-.1425596,257.721,-.2479771,254.2514,-.1728431,256.7243,-.1541442,257.3397,-.1125237,258.7096,-.1118177,258.7328,-.1572093,257.2388,-.1694589,256.8357,-.1216894,258.4079
2003,"Alabama",253.173,0.001,0.00065,14.41431,-1.44e-08,-.2479306,.4993251,.0077036,.1052255,14.18123,.6270252,.3489791,.0104638,.0081893,.0051651,.0001775,.3860054,.0949388,.0010819,.3499784,.6486006,.0014209,.8017974,.1520352,.0379925,.0081747,-.2479306,253.1726,-.2274782,253.8457,-.1627782,255.9752,-.3013529,251.4143,-.2427326,253.3437,-.1834689,255.2942,-.3095341,251.1451,-.1700726,255.7351,-.2332557,253.6556,-.2246523,253.9388,-.1696777,255.7481,-.2316481,253.7085,-.2132531,254.3139,-.1656511,255.8806,-.1145677,257.5619,-.2007045,254.7269,-.2900463,251.7865,-.2352996,253.5883,-.3290605,250.5024,-.1978782,254.8199,-.3027265,251.3691,-.2480403,253.169,-.1799449,255.4102,-.1757103,255.5495,-.124653,257.23,-.1748851,255.5767,-.2296069,253.7757,-.1756051,255.553,-.2347578,253.6061,-.183749,255.285,-.2272565,253.853,-.1766967,255.5171,-.2095585,254.4355,-.163264,255.9592,-.2248358,253.9327,-.1335026,256.9387,-.2041476,254.6136,-.1569283,256.1677,-.2427223,253.344,-.3198665,250.805,-.2671871,252.5388,-.2587389,252.8169,-.1837333,255.2855,-.1340738,256.9199,-.1818472,255.3476,-.1440314,256.5922,-.1787753,255.4487,-.1318851,256.9919,-.1880428,255.1437,-.2300479,253.7612,-.1799563,255.4098,-.1882054,255.1383,-.1750876,255.57,-.2246215,253.9398,-.1801653,255.4029,-.1739906,255.6061,-.2747371,252.2903,-.1511005,256.3595,-.1844394,255.2623,-.1384677,256.7753,-.1486513,256.4401,-.1904022,255.066,-.1931651,254.9751,-.1534691,256.2816
2005,"Alabama",251.978,0.001,0.00065,14.07361,-2.42e-08,-.2568016,.4968538,.0126222,.1095956,14.16777,.5799341,.3802581,.0211506,.0099943,.0053399,.0033231,.4043964,.094713,.0119063,.3866575,.6097983,.0035442,.758853,.1826352,.047198,.0113138,-.2568016,251.9784,-.2010894,253.812,-.1538792,255.3658,-.3040748,250.4225,-.2461495,252.329,-.1969249,253.9491,-.306348,250.3477,-.1421404,255.7522,-.204804,253.6898,-.1934935,254.062,-.1478961,255.5627,-.2023473,253.7706,-.2016745,253.7928,-.1527196,255.404,-.1097121,256.8195,-.1856103,254.3215,-.288377,250.9392,-.2426896,252.4429,-.3245332,249.7492,-.2047253,253.6924,-.2952429,250.7132,-.2488212,252.241,-.1503066,255.4834,-.1431063,255.7204,-.1006091,257.1191,-.1443877,255.6782,-.1969483,253.9483,-.1517513,255.4359,-.2039842,253.7168,-.1560601,255.2941,-.1941839,254.0393,-.1515899,255.4412,-.1944571,254.0303,-.1559184,255.2987,-.2096236,253.5311,-.1233891,256.3693,-.1856772,254.3193,-.1453033,255.6481,-.2446469,252.3784,-.3114479,250.1798,-.266651,251.6542,-.2543045,252.0606,-.1498948,255.497,-.108357,256.8641,-.1501335,255.4891,-.1142848,256.669,-.1445181,255.6739,-.1049021,256.9778,-.158902,255.2005,-.1959147,253.9823,-.1533674,255.3827,-.1582855,255.2208,-.1630517,255.0639,-.2061852,253.6443,-.1685188,254.884,-.1580162,255.2297,-.2694497,251.5621,-.120199,256.4743,-.1493158,255.516,-.1102959,256.8003,-.1169757,256.5804,-.1594635,255.182,-.1773641,254.5929,-.120995,256.4481
2007,"Alabama",251.937,0.001,0.00058,14.32618,1.34e-07,-.279645,.4974724,.0132084,.0959812,14.18204,.6031072,.3589728,.0258405,.0073185,.0043572,.0004037,.4089908,.0830256,.0021183,.4161781,.5816665,.0021554,.7586519,.1835635,.0442756,.013509,-.279645,251.9369,-.2391398,253.27,-.1806829,255.194,-.3261854,250.4051,-.2859841,251.7283,-.2149057,254.0676,-.3272586,250.3698,-.1785249,255.265,-.2427069,253.1526,-.2480201,252.9777,-.1809453,255.1853,-.2378655,253.312,-.2274344,253.6553,-.1950333,254.7217,-.1326966,256.7733,-.2100434,254.2276,-.3265568,250.3929,-.2597565,252.5915,-.3444588,249.8037,-.2404606,253.2265,-.3332738,250.1718,-.264856,252.4236,-.1867375,254.9947,-.1955247,254.7055,-.1329912,256.7636,-.1783908,255.2694,-.2505843,252.8933,-.184667,255.0629,-.2393287,253.2638,-.206346,254.3493,-.2464059,253.0309,-.18231,255.1404,-.2352169,253.3991,-.1775874,255.2959,-.232977,253.4728,-.1626658,255.787,-.2258621,253.707,-.1658953,255.6807,-.2783996,251.9779,-.3477612,249.695,-.2816606,251.8705,-.2880588,251.66,-.201693,254.5025,-.1407406,256.5086,-.1841351,255.0804,-.1633719,255.7637,-.1947731,254.7302,-.1350623,256.6955,-.2082184,254.2877,-.2472456,253.0032,-.1839278,255.0872,-.2063813,254.3482,-.2004058,254.5448,-.2448188,253.0831,-.1879069,254.9562,-.1950265,254.7219,-.301337,251.2229,-.168547,255.5934,-.1989203,254.5937,-.1404172,256.5192,-.1639862,255.7435,-.2065967,254.3411,-.2126183,254.1429,-.1672486,255.6361
2009,"Alabama",254.895,0.001,0.00059,13.37245,6.98e-09,-.2287182,.4898211,.0126624,.0881106,14.15871,.6013619,.3482093,.0253036,.0111908,.0125262,.0014081,.40571,.0926953,.000319,.4060954,.5923781,.0015264,.7674571,.1730113,.0472254,.0123062,-.2287182,254.8952,-.1913915,256.1238,-.1286207,258.1897,-.2759411,253.341,-.2448801,254.3633,-.1719296,256.7643,-.2775935,253.2866,-.1291806,258.1713,-.1965773,255.9531,-.2097217,255.5205,-.1409171,257.785,-.191058,256.1347,-.1759634,256.6315,-.1524303,257.4061,-.0870738,259.5571,-.1590918,257.1868,-.2854694,253.0274,-.2177523,255.2562,-.2953321,252.7028,-.204511,255.692,-.2928114,252.7858,-.2234822,255.0676,-.1389364,257.8502,-.1556802,257.2991,-.0904556,259.4458,-.13002,258.1436,-.2131971,255.4061,-.1462336,257.61,-.1939433,256.0398,-.1731302,256.7248,-.2084696,255.5617,-.14316,257.7112,-.1927371,256.0795,-.1329836,258.0461,-.1825031,256.4163,-.1240412,258.3404,-.1838651,256.3715,-.1216514,258.4191,-.2428436,254.4303,-.307294,252.3091,-.2408889,254.4947,-.2531574,254.0909,-.1627485,257.0665,-.0998347,259.1371,-.1371205,257.9099,-.1279171,258.2129,-.1553467,257.3101,-.0934558,259.3471,-.1760073,256.6301,-.2100998,255.508,-.1461757,257.6119,-.1735406,256.7113,-.1623372,257.08,-.2028721,255.7459,-.1443374,257.6724,-.1573259,257.2449,-.2665997,253.6485,-.1341499,258.0077,-.1602702,257.148,-.1002402,259.1238,-.1289667,258.1783,-.1746326,256.6754,-.1752076,256.6564,-.1331487,258.0407
2011,"Alabama",258.421,0.001,0.00066,14.03067,1.01e-08,-.1613261,.4957787,.0135265,.0880916,14.15457,.598416,.3314323,.0489811,.0113062,.0091897,.0006747,.4600357,.0683698,0,.4295273,.5686339,.0018389,.7695183,.1695525,.0587376,.0021915,-.1613261,258.4211,-.1209708,259.7493,-.0276083,262.8221,-.2074688,256.9024,-.1775117,257.8884,-.1059481,260.2437,-.2200169,256.4894,-.037938,262.4821,-.1304603,259.437,-.139358,259.1441,-.0712436,261.3859,-.1330058,259.3532,-.0779816,261.1642,-.0534568,261.9713,.011666,264.1147,-.0706672,261.4049,-.2171491,256.5838,-.1507266,258.77,-.2379556,255.899,-.1381279,259.1846,-.2324786,256.0793,-.1667521,258.2425,-.0535046,261.9698,-.0666067,261.5385,-.0013668,263.6858,-.0512548,262.0438,-.1464235,258.9116,-.0808545,261.0696,-.1395516,259.1378,-.1032944,260.3311,-.1477085,258.8693,-.0855452,260.9152,-.0963224,260.5605,-.0374984,262.4966,-.0967529,260.5464,-.0265133,262.8581,-.0947713,260.6116,-.0352678,262.57,-.1755643,257.9525,-.2472734,255.5923,-.184366,257.6628,-.1935574,257.3603,-.0784445,261.1489,-.0166172,263.1838,-.0634415,261.6427,-.0402612,262.4056,-.0760372,261.2282,-.0165969,263.1845,-.1097974,260.117,-.1525148,258.7111,-.0922135,260.6958,-.1132054,260.0049,-.0675913,261.5061,-.1160894,259.9099,-.0607243,261.7321,-.0696555,261.4382,-.2073377,256.9067,-.0513714,262.04,-.085234,260.9255,-.0285143,262.7923,-.0510055,262.052,-.1175034,259.8634,-.0899698,260.7696,-.0595536,261.7707
2013,"Alabama",257.428,0.001,0.00060,31.50626,1.30e-08,-.2717067,.4889486,.0125884,.0876523,14.12032,.6022388,.3297912,.0409113,.0110943,.0096105,.0063539,.4858059,.0766363,0,.5027341,.4957139,.001552,.7822664,.1557762,.0540278,.0079296,-.2717067,257.4278,-.2373543,258.5585,-.1132164,262.6442,-.3190222,255.8706,-.2884406,256.8771,-.2279972,258.8664,-.3252936,255.6642,-.135813,261.9005,-.2461329,258.2695,-.2560338,257.9437,-.1993707,259.8086,-.2417461,258.4139,-.1672216,260.8667,-.1415953,261.7101,-.0841093,263.6021,-.1519571,261.3691,-.3290774,255.5396,-.2743753,257.34,-.3431576,255.0762,-.2571922,257.9055,-.3398359,255.1855,-.2846797,257.0009,-.1522485,261.3595,-.1672233,260.8666,-.1106833,262.7275,-.1423294,261.686,-.2624922,257.7311,-.2082395,259.5167,-.2477569,258.2161,-.2282926,258.8567,-.2582321,257.8713,-.2061785,259.5845,-.1875239,260.1985,-.137651,261.84,-.1797816,260.4533,-.1213311,262.3771,-.1800459,260.4446,-.1276943,262.1677,-.2962397,256.6204,-.3544607,254.7042,-.3023125,256.4205,-.3099337,256.1697,-.1796749,260.4568,-.1269371,262.1926,-.1553307,261.2581,-.1487133,261.4759,-.1711348,260.7379,-.1192207,262.4465,-.234326,258.6581,-.2625122,257.7304,-.2122792,259.3838,-.2321458,258.7299,-.1662737,260.8979,-.2026901,259.6993,-.15523,261.2614,-.1624358,261.0242,-.3238161,255.7128,-.1607063,261.0811,-.1808519,260.4181,-.1320695,262.0237,-.154018,261.3013,-.2360464,258.6015,-.1845175,260.2975,-.1633331,260.9947
