FIPS,year,profmean,profmean_stnd,female,sped,age,hispanic,asian,amind,free_lunch,red_lunch,miss_lunch,combo_pct_free_lunch,combo_pct_red_lunch,combo_pct_miss_lunch,admin_survey,wtdn,white,black,paid_lunch,lang_nr,lang_st,lang_mt,lang_om,score_oldway,score_m1,score_m2,score_m3,score_m4,score_m5,score_m6,score_m7,score_m8,score_m9,score_m10,score_m11,score_m12,score_m13,score_m14,score_m15,score_m16,score_m17,score_m18,score_m19,score_m20,score_m21,score_m22,score_m23,score_m24,score_m25,score_m26,score_m27,score_m28,score_m29,score_m30,score_m31,score_m32,score_m33,score_m34,score_m35,score_m36,score_m37,score_m38,score_m39,score_m40,score_m41,score_m42,score_m43,score_m44,score_m45,score_m46,score_m47,score_m48,score_m49,score_m50,score_m51,score_m52,score_m53,score_m54,score_m55,score_m56,score_m57,score_m58,score_m59,score_m60,score_m61,score_m62,score_m63,score_m64,score_m65,score_m66,score_m67,score_m68,score_m69,score_m70,score_m71,score_m72,score_m73,score_m74,score_m75,score_m76,score_m77,score_m78,score_m79,score_m80,score_m81,score_m82,score_m83,score_m84,score_m85,score_m86,score_m87,score_m88,score_m89,score_m90,score_m91,score_m92,score_m93,score_m94,score_m95,score_m96
"Alabama",1998,255.227,-.1699404,.5018407,.0601035,14.11742,.0402677,.0107148,.0127545,.3335893,.0710375,.0107722,.3335893,.0710375,.0107722,1,23.80,.6242353,.3120276,.5775008,.8062941,.1479937,.0382253,.0074868,,255.2266,255.6135,256.7212,253.8129,255.1465,256.363,253.6154,256.7076,255.6624,255.4672,256.5416,255.6361,255.4758,256.4852,257.5502,255.8108,253.9073,254.9713,253.113,255.9443,253.5717,254.6467,256.666,256.3862,257.4042,256.7028,255.5148,256.5879,255.7112,256.132,255.5202,256.503,255.4087,256.3256,255.24,257.044,255.5501,256.5076,254.7422,253.1419,254.15,254.3165,256.3647,257.3702,256.6964,256.8803,256.4173,257.3481,256.1914,255.5881,256.5755,256.144,255.9997,255.073,255.9483,256.0372,253.9044,256.8749,256.4234,257.348,256.8773,256.2222,255.5784,256.8975,256.7212,256.7076,255.4758,256.4852,257.5502,255.8108,256.666,256.3862,257.4042,256.7028,255.4087,256.3256,255.24,257.044,255.5501,256.5076,256.3647,257.3702,256.6964,256.8803,256.4173,257.3481,255.9997,255.073,255.9483,256.0372,256.8749,256.4234,257.348,256.8773,255.5784,256.8975
"Alabama",2002,252.502,-.3011403,.4922909,.1202318,14.1855,.0120386,.0045234,.0034374,.3520837,.0775597,.1363408,.3520837,.0775597,.1363408,1,21.35,.6093102,.3699582,.4190114,.7329177,.1655315,.0354259,.0661249,,252.5017,254.1835,255.4802,250.6676,253.7506,254.6674,251.7138,255.8825,253.9446,255.2996,256.1082,254.9311,253.7008,256.4904,257.1772,255.2227,252.0626,252.8862,250.7952,255.2133,252.7988,253.7836,255.5156,256.8087,257.4864,256.5822,255.0482,255.8644,254.696,256.6187,255.8921,256.752,254.8964,255.4602,254.1785,257.5863,256.0321,256.7835,253.6034,251.9536,252.8768,254.2411,256.4638,257.1353,256.2337,257.8882,257.3699,258.0999,256.3879,255.653,256.5122,257.1519,256.0689,255.1079,255.7686,257.0755,253.4301,257.575,257.0472,257.7642,258.401,256.9308,256.1922,258.1057,255.4802,255.8825,253.7008,256.4904,257.1772,255.2227,255.5156,256.8087,257.4864,256.5822,254.8964,255.4602,254.1785,257.5863,256.0321,256.7835,256.4638,257.1353,256.2337,257.8882,257.3699,258.0999,256.0689,255.1079,255.7686,257.0755,257.575,257.0472,257.7642,258.401,256.1922,258.1057
"Alabama",2003,253.173,-.2479306,.4993251,.1052255,14.18123,.0104638,.0081893,.0051651,.3860054,.0949388,.0010819,.3860054,.0949388,.0010819,1,21.97,.6270252,.3489791,.517509,.8017974,.1520352,.0379925,.0081747,,253.1726,253.8457,255.9752,251.4143,253.3437,255.2942,251.1451,255.7351,253.6556,253.9388,255.7481,253.7085,254.3139,255.8806,257.5619,254.7269,251.7865,253.5883,250.5024,254.8199,251.3691,253.169,255.4102,255.5495,257.23,255.5767,253.7757,255.553,253.6061,255.285,253.853,255.5171,254.4355,255.9592,253.9327,256.9387,254.6136,256.1677,253.344,250.805,252.5388,252.8169,255.2855,256.9199,255.3476,256.5922,255.4487,256.9919,255.1437,253.7612,255.4098,255.1383,255.57,253.9398,255.4029,255.6061,252.2903,256.3595,255.2623,256.7753,256.4401,255.066,254.9751,256.2816,255.9752,255.7351,254.3139,255.8806,257.5619,254.7269,255.4102,255.5495,257.23,255.5767,254.4355,255.9592,253.9327,256.9387,254.6136,256.1677,255.2855,256.9199,255.3476,256.5922,255.4487,256.9919,255.57,253.9398,255.4029,255.6061,256.3595,255.2623,256.7753,256.4401,254.9751,256.2816
"Alabama",2005,251.978,-.2568016,.4968538,.1095956,14.16777,.0211506,.0099943,.0053399,.4043964,.094713,.0119063,.4033561,.0948504,.0119063,1,22.20,.5799341,.3802581,.483564,.758853,.1826352,.047198,.0113138,,251.9784,253.4869,254.652,250.3798,252.5875,253.767,249.9111,255.0486,253.4437,253.9955,255.0464,253.2126,253.1213,254.9954,255.9926,253.3524,251.1447,252.2111,249.3947,253.8129,250.5676,251.6112,254.8825,255.3223,256.2855,254.7823,253.9357,254.999,253.2682,255.081,253.7715,254.7016,253.646,254.5081,252.6681,255.8758,253.6749,254.5569,252.4351,250.0901,251.1054,251.7629,255.1722,256.1324,254.7181,256.1702,255.108,255.9574,255.0393,253.7929,254.7528,254.8112,254.5861,253.0775,253.8969,254.4904,251.3162,256.0464,255.0414,255.9043,255.9163,254.8491,253.9273,255.8734,254.829,255.1682,253.2803,255.1544,256.1595,253.5163,254.9924,255.4228,256.3927,254.8962,253.7901,254.6558,252.8205,256.0286,253.8215,254.7095,255.2654,256.2296,254.8237,256.2627,255.2039,256.0591,254.723,253.215,254.0375,254.6299,256.1312,255.1309,255.9975,256.0042,254.0571,255.9547
"Alabama",2007,251.937,-.279645,.4974724,.0959812,14.18204,.0258405,.0073185,.0043572,.4089908,.0830256,.0021183,.4100452,.0826552,.0021183,1,19.56,.6031072,.3589728,.5058653,.7586519,.1835635,.0442756,.013509,,251.9369,252.5836,253.9881,250.1971,252.1341,253.8721,249.7688,253.994,252.5426,252.6905,254.2758,252.4156,252.4171,253.9975,255.4659,252.7337,250.5915,252.1783,249.2343,253.479,249.9976,251.6007,253.8421,253.9027,255.3553,253.8446,252.6513,254.2301,252.4847,253.887,252.5525,254.0283,252.6268,253.9487,252.0706,254.9798,252.6951,254.0632,252.0084,249.5262,251.0776,251.3068,253.7794,255.2178,253.803,254.8495,253.7835,255.136,253.8679,252.6042,254.0928,253.6983,253.6792,252.1301,253.4281,253.6086,250.8698,254.7562,253.7512,255.1068,254.6863,253.7684,253.0841,254.681,254.1759,254.1202,252.5848,254.1687,255.6446,252.9088,253.9577,254.0109,255.47,253.9659,252.7812,254.1064,252.2326,255.1456,252.854,254.2279,253.8796,255.3217,253.9151,254.9504,253.8879,255.2461,253.8273,252.2787,253.5795,253.7611,254.8487,253.8485,255.2075,254.7834,253.2256,254.7708
"Alabama",2009,254.895,-.2287182,.4898211,.0881106,14.15871,.0253036,.0111908,.0125262,.40571,.0926953,.000319,.4044581,.0931235,.000319,1,19.85,.6013619,.3482093,.5012757,.7674571,.1730113,.0472254,.0123062,,254.8952,255.1257,256.4606,253.3085,254.542,256.5008,252.5876,256.3511,255.3652,254.6989,256.4711,254.9701,255.0635,255.9897,257.6902,255.1632,253.1668,254.9503,252.2427,255.679,252.2853,254.0682,256.4711,255.7655,257.4258,256.2143,254.9187,256.7065,255.2995,255.6716,254.5867,256.2426,254.7907,256.3356,254.6877,256.8224,254.6527,256.229,254.3634,252.004,253.7329,253.3652,255.8899,257.5587,256.4264,256.5307,255.6707,257.2246,255.9097,254.8787,256.5678,255.5113,255.6819,254.2669,255.7769,255.4016,253.1134,256.6822,255.8697,257.4478,256.3942,255.8201,255.0503,256.6176,256.6512,256.4806,255.2354,256.1591,257.869,255.3386,256.5904,255.8725,257.5409,256.3365,254.9445,256.4944,254.8512,256.9846,254.8079,256.3914,255.9893,257.6634,256.54,256.6286,255.7719,257.333,255.8274,254.4128,255.9269,255.5484,256.7721,255.9645,257.5473,256.4865,255.1873,256.7031
"Alabama",2011,258.421,-.1613261,.4957787,.0880916,14.15457,.0489811,.0113062,.0091897,.4600357,.0683698,0,.4600357,.0683698,0,1,21.52,.598416,.3314323,.4715944,.7695183,.1695525,.0587376,.0021915,,258.4211,258.2171,259.7052,256.7701,257.9211,260.0449,256.0371,259.3741,258.3932,257.6447,259.5827,257.9979,258.2855,259.1346,260.9618,258.3507,256.4981,258.4301,255.6303,259.077,255.6128,257.5401,259.4389,258.6716,260.4737,259.1758,257.8184,259.7548,258.2607,258.638,257.4902,259.2938,257.92,259.5858,257.8403,259.9884,257.7619,259.4489,257.7141,255.2845,257.1428,256.7143,258.7546,260.5512,259.3285,259.4582,258.5349,260.2137,258.8299,257.7322,259.5524,258.4367,258.8342,257.3494,258.9623,258.5356,256.4157,259.5684,258.6881,260.3773,259.2809,258.6954,258.1586,259.4587,259.9638,259.5491,258.5179,259.3664,261.2057,258.5903,259.5997,258.8181,260.6306,259.3425,258.13,259.8018,258.0632,260.2113,257.9758,259.6721,258.8905,260.6937,259.4831,259.5931,258.6747,260.3628,259.0338,257.5501,259.1681,258.7392,259.6923,258.819,260.5141,259.4095,258.3481,259.5777
"Alabama",2013,257.428,-.2717067,.4889486,.0876523,14.12032,.0409113,.0110943,.0096105,.4858059,.0766363,0,.484466,.0763053,0,1,20.02,.6022388,.3297912,.4375579,.7822664,.1557762,.0540278,.0079296,,257.4278,256.8224,258.97,255.8811,256.4421,258.7631,255.084,258.2774,257.2278,255.7922,257.8922,256.726,257.6045,257.9202,259.9866,257.6552,255.1398,257.2437,254.7873,257.4162,254.1718,256.2813,258.5277,257.0901,259.1004,258.1791,256.1787,258.294,257.1905,256.5947,255.7525,257.7309,256.7727,258.6508,257.218,258.6298,256.5812,258.498,256.1628,253.963,255.9923,255.0749,257.3482,259.3615,258.4976,257.7018,257.0489,258.9454,256.9977,256.1836,258.1917,256.5108,257.5289,256.2507,258.0784,257.1963,254.8912,257.9836,257.3603,259.2732,257.6226,256.957,256.8939,257.9552,259.1737,258.4154,257.7878,258.1022,260.1777,257.8409,258.6544,257.2051,259.2231,258.3081,256.9378,258.8203,257.3909,258.8041,256.7466,258.67,257.4548,259.4728,258.6172,257.8071,257.1567,259.0599,257.6851,256.4059,258.237,257.3529,258.0799,257.4611,259.378,257.7209,257.0397,258.0461
"Alabama",2015,258.754,-.160364,.4977915,.0935284,14.11228,.0498963,.0107691,.0024692,.4969856,.0608235,0,.4834617,.0657329,.0144102,1,25.17,.6056104,.3172846,.4421909,.7801116,.1443142,.064315,.0112592,,258.7538,257.5107,259.5742,256.6869,257.6046,260.0083,256.4041,258.6723,257.5653,256.3347,258.4981,257.4565,257.8875,258.4251,260.5436,258.3039,255.8544,257.9592,255.6815,258.5291,255.3178,257.4983,258.6277,257.3801,259.4382,258.6096,256.4351,258.5499,257.576,257.0848,256.3239,258.3682,257.0015,258.8752,257.5673,259.1066,257.1185,259.0871,256.8164,254.7516,256.781,256.1545,257.396,259.402,258.6346,257.956,257.3619,259.3102,257.1987,256.4743,258.485,257.0223,257.7192,256.5367,258.3622,257.6965,255.6072,257.9912,257.4326,259.3422,257.8939,257.1848,257.1361,257.9816,259.86,258.8637,258.1414,258.6886,260.8204,258.5756,258.8033,257.5469,259.6168,258.7988,257.2382,259.1188,257.8185,259.3648,257.368,259.3474,257.5505,259.5645,258.8097,258.1147,257.527,259.4863,257.9495,256.7695,258.6012,257.9388,258.1373,257.5869,259.5039,258.0506,257.3611,258.1272
"Alabama",2017,257.687,-.2284982,.4908789,.098898,14.09529,.0773079,.0162743,.0125556,.5669768,.0449794,.0003185,.4820338,.0553732,.0161157,1,23.18,.563454,.3137679,.3877252,0,0,0,0,,257.6865,257.3514,260.8719,255.6911,256.5372,258.9531,257.6865,259.819,257.2528,256.149,258.3605,257.3514,258.9742,259.5553,261.7735,260.8719,254.8498,256.9768,255.6911,257.47,256.5372,258.9531,259.5224,258.3487,260.5127,259.819,256.1227,258.2592,257.2528,256.9156,256.149,258.3605,257.9546,259.8843,258.9742,260.197,259.5553,261.7735,255.8219,254.8498,256.9768,257.47,258.1612,260.2221,259.5224,258.8806,258.3487,260.5127,256.9022,256.1227,258.2592,256.9156,258.6237,257.9546,259.8843,260.197,255.8219,258.7084,258.1612,260.2221,258.8806,256.9022,258.6237,258.7084,259.2081,258.7088,257.4974,258.0105,260.1648,259.2081,258.5074,257.3714,259.4803,258.7088,256.568,258.4709,257.4974,258.685,258.0105,260.1648,257.258,259.2865,258.5074,257.9527,257.3714,259.4803,257.2775,256.568,258.4709,258.685,257.8572,257.258,259.2865,257.9527,257.2775,257.8572
