grade,subject,year,FIPS,white,black,hispanic,asian,amind,multirace_unclass,free_lunch,red_lunch,miss_lunch,no_freelunch,combo_pct_free_lunch,combo_pct_red_lunch,combo_pct_miss_lunch,lep,sped,testage,nonEnglish_neverathome,nonEnglish_sometimesathome,nonEnglish_alwaysathome,nonEnglish_miss,unadj_score,adj_race_03,adj_lunch_03,adj_LEP_03,adj_SPED_03,adj_age_03,adj_Enlang_03,adj_racelunch_03,adj_raceLEP_03,adj_raceSPED_03,adj_raceage_03,adj_raceEnlang_03,adj_lunchLEP_03,adj_lunchSPED_03,adj_lunchage_03,adj_lunchEnlang_03,adj_LEPSPED_03,adj_LEPage_03,adj_LEPEnlang_03,adj_SPEDage_03,adj_SPEDEnlang_03,adj_ageEnlang_03,adj_racelunchLEP_03,adj_racelunchSPED_03,adj_racelunchage_03,adj_racelunchEnlang_03,adj_raceLEPSPED_03,adj_raceLEPage_03,adj_raceLEPEnlang_03,adj_raceSPEDage_03,adj_raceSPEDEnlang_03,adj_raceageEnlang_03,adj_lunchLEPSPED_03,adj_lunchLEPage_03,adj_lunchLEPEnlang_03,adj_lunchSPEDage_03,adj_lunchSPEDEnlang_03,adj_lunchageEnlang_03,adj_LEPSPEDage_03,adj_LEPSPEDEnlang_03,adj_LEPageEnlang_03,adj_SPEDageEnlang_03,adj_racelunchLEPSPED_03,adj_racelunchLEPage_03,adj_racelunchLEPEnlang_03,adj_racelunchSPEDage_03,adj_racelunchSPEDEnlang_03,adj_racelunchageEnlang_03,adj_raceLEPSPEDage_03,adj_raceLEPSPEDEnlang_03,adj_raceLEPageEnlang_03,adj_raceSPEDageEnlang_03,adj_lunchLEPSPEDage_03,adj_lunchLEPSPEDEnlang_03,adj_lunchLEPageEnlang_03,adj_lunchSPEDageEnlang_03,adj_LEPSPEDageEnlang_03,adj_racelunchLEPSPEDage_03,adj_racelunchLEPSPEDEnlang_03,adj_racelunchLEPageEnlang_03,adj_racelunchSPEDageEnlang_03,adj_raceLEPSPEDageEnlang_03,adj_lunchLEPSPEDageEnlang_03,adj_racelunchLEPSPEDageEnlang_03,adj_Clunch_03,adj_raceClunch_03,adj_ClunchLEP_03,adj_ClunchSPED_03,adj_Clunchage_03,adj_ClunchEnlang_03,adj_raceClunchLEP_03,adj_raceClunchSPED_03,adj_raceClunchage_03,adj_raceClunchEnlang_03,adj_ClunchLEPSPED_03,adj_ClunchLEPage_03,adj_ClunchLEPEnlang_03,adj_ClunchSPEDage_03,adj_ClunchSPEDEnlang_03,adj_ClunchageEnlang_03,adj_raceClunchLEPSPED_03,adj_raceClunchLEPage_03,adj_raceClunchLEPEnlang_03,adj_raceClunchSPEDage_03,adj_raceClunchSPEDEnlang_03,adj_raceClunchageEnlang_03,adj_ClunchLEPSPEDage_03,adj_ClunchLEPSPEDEnlang_03,adj_ClunchLEPageEnlang_03,adj_ClunchSPEDageEnlang_03,adj_raceClunchLEPSPEDage_03,adj_raceClunchLEPSPEDEnlang_03,adj_raceClunchLEPageEnlang_03,adj_raceClunchSPEDageEnlang_03,adj_ClunchLEPSPEDageEnlang_03,adj_raceCluncLEPSPEDageEnlang_03,adj_race,adj_lunch,adj_LEP,adj_SPED,adj_age,adj_Enlang,adj_racelunch,adj_raceLEP,adj_raceSPED,adj_raceage,adj_raceEnlang,adj_lunchLEP,adj_lunchSPED,adj_lunchage,adj_lunchEnlang,adj_LEPSPED,adj_LEPage,adj_LEPEnlang,adj_SPEDage,adj_SPEDEnlang,adj_ageEnlang,adj_racelunchLEP,adj_racelunchSPED,adj_racelunchage,adj_racelunchEnlang,adj_raceLEPSPED,adj_raceLEPage,adj_raceLEPEnlang,adj_raceSPEDage,adj_raceSPEDEnlang,adj_raceageEnlang,adj_lunchLEPSPED,adj_lunchLEPage,adj_lunchLEPEnlang,adj_lunchSPEDage,adj_lunchSPEDEnlang,adj_lunchageEnlang,adj_LEPSPEDage,adj_LEPSPEDEnlang,adj_LEPageEnlang,adj_SPEDageEnlang,adj_racelunchLEPSPED,adj_racelunchLEPage,adj_racelunchLEPEnlang,adj_racelunchSPEDage,adj_racelunchSPEDEnlang,adj_racelunchageEnlang,adj_raceLEPSPEDage,adj_raceLEPSPEDEnlang,adj_raceLEPageEnlang,adj_raceSPEDageEnlang,adj_lunchLEPSPEDage,adj_lunchLEPSPEDEnlang,adj_lunchLEPageEnlang,adj_lunchSPEDageEnlang,adj_LEPSPEDageEnlang,adj_racelunchLEPSPEDage,adj_racelunchLEPSPEDEnlang,adj_racelunchLEPageEnlang,adj_racelunchSPEDageEnlang,adj_raceLEPSPEDageEnlang,adj_lunchLEPSPEDageEnlang,adj_racelunchLEPSPEDageEnlang,adj_Clunch,adj_raceClunch,adj_ClunchLEP,adj_ClunchSPED,adj_Clunchage,adj_ClunchEnlang,adj_raceClunchLEP,adj_raceClunchSPED,adj_raceClunchage,adj_raceClunchEnlang,adj_ClunchLEPSPED,adj_ClunchLEPage,adj_ClunchLEPEnlang,adj_ClunchSPEDage,adj_ClunchSPEDEnlang,adj_ClunchageEnlang,adj_raceClunchLEPSPED,adj_raceClunchLEPage,adj_raceClunchLEPEnlang,adj_raceClunchSPEDage,adj_raceClunchSPEDEnlang,adj_raceClunchageEnlang,adj_ClunchLEPSPEDage,adj_ClunchLEPSPEDEnlang,adj_ClunchLEPageEnlang,adj_ClunchSPEDageEnlang,adj_raceClunchLEPSPEDage,adj_raceClunchLEPSPEDEnlang,adj_raceClunchLEPageEnlang,adj_raceClunchSPEDageEnlang,adj_ClunchLEPSPEDageEnlang,adj_raceCluncLEPSPEDageEnlang
4th grade,reading,1998,ALABAMA,87.5%,29.1%,0.0%,23.6%,0.0%,0.0%,53.2%,32.4%,21.0%,46.2%,23.6%,35.5%,26.6%,0.0%,35.3%,10.157071,95.50%,0.00%,32.40%,0.00%,201.18716,212.25615,210.85887,204.52541,209.39145,223.81178,217.20442,216.99593,213.76828,208.80684,210.11707,206.89751,211.17926,216.7545,213.01028,215.41537,218.86725,202.37123,213.58737,201.86058,213.36644,221.31729,220.66658,203.31992,217.69435,222.49355,207.58885,220.58952,220.72995,205.35765,203.8026,202.7957,215.04085,204.29175,206.71989,214.38959,201.37921,202.82353,202.79659,213.88684,213.35291,209.59596,198.71706,216.51515,220.65146,216.8896,208.29448,207.16681,203.72166,202.64403,211.9258,221.7572,212.69298,218.42365,202.71254,213.30768,200.8492,203.21338,203.65146,204.17825,209.6685,212.35966,211.71272,218.91638,211.98495,213.08662,213.51227,221.78693,223.05673,213.01154,217.92857,207.26344,209.78085,204.42888,220.1252,208.67308,198.82768,209.92039,203.31296,206.79402,208.72021,217.33934,221.2854,202.91263,222.60078,208.46199,218.52792,208.04175,212.67644,200.54759,201.86591,200.33313,223.24869,216.46985,218.99612,211.73105,211.83757,219.22397,202.08739,204.93109,214.99226,217.86913,220.40794,205.57494,204.51297,221.89682,221.22791,223.24046,217.92189,206.19711,209.1852,205.89613,205.9476,221.66638,215.25314,211.22926,205.4528,206.97502,216.48895,213.28809,219.41142,208.25455,221.02788,216.15504,208.6917,211.10289,216.8808,203.59612,219.98274,210.8474,214.60855,219.81168,215.71938,214.75389,197.97708,200.28177,208.08504,208.24593,210.68341,215.64407,212.4184,218.22903,212.42747,202.27554,219.21933,208.86244,212.04242,215.63155,207.89888,224.42223,222.08035,218.49487,204.16969,216.47998,210.84962,202.83304,220.91682,220.32942,221.53406,220.71808,213.35284,200.68315,220.5145,202.68657,209.3224,209.6223,222.86258,219.31406,220.09528,200.18437,213.91209,207.47417,223.29929,222.31264,222.68727,209.59155,202.49637,204.98788,214.82217,216.1924,222.22353,217.80588,214.18439,223.54062,205.00999,206.36595,209.52786,206.96181,215.77229,222.3446,204.88432
4th grade,reading,2002,ALABAMA,64.4%,17.0%,26.0%,0.7%,21.2%,0.9%,32.5%,0.0%,0.0%,48.4%,57.2%,34.0%,0.0%,18.4%,12.8%,10.204934,57.70%,5.40%,0.00%,0.00%,211.72165,198.37689,202.95778,207.15958,196.42715,200.21671,214.63765,209.653,213.46211,209.72369,220.50211,216.96774,207.93066,203.3223,206.6131,212.11497,211.85133,205.47438,206.11038,219.44601,197.05559,218.49559,198.84792,206.41734,210.60193,214.61914,197.59462,209.14719,209.92181,204.37991,202.11354,217.36679,209.89317,205.85469,204.94696,212.79668,207.31844,205.50078,205.4722,213.12109,213.92606,206.51646,220.23547,222.84236,201.15144,205.87532,207.33549,203.06305,218.13245,206.15692,200.75128,212.65685,213.45282,202.90556,205.09543,220.26251,204.62219,199.69089,218.04037,216.56592,201.47466,207.47292,217.66595,217.49107,217.82239,214.56163,202.86061,215.38879,211.50076,213.99226,209.68842,211.01772,203.91231,215.97246,216.66885,216.34183,198.32333,207.25261,212.61598,221.63338,213.42648,201.86868,213.02341,222.0424,202.35086,218.10159,221.32141,203.99405,205.4149,212.01299,211.33879,200.51767,214.66806,206.26389,201.35336,212.0665,209.6938,220.33824,201.1566,202.57256,204.63487,215.44418,202.23784,213.46764,207.50679,219.05571,197.81612,218.84335,211.63426,213.70476,216.73878,212.90364,199.52554,204.59981,204.88362,211.66167,218.80222,201.61534,221.13715,222.87273,216.5378,200.93637,205.5168,210.69815,214.86606,204.33786,214.86853,207.34444,202.32463,202.00253,200.62384,212.00124,199.34787,202.27156,200.74335,203.28406,206.84775,214.82391,212.68884,209.65193,213.16753,216.49974,214.74261,216.76938,216.88034,208.42996,216.20354,215.11409,198.57491,205.06349,199.36105,215.84038,206.73412,203.29646,200.43356,205.24661,210.67447,219.72769,216.58954,199.19012,215.71326,214.28908,206.55392,223.60614,212.53784,206.30621,215.64622,217.78873,219.01233,204.21684,204.69745,200.96123,222.4545,205.39438,207.04216,209.41733,209.00301,203.13182,201.8279,212.58812,203.56308,200.37756,205.62105,215.10635,206.90298,210.1485,222.81464,201.11443,215.83362,199.72583,206.89565
4th grade,reading,2003,ALABAMA,66.1%,12.5%,20.6%,18.8%,0.0%,15.7%,52.5%,24.2%,0.0%,21.9%,17.1%,13.6%,1.1%,21.2%,32.2%,10.161271,69.10%,43.30%,17.20%,0.00%,204.33311,205.88275,214.29913,196.73822,203.12949,211.85774,215.1752,198.58034,214.8401,212.72043,205.4325,208.33968,199.63449,206.66356,220.8528,219.74829,199.88791,206.85857,207.90581,219.70024,215.67845,217.64774,212.0491,203.72507,207.34425,222.14301,208.65935,215.53882,196.20695,211.88362,215.99695,211.27022,196.99277,220.41965,214.70734,213.68256,201.62343,212.83122,206.10991,211.46977,210.3851,196.62228,208.40904,213.97899,214.4944,206.53253,211.46664,206.18658,208.12602,218.79483,202.49033,216.97888,203.85941,210.38214,210.70862,198.26114,203.41502,215.40688,219.77072,217.9183,211.86334,210.0397,208.03166,207.13124,199.80873,213.85638,215.42015,212.09799,203.1366,217.26573,218.47255,208.7811,220.19168,201.86388,203.23955,207.03287,198.54361,206.14771,214.13931,201.65431,208.58377,218.70595,212.95386,218.22115,219.8569,218.13628,213.09436,203.05017,198.84546,219.46429,200.7881,218.72635,203.41978,198.77641,213.56845,222.26216,215.05447,201.14844,207.74118,209.30429,201.59624,204.25943,214.39967,209.01811,218.93959,217.8465,218.25919,214.43974,212.72958,203.98172,218.20686,208.14308,200.24542,211.68182,219.69653,206.09116,205.12929,220.17719,211.45554,199.86986,220.00133,211.49074,216.73303,216.80803,212.66016,212.14822,200.44562,215.65489,197.9397,210.15556,212.13689,206.67477,200.25035,204.47693,201.55664,214.1252,201.96852,200.67119,206.5132,205.38643,211.97507,203.95366,208.32578,207.24631,215.32721,215.93306,206.04813,209.09158,208.11127,218.21172,214.8396,202.18668,198.49132,201.36511,205.4035,206.91844,218.19273,211.90207,210.98094,219.73656,205.18956,204.41362,210.39682,212.6252,199.5517,197.97267,210.05289,209.00987,208.93027,206.02232,204.28386,219.39613,205.91339,205.4142,204.60803,198.99843,201.82254,210.90849,209.43236,203.1991,217.32959,202.59761,212.4623,219.36774,213.72661,209.15363,198.04562,205.33279,205.44966,206.98177,218.78134
4th grade,reading,2005,ALABAMA,42.8%,35.9%,17.9%,0.0%,0.0%,0.0%,24.6%,0.4%,0.0%,23.0%,38.5%,12.0%,3.5%,0.0%,0.0%,10.06572,87.50%,20.50%,0.00%,18.10%,211.03783,197.9808,201.74792,214.25404,196.13525,200.09795,200.06372,207.21535,218.42114,200.60016,202.46402,215.08159,207.70006,212.85843,208.06409,220.62653,215.47766,204.48994,197.2009,212.01581,207.46281,201.79317,210.53323,205.65193,215.54588,203.86603,199.45657,202.27209,213.54527,222.27917,209.54477,222.05255,210.9534,205.17934,205.94203,208.95399,202.00467,223.21519,214.50742,195.77373,213.31689,206.44717,208.48488,206.50211,208.9118,216.27235,212.20865,202.60829,213.49655,204.63951,208.51544,213.98468,201.17424,212.08627,211.54291,198.92195,212.95073,200.07132,220.53976,213.56415,221.65659,211.77997,203.51595,215.13004,208.52649,218.23734,199.78862,205.50819,200.76355,218.48819,208.08066,220.11113,207.0123,205.89503,204.06664,220.86581,201.38933,208.49809,220.40408,212.89272,212.7477,203.02139,218.95917,201.64757,205.78888,201.07726,209.1386,218.41566,200.6088,201.57344,213.5061,208.04485,217.50662,219.22653,218.09261,202.25188,216.72061,213.44102,208.86697,201.04471,204.192,198.1852,218.90984,209.69312,209.11041,212.62091,204.90703,220.70055,221.90071,209.87056,205.24657,216.12733,210.48308,205.03902,200.73027,196.88496,218.7747,211.21484,208.76637,213.04112,213.21542,206.57907,217.25955,216.52977,202.97177,210.63832,211.41782,215.69907,217.50473,209.63174,222.09616,208.00844,213.69226,200.24266,200.95255,195.3324,196.14273,204.40306,219.41948,211.3716,222.83548,211.92924,218.05402,202.7722,209.75453,210.04164,198.90721,214.64055,204.94821,219.82529,221.0466,198.21516,222.63303,205.9913,206.78873,208.94044,199.70872,212.90269,201.90204,201.4926,222.47183,197.47658,212.84183,222.84647,220.0117,213.51051,200.10165,212.23645,212.25381,213.513,218.1362,197.41985,221.1702,198.98825,199.95972,211.56366,204.33807,206.05229,220.37076,216.73456,215.31013,209.25833,205.44252,216.81079,206.33142,222.65965,218.63875,201.46735,222.47765,220.6402,210.05804
4th grade,reading,2007,ALABAMA,40.7%,49.3%,11.2%,0.7%,0.0%,0.0%,59.5%,21.6%,25.1%,20.7%,57.6%,0.0%,0.0%,0.0%,22.6%,9.9691095,68.00%,32.30%,29.20%,0.00%,213.45349,226.71141,225.67006,216.78214,209.78607,215.62743,202.96329,220.58394,222.96852,227.76169,224.55067,221.59154,224.89755,207.55635,214.61458,229.2775,223.05209,210.96092,205.49176,210.21332,202.87097,223.25725,214.04149,207.77861,219.06009,216.12685,212.95761,212.07887,214.54767,230.32852,215.71687,207.19347,207.9881,226.72868,211.42174,209.16685,228.44325,222.87125,208.44424,223.38017,214.2346,213.48131,224.3988,225.96791,222.74757,224.19247,226.44987,215.54536,216.30963,216.94121,207.19931,215.05722,214.28255,226.94913,214.9753,220.43375,213.79543,214.55377,230.32733,213.27434,231.00899,223.0972,210.84456,214.3452,224.9919,222.61226,208.87157,227.86363,221.25081,227.54524,215.00703,210.86102,231.40562,219.11092,220.92101,227.70242,227.80392,219.80075,220.68091,218.31323,212.09058,218.89001,229.41074,219.19347,216.33827,232.1268,219.33295,225.04495,216.93246,216.10294,223.40654,229.34721,213.36845,209.07336,227.43016,216.89342,224.4744,215.27228,204.84608,205.48164,222.8959,209.14114,229.56282,207.54868,205.60585,211.85127,226.93787,225.95685,210.21902,210.90251,216.90529,212.71309,215.05469,215.52515,209.71779,219.09373,208.61426,207.46445,224.74547,231.82649,227.69281,217.39442,223.27638,222.09714,213.52499,222.15666,218.84566,214.75786,213.95782,209.38843,221.14804,218.26411,224.07877,211.77472,208.15913,209.81776,222.841,223.13123,213.10695,209.65837,219.41042,215.04124,210.58142,211.75874,226.89037,226.82104,228.6114,227.92154,228.66821,218.96732,228.91772,216.19429,220.0043,214.27243,218.91344,207.97687,207.73495,220.71649,209.98804,208.60695,230.29155,220.7793,220.18324,217.19022,227.74496,223.52751,207.74841,222.91331,225.35805,205.50858,214.33293,222.59937,225.36192,229.51288,230.51711,209.88509,210.06917,221.31339,215.45224,218.37213,230.36726,212.63097,224.5892,211.211,218.95914,218.84698,224.63286,226.52022,231.38818,229.14375,208.93138
4th grade,reading,2009,ALABAMA,90.9%,49.8%,15.9%,12.8%,29.9%,20.7%,63.2%,0.0%,0.0%,23.8%,23.1%,0.0%,6.4%,0.0%,5.0%,10.238132,82.80%,7.60%,16.90%,0.00%,215.38498,212.94006,219.0013,213.2776,212.21228,214.28551,223.96004,207.0497,211.72182,213.34065,221.68829,223.20403,211.86971,230.35463,228.48831,223.01411,207.4433,213.36473,202.57098,221.95071,206.96184,205.21404,210.65396,212.28328,227.28658,214.09448,206.91156,226.45311,205.02449,215.47685,227.21707,215.17715,208.75284,213.70584,222.82397,222.71994,224.31204,223.8343,205.08452,224.61902,207.40306,210.80594,218.43919,212.304,215.86859,220.93953,211.32359,216.2648,221.19678,210.60928,215.67169,217.23784,222.84706,227.18448,213.229,228.32726,223.75235,212.84717,211.13593,224.32899,227.7298,225.9442,208.55556,211.56119,225.76608,228.29675,212.8392,229.44652,214.70406,221.85947,215.44308,221.3244,221.19563,208.90059,228.40564,223.09074,213.60046,218.36177,215.13179,220.33383,208.31265,230.00208,230.60242,206.77632,211.13095,229.61913,222.52608,219.62265,228.09161,222.72371,211.32846,216.72128,229.64087,218.87607,220.3044,217.92665,223.67145,214.16083,224.02972,205.85411,226.3107,225.61797,205.91299,210.79596,225.27853,211.60329,204.65067,208.01965,228.13647,226.32423,220.104,214.02432,218.51224,204.66426,226.70322,213.36961,222.4608,211.87935,209.59109,213.89261,223.65268,214.01631,207.55133,218.73257,220.09116,224.79211,209.48769,205.67963,228.25693,212.50194,211.45338,227.62741,215.39912,220.47305,210.43222,205.69653,219.21805,208.49174,212.29514,227.38667,223.89229,209.45477,216.27029,217.50528,219.38342,220.53452,206.01646,214.27606,210.41847,226.2084,222.46356,214.71744,210.21565,208.24803,212.73839,213.92107,215.91483,227.01366,212.14616,213.46443,210.18925,225.49831,209.89647,214.13533,222.77025,220.18672,214.44061,223.77185,212.62881,211.49199,212.58438,227.57187,222.31042,209.71652,221.31367,219.00354,225.9734,207.61528,212.38512,216.61658,221.35533,215.1862,221.77034,208.9861,213.64992,212.39381,223.23386,213.24812,214.42747,216.19336,207.02605
4th grade,reading,2011,ALABAMA,62.6%,8.0%,12.3%,30.2%,0.0%,0.0%,60.8%,26.3%,16.3%,42.0%,33.2%,33.1%,29.1%,3.5%,0.0%,10.260486,86.90%,12.70%,19.90%,0.00%,230.15726,219.04826,226.26596,214.32362,212.96164,228.75722,216.24147,212.68668,214.88417,211.53326,219.95741,232.1176,214.45853,232.47093,216.89986,218.6776,227.87941,218.1335,222.92163,229.32439,210.99452,229.35797,227.64714,222.41096,233.16566,228.28816,214.88075,219.89023,220.53796,228.33641,212.57521,226.65263,223.18709,225.92459,223.90231,228.79875,226.91183,229.2242,226.86925,214.17494,206.84798,218.38023,228.28159,233.03981,232.65433,235.22679,224.00443,229.39642,209.16467,208.62102,213.64598,225.0034,213.63884,221.847,217.65744,215.42625,222.08723,228.00877,228.50043,217.87053,222.95659,213.3622,218.01628,217.61884,232.34218,213.52322,230.01938,235.28391,237.04289,222.89569,225.46524,220.17462,232.2809,214.44002,228.8979,228.47197,224.30405,216.23398,219.75854,234.83751,225.83682,216.6402,225.9698,220.41132,228.73485,236.01768,225.15021,222.89674,221.66626,212.28683,219.89578,223.22595,224.13896,234.44551,213.9655,213.7583,220.45915,233.44521,221.15945,216.7327,210.07834,207.38187,213.10381,231.01505,215.66873,213.61642,221.18404,209.26944,213.974,213.3956,213.53865,217.49028,223.3119,210.16505,222.5247,218.42982,210.14317,219.40079,229.01851,221.2036,223.80153,208.07315,216.81578,213.22263,210.44545,212.17014,209.90126,226.33054,225.03458,210.49408,230.59509,208.04149,223.03914,219.39519,221.1432,221.97952,208.89124,217.02596,211.3121,218.5213,228.04887,210.5679,211.77388,217.77661,208.6066,214.64685,217.07066,220.19193,230.36314,226.58472,214.29234,220.56502,224.89169,219.1424,231.27254,216.07719,221.33463,214.82292,227.38911,234.1116,223.12341,223.94363,223.86354,216.16599,221.32253,230.22711,213.38618,233.92191,217.98291,230.24998,212.77667,224.91632,231.54218,211.97537,222.02519,216.53778,227.45152,214.03226,228.27151,231.21829,234.29124,213.71959,229.25389,228.85028,213.49994,212.67657,220.72244,221.45702,221.8811,214.43578,220.22522
4th grade,reading,2013,ALABAMA,36.6%,51.0%,3.9%,4.7%,9.3%,0.0%,40.4%,12.9%,9.1%,42.3%,39.5%,6.2%,0.0%,32.0%,0.0%,10.312287,56.90%,11.60%,1.00%,29.90%,229.34001,220.74722,217.57397,222.92506,219.80585,228.74838,219.73987,217.48798,209.82039,225.30531,218.01161,215.68048,231.77286,221.48727,221.60771,213.08162,225.15457,223.81282,222.72079,210.864,216.40193,209.7934,224.00607,210.45583,212.74074,226.52756,208.51685,217.68407,209.79779,219.91888,227.84872,229.22656,213.02591,230.25873,211.0423,226.92708,230.69618,219.29495,228.1301,226.83119,221.86816,221.56424,210.46841,230.78491,232.7067,233.235,231.5153,230.9048,216.76663,229.43338,215.44441,229.9229,219.01144,219.53268,209.63252,222.55632,223.01909,220.65845,225.14821,223.23624,230.6765,210.61342,209.97368,225.99707,223.95242,210.5329,213.10049,219.34737,223.52235,230.26201,213.89513,225.49265,223.55911,232.23076,209.98689,230.948,224.67896,215.80544,222.47369,227.43773,229.7881,217.63324,223.19919,214.33018,216.11038,218.79573,217.06651,228.88959,220.74799,230.5676,223.3679,223.29939,221.64404,219.54866,227.48595,231.69106,207.3625,212.12212,212.87988,208.4442,230.71432,215.28539,220.62804,207.91106,216.96565,213.91696,213.41467,210.83971,229.22499,220.54715,213.85477,214.87454,212.33009,220.58968,207.63295,208.23805,220.33636,229.77298,212.28951,220.31958,217.41415,221.66158,214.22523,210.42136,215.84767,214.62117,222.02208,211.49416,208.18619,223.75255,222.01634,208.52679,208.48581,205.25378,214.5098,222.35065,226.7151,215.05786,225.03152,216.18353,227.35933,207.50145,229.4084,225.04651,209.06194,210.15027,216.21468,215.65666,226.35461,209.30205,225.19501,226.46198,210.02495,217.74387,211.65947,218.91393,215.75644,206.82881,222.14111,219.29578,229.16603,225.3465,227.25533,223.4554,208.15596,210.65034,214.0618,224.66919,221.98055,226.67323,228.40692,227.87053,216.02962,224.00275,228.36272,213.72911,231.10721,229.39114,220.36719,226.79192,209.24509,223.07649,212.7952,220.0667,230.48633,206.64644,216.96999,220.51558,229.4559,207.50395,207.06056
4th grade,reading,2015,ALABAMA,81.2%,6.8%,21.7%,22.9%,21.2%,0.0%,66.6%,11.7%,0.0%,24.7%,68.2%,1.3%,0.0%,29.2%,0.0%,10.242008,99.20%,6.60%,10.30%,0.00%,206.54576,216.46315,220.85646,204.29686,215.75499,217.4648,204.49849,213.59647,210.8425,206.6109,224.2377,215.75726,216.91061,225.67548,230.15572,225.47266,221.82231,203.65744,220.27783,214.27202,212.2851,221.95761,226.17052,211.17871,225.48633,215.56635,216.19838,226.0952,210.10947,230.33762,229.62236,227.73196,226.24335,220.84171,225.84917,217.76511,212.73674,211.38742,218.10696,215.33453,216.50104,208.93672,230.37747,224.22847,218.42831,231.50885,211.93436,210.79932,223.46466,209.94659,216.31783,217.14139,216.85332,226.74123,230.36664,233.36787,207.70918,229.12274,227.76434,209.79594,216.67323,214.51714,228.70219,233.44662,229.0864,226.34471,211.06046,217.18704,222.59058,233.12189,218.55481,221.22224,212.36121,224.18663,221.32224,222.55371,218.56621,221.8743,220.48676,224.79169,210.21806,221.99687,223.58049,232.82864,219.35156,212.75235,224.25255,216.77115,232.04977,232.72969,222.18147,219.02768,220.10263,225.7516,232.1837,218.75317,206.48241,208.48134,211.04422,209.45973,216.78,216.66423,207.91426,213.9077,209.25145,207.99658,205.0544,210.94695,208.46353,223.14946,224.8152,209.19954,216.65761,223.93796,209.77415,205.4166,223.78885,218.29968,208.60826,212.13707,218.30397,216.30919,206.82259,208.18469,205.67406,206.23694,216.45172,226.483,209.27284,215.21535,224.9066,211.98827,220.36816,215.40999,210.2211,225.23117,218.45837,207.9915,225.00861,223.22903,218.28662,212.77988,212.52936,218.36844,211.27908,209.06831,221.00912,212.61186,215.12668,222.28062,211.77429,223.78651,208.72217,227.44281,214.65912,216.10681,204.21658,206.69939,229.01227,215.90326,218.72365,228.19156,226.80772,214.25288,208.32556,214.9946,224.20532,206.85661,226.13985,225.40187,217.22862,206.87433,214.46754,226.54538,221.10431,220.093,222.67642,217.20418,229.14975,222.80226,210.65462,226.01181,210.41301,218.91475,225.65121,215.2206,220.91528,221.34822,206.36281,223.68945,222.32976
4th grade,reading,2017,ALABAMA,68.5%,44.5%,28.3%,0.0%,21.3%,0.0%,70.8%,20.8%,0.0%,19.8%,32.5%,0.0%,5.6%,1.7%,36.4%,9.8358889,20.40%,14.90%,12.40%,10.40%,226.33514,209.43939,227.83813,203.81314,227.95561,218.86075,203.11192,233.31044,221.8255,223.58063,219.11644,223.93825,231.59843,235.48438,225.76933,212.96265,219.56967,224.29214,220.18973,223.96283,215.46941,221.03447,211.51535,234.11893,220.27486,231.75195,217.98723,210.55542,209.03513,207.93953,223.8089,213.30658,222.91162,230.29242,228.65353,235.89464,215.24744,233.4744,217.03549,218.24193,220.67896,212.75641,218.11324,232.62361,230.04959,231.81044,212.16148,217.10356,228.75319,221.94557,217.64186,208.55042,212.58409,215.49521,225.90657,218.60059,225.82967,216.58812,232.47751,221.74074,219.77655,226.13441,225.41948,234.17738,233.07916,222.07359,230.00027,211.06407,211.88716,224.52646,223.33095,216.1427,217.26944,216.60623,213.58809,228.88789,227.99648,218.91891,227.52666,210.79062,217.83965,232.11467,221.47556,233.83247,216.23344,225.79881,211.81526,231.77994,224.3156,211.20032,232.71384,227.43939,231.80064,222.31737,212.23003,212.23924,219.53694,223.04837,204.56667,215.5649,212.02913,217.96243,212.23735,204.32672,210.88063,228.57768,226.58572,223.78496,224.98697,222.94701,215.84792,202.72189,214.39421,202.37439,220.89742,223.77702,223.04742,206.94348,209.68944,214.93347,212.51593,218.74715,227.5791,227.38014,222.86174,214.77197,229.11998,226.30972,210.65402,217.60786,221.34013,222.10284,232.38245,207.79814,205.00044,216.72227,228.62733,224.66125,225.87401,223.6313,224.9175,214.36148,224.16626,223.17355,225.54689,210.57773,214.83151,217.99414,216.99821,207.35455,219.05096,204.5968,215.005,222.37535,228.58792,217.35242,206.0163,211.53491,209.56735,226.27339,217.28319,207.46368,209.155,224.91302,210.60556,226.08699,205.31052,215.58316,208.57941,227.09012,223.16031,220.45007,218.24933,211.96291,225.69487,221.03716,223.4527,216.63042,211.35281,225.54616,213.12637,218.7187,206.18814,225.90616,224.1913,227.1207,219.27089,213.63287,215.37384,214.50395,213.94701
