FIPS,year,profmean,profmean_stnd,female,sped,age,hispanic,asian,amind,free_lunch,red_lunch,miss_lunch,combo_pct_free_lunch,combo_pct_red_lunch,combo_pct_miss_lunch,admin_survey,wtdn,white,black,paid_lunch,lang_nr,lang_st,lang_mt,lang_om,score_oldway,score_m1,score_m2,score_m3,score_m4,score_m5,score_m6,score_m7,score_m8,score_m9,score_m10,score_m11,score_m12,score_m13,score_m14,score_m15,score_m16,score_m17,score_m18,score_m19,score_m20,score_m21,score_m22,score_m23,score_m24,score_m25,score_m26,score_m27,score_m28,score_m29,score_m30,score_m31,score_m32,score_m33,score_m34,score_m35,score_m36,score_m37,score_m38,score_m39,score_m40,score_m41,score_m42,score_m43,score_m44,score_m45,score_m46,score_m47,score_m48,score_m49,score_m50,score_m51,score_m52,score_m53,score_m54,score_m55,score_m56,score_m57,score_m58,score_m59,score_m60,score_m61,score_m62,score_m63,score_m64,score_m65,score_m66,score_m67,score_m68,score_m69,score_m70,score_m71,score_m72,score_m73,score_m74,score_m75,score_m76,score_m77,score_m78,score_m79,score_m80,score_m81,score_m82,score_m83,score_m84,score_m85,score_m86,score_m87,score_m88,score_m89,score_m90,score_m91,score_m92,score_m93,score_m94,score_m95,score_m96
"Alabama",1996,213.978,-.28345,.5008874,.0501269,10.07521,.0582442,.0063225,.021648,.3679814,.0728729,.0707713,.3679814,.0728729,.0707713,1,22.62,.6232728,.2901632,.4551196,.8214532,.1506063,.0269184,.001022,,213.9783,215.7431,215.9128,213.1238,213.9337,214.9108,213.6392,216.8022,215.8978,215.615,216.4464,216.1093,215.2115,215.8021,216.4879,215.9503,213.125,214.0705,213.3084,214.5919,213.5151,214.5511,216.8716,216.6065,217.2978,217.1414,215.7581,216.5839,216.2428,216.0909,215.9311,216.7908,215.1416,215.8068,215.5876,216.1529,215.7449,216.49,213.8092,213.2131,214.2163,214.178,216.6749,217.3646,217.2016,216.9145,216.9011,217.6227,216.2296,216.0568,216.908,216.3961,215.5221,215.4156,216.1369,216.0895,213.8823,216.9877,216.9624,217.6795,217.2029,216.5173,215.7755,217.2679,215.9128,216.8022,215.2115,215.8021,216.4879,215.9503,216.8716,216.6065,217.2978,217.1414,215.1416,215.8068,215.5876,216.1529,215.7449,216.49,216.6749,217.3646,217.2016,216.9145,216.9011,217.6227,215.5221,215.4156,216.1369,216.0895,216.9877,216.9624,217.6795,217.2029,215.7755,217.2679
"Alabama",2000,217.941,-.2222092,.4980233,.0706918,10.10045,.0805189,.0101577,.020781,.4269539,.0783029,.0477274,.4269539,.0783029,.0477274,1,27.15,.5391618,.348713,.4383425,.7959635,.1498576,.0506686,.0035103,,217.9411,220.4188,220.3983,216.7666,218.4178,219.1775,217.5869,221.6417,220.3976,220.7967,221.3721,220.8625,219.4493,220.7365,221.1646,220.3552,217.2823,218.0215,216.9545,219.2576,217.9816,218.7916,221.5517,221.9057,222.3236,221.9986,220.7625,221.3304,220.8086,221.4136,221.1834,221.7711,219.8322,220.2423,219.7565,221.1857,220.5974,221.0767,218.1544,217.3777,218.1545,218.8211,221.8168,222.2304,221.8919,222.3099,222.2167,222.6506,221.3743,221.123,221.6983,221.7749,220.3183,220.0389,220.4894,221.0375,218.2245,222.2267,222.1147,222.5399,222.6056,221.7093,220.4969,222.5079,220.3983,221.6417,219.4493,220.7365,221.1646,220.3552,221.5517,221.9057,222.3236,221.9986,219.8322,220.2423,219.7565,221.1857,220.5974,221.0767,221.8168,222.2304,221.8919,222.3099,222.2167,222.6506,220.3183,220.0389,220.4894,221.0375,222.2267,222.1147,222.5399,222.6056,220.4969,222.5079
"Alabama",2003,223.345,-.3872738,.4851581,.0971275,10.1421,.0107207,.0054831,.0110743,.467882,.0980139,.0009473,.467882,.0980139,.0009473,1,17.92,.6099635,.3609424,.4323355,.6958468,.2298642,.0694462,.0048428,,223.3446,224.7104,226.1288,221.4104,223.0168,224.4999,222.1004,226.5894,224.5126,224.2654,225.5684,224.7297,224.6748,225.7328,226.8291,225.5925,221.1961,222.577,221.1094,223.849,221.7228,223.2216,226.3109,226.0396,227.1663,226.5959,224.107,225.3542,224.5799,224.8607,224.2775,225.5612,224.367,225.3846,224.7038,226.1698,225.1116,226.2332,222.0541,220.818,222.2273,222.5525,225.8092,226.8855,226.3672,226.4098,226.0408,227.1532,224.6977,224.1617,225.3953,224.8569,224.8305,224.3041,225.3502,225.5301,221.654,226.1842,225.8551,226.9215,226.4003,224.7362,224.7363,226.2183,226.1288,226.5894,224.6748,225.7328,226.8291,225.5925,226.3109,226.0396,227.1663,226.5959,224.367,225.3846,224.7038,226.1698,225.1116,226.2332,225.8092,226.8855,226.3672,226.4098,226.0408,227.1532,224.8305,224.3041,225.3502,225.5301,226.1842,225.8551,226.9215,226.4003,224.7363,226.2183
"Alabama",2005,225.071,-.439846,.4902139,.1036706,10.14304,.0233109,.008046,.0132515,.450193,.1019322,.0111734,.450193,.1019322,.0111734,1,20.92,.569113,.3836812,.4227781,.7135235,.2106648,.0715939,.0042177,,225.0712,227.1442,227.0524,223.2883,224.7981,226.1481,223.8156,228.2854,227.0555,226.746,227.9211,227.1916,225.7647,226.7346,227.7242,226.5644,223.1185,224.3759,222.9905,225.5718,223.4828,224.8474,228.1488,227.8323,228.8364,228.3369,226.683,227.8166,227.154,227.2849,226.7788,227.9377,225.5243,226.4483,225.8378,227.1515,226.1534,227.1719,223.9164,222.7303,224.019,224.2455,227.7254,228.6973,228.2489,228.1833,227.87,228.8645,227.2176,226.7613,227.8844,227.299,225.9682,225.4937,226.4522,226.5484,223.4989,228.0812,227.8066,228.7732,228.2081,227.2769,225.9028,228.1485,227.3265,228.4699,226.015,226.9987,227.9897,226.8282,228.3205,228.0038,229.011,228.5175,225.7661,226.6887,226.0848,227.4107,226.4067,227.4258,227.8858,228.8592,228.4178,228.3491,228.0379,229.0351,226.204,225.7317,226.6888,226.796,228.236,227.9645,228.9322,228.3705,226.1347,228.3008
"Alabama",2007,228.520,-.3814501,.4857739,.1006679,10.12191,.0253405,.0095861,.0053529,.4531633,.0970006,0,.4533844,.0968394,0,1,17.05,.5835461,.3719696,.4498361,.7216716,.2033274,.0721933,.0028075,,228.52,230.0671,230.4173,226.6586,228.2552,229.5157,227.165,231.3306,230.0121,229.6805,230.7738,230.1154,229.0881,230.1099,231.0365,229.8903,226.5009,227.6628,226.3169,228.9714,226.8395,228.1074,231.2158,230.8797,231.8218,231.3797,229.6471,230.7041,230.1061,230.1719,229.715,230.7913,228.8601,229.7145,229.1497,230.4946,229.4867,230.4385,227.2376,226.0653,227.2566,227.5374,230.7921,231.7049,231.31,231.1943,230.9161,231.8476,230.1345,229.7223,230.7675,230.1877,229.2672,228.8139,229.7031,229.8445,226.7685,231.1112,230.8689,231.7749,231.2179,230.1906,229.1836,231.174,230.5943,231.4494,229.2497,230.2804,231.2081,230.0602,231.3265,230.9901,231.9345,231.4958,229.0162,229.87,229.3089,230.6622,229.6499,230.6024,230.8955,231.8095,231.4187,231.3013,231.024,231.9576,229.4197,228.9673,229.856,230.0042,231.2111,230.9705,231.8776,231.3224,229.3332,231.2722
"Alabama",2009,227.963,-.4017935,.4825876,.0914222,10.10958,.0423367,.0105625,.004338,.458817,.0849495,0,.458817,.0849495,0,1,20.72,.6083345,.3302628,.4562336,.7194535,.1995453,.0786837,.0023175,,227.9626,228.5686,229.2563,226.2082,227.4213,228.8587,226.6148,229.6838,228.5651,227.9172,229.2019,228.6285,228.043,228.7231,229.8223,228.7542,225.7807,227.1113,225.8542,228.0844,226.0153,227.4543,229.6178,228.9965,230.1235,229.7437,227.9405,229.1846,228.6626,228.3733,227.9668,229.2323,227.5878,228.6157,228.1058,229.0843,228.1285,229.2499,226.4627,225.3338,226.6912,226.6572,228.9601,230.0555,229.7157,229.2885,229.0464,230.161,228.3926,228.0228,229.2529,228.4045,227.9707,227.5464,228.6065,228.4624,225.9805,229.2564,229.0438,230.1303,229.3258,228.4564,227.892,229.3265,229.4923,229.844,228.2587,228.9504,230.0503,228.9794,229.7669,229.1454,230.2747,229.899,227.7961,228.8223,228.3167,229.3071,228.3449,229.4663,229.0995,230.1956,229.8608,229.4323,229.1909,230.3074,228.1736,227.7497,228.8081,228.6736,229.3906,229.1796,230.2666,229.4653,228.0897,229.4573
"Alabama",2011,231.286,-.3170734,.4895926,.0882196,10.08468,.0484207,.0105973,.0137709,.5071099,.0702675,0,.5071099,.0702675,0,1,18.73,.5980842,.3241633,.4226226,.717676,.1961107,.0796967,.0065166,,231.286,231.8297,232.4169,229.2584,230.6689,232.035,229.964,232.8707,231.6627,231.0874,232.3212,231.975,231.0449,231.8217,232.8894,231.9844,228.7725,230.0096,229.0033,231.2334,229.2713,230.6453,232.6709,232.1039,233.2051,233.0155,230.9686,232.1454,231.8562,231.4535,231.2085,232.4366,230.5378,231.5139,231.205,232.1289,231.2798,232.379,229.3486,228.4079,229.6835,229.8056,231.9508,233.004,232.8611,232.3348,232.2256,233.3271,231.3318,231.1326,232.3094,231.5565,230.8572,230.5789,231.6003,231.5538,228.9453,232.1847,232.1134,233.171,232.4441,231.4777,230.8597,232.3341,232.7568,233.1017,231.3556,232.1491,233.2179,232.3073,232.886,232.3186,233.4231,233.2382,230.8378,231.8117,231.5074,232.4499,231.59,232.6893,232.1518,233.2062,233.0694,232.5422,232.4329,233.5371,231.1495,230.8704,231.8894,231.8566,232.3783,232.3084,233.3668,232.6443,231.1432,232.5219
"Alabama",2013,232.861,-.295187,.4815527,.092922,10.06139,.0650885,.0161018,.008337,.526606,.0599767,0,.5255428,.0602736,0,1,18.96,.596627,.3020093,.4134172,.7117024,.1860228,.0989975,.0032772,,232.8613,232.863,233.9187,230.9744,232.1246,233.5077,231.5785,233.9921,232.7884,232.0161,233.2807,232.9728,232.6404,233.219,234.3236,233.4568,230.3669,231.6216,230.6761,232.6243,230.7816,232.1585,233.863,233.1212,234.2646,234.0838,231.9839,233.1978,232.9231,232.3382,232.1139,233.3627,232.0258,233.0396,232.7245,233.4894,232.6645,233.7871,230.8762,229.9766,231.2554,231.2499,233.0346,234.1345,233.9823,233.3184,233.2023,234.3358,232.3033,232.1031,233.3053,232.4187,232.3057,232.0092,233.0544,232.9019,230.4475,233.2345,233.1403,234.233,233.3879,232.4051,232.252,233.3279,234.2277,234.2021,232.9227,233.5167,234.6219,233.748,234.0583,233.3165,234.4625,234.2846,232.2985,233.3099,232.9969,233.781,232.9442,234.0666,233.2172,234.3178,234.1699,233.5069,233.3893,234.5249,232.5712,232.2719,233.3146,233.1748,233.4102,233.316,234.409,233.5683,232.5073,233.4969
"Alabama",2015,230.977,-.3126107,.4826394,.1081837,10.08787,.0571316,.0144112,.0054923,.5497658,.0555656,0,.5514395,.0589081,0,1,24.95,.5759473,.3268899,.3936873,.7227872,.1956069,.0745793,.0070266,,230.9774,231.293,232.0774,228.9225,230.4215,231.9321,229.4227,232.3991,231.2349,230.6161,231.9681,231.2751,230.6896,231.5383,232.6859,231.4657,228.4965,229.8835,228.5015,231.1268,228.7957,230.3111,232.2852,231.6886,232.87,232.3813,230.5918,231.896,231.2672,231.1014,230.5809,231.9176,230.2382,231.3031,230.7104,231.9253,230.8194,231.9955,229.2202,227.9662,229.3876,229.4745,231.6103,232.754,232.3155,232.0003,231.6542,232.8274,231.073,230.6009,231.896,231.0462,230.6468,230.1393,231.2447,231.1754,228.6497,231.9265,231.6189,232.7588,231.9523,231.0619,230.507,231.9205,232.6207,232.7654,231.1862,232.0617,233.2132,231.9923,232.6274,232.0288,233.2178,232.7426,230.7179,231.7815,231.2044,232.4399,231.325,232.5037,231.9298,233.0778,232.6548,232.3302,231.9901,233.1702,231.1158,230.6153,231.7194,231.6703,232.2355,231.9361,233.0797,232.2779,230.9714,232.2271
"Alabama",2017,232.171,-.2311673,.4962733,.115293,10.07316,.0995654,.0129396,.0098568,.6161677,.0547822,0,.5347639,.0643733,.0198052,1,24.10,.5340462,.3215647,.3290502,0,0,0,0,,232.1707,233.0594,235.1327,230.3178,231.7735,232.9559,232.1707,235.2128,232.9485,232.5404,233.5856,233.0594,233.7148,234.6682,235.5838,235.1327,230.0332,231.1071,230.3178,232.3499,231.7735,232.9559,234.9919,234.574,235.5241,235.2128,232.4626,233.4646,232.9485,232.9182,232.5404,233.5856,233.338,234.1597,233.7148,234.9575,234.6682,235.5838,230.6231,230.0332,231.1071,232.3499,234.3979,235.3021,234.9919,234.7862,234.574,235.5241,232.8374,232.4626,233.4646,232.9182,233.6365,233.338,234.1597,234.9575,230.6231,234.6128,234.3979,235.3021,234.7862,232.8374,233.6365,234.6128,233.7216,234.2675,232.4248,233.3084,234.2085,233.7216,234.106,233.6969,234.6217,234.2675,232.0916,232.911,232.4248,233.6174,233.3084,234.2085,233.5715,234.4588,234.106,233.9327,233.6969,234.6217,232.4143,232.0916,232.911,233.6174,233.8105,233.5715,234.4588,233.9327,232.4143,233.8105
"Alabama",2019,229.651,,,,,,,,,,,,,,,,,,,,,,,,229.651,230.5397,232.613,227.7981,229.2538,230.4362,229.651,232.6931,230.4289,230.0207,231.0659,230.5397,231.1951,232.1485,233.0641,232.613,227.5135,228.5874,227.7981,229.8302,229.2538,230.4362,232.4722,232.0543,233.0044,232.6931,229.9429,230.9449,230.4289,230.3985,230.0207,231.0659,230.8183,231.64,231.1951,232.4379,232.1485,233.0641,228.1034,227.5135,228.5874,229.8302,231.8782,232.7824,232.4722,232.2666,232.0543,233.0044,230.3177,229.9429,230.9449,230.3985,231.1168,230.8183,231.64,232.4379,228.1034,232.0931,231.8782,232.7824,232.2666,230.3177,231.1168,232.0931,231.2019,231.7478,229.9052,230.7887,231.6888,231.2019,231.5863,231.1772,232.102,231.7478,229.5719,230.3913,229.9052,231.0977,230.7887,231.6888,231.0519,231.9391,231.5863,231.413,231.1772,232.102,229.8946,229.5719,230.3913,231.0977,231.2908,231.0519,231.9391,231.413,229.8946,231.2908
