grade,subject,year,FIPS,white,black,hispanic,asian,amind,multirace_unclass,free_lunch,red_lunch,miss_lunch,no_freelunch,combo_pct_free_lunch,combo_pct_red_lunch,combo_pct_miss_lunch,lep,sped,testage,nonEnglish_neverathome,nonEnglish_sometimesathome,nonEnglish_alwaysathome,nonEnglish_miss,unadj_score,adj_race_03,adj_lunch_03,adj_LEP_03,adj_SPED_03,adj_age_03,adj_Enlang_03,adj_racelunch_03,adj_raceLEP_03,adj_raceSPED_03,adj_raceage_03,adj_raceEnlang_03,adj_lunchLEP_03,adj_lunchSPED_03,adj_lunchage_03,adj_lunchEnlang_03,adj_LEPSPED_03,adj_LEPage_03,adj_LEPEnlang_03,adj_SPEDage_03,adj_SPEDEnlang_03,adj_ageEnlang_03,adj_racelunchLEP_03,adj_racelunchSPED_03,adj_racelunchage_03,adj_racelunchEnlang_03,adj_raceLEPSPED_03,adj_raceLEPage_03,adj_raceLEPEnlang_03,adj_raceSPEDage_03,adj_raceSPEDEnlang_03,adj_raceageEnlang_03,adj_lunchLEPSPED_03,adj_lunchLEPage_03,adj_lunchLEPEnlang_03,adj_lunchSPEDage_03,adj_lunchSPEDEnlang_03,adj_lunchageEnlang_03,adj_LEPSPEDage_03,adj_LEPSPEDEnlang_03,adj_LEPageEnlang_03,adj_SPEDageEnlang_03,adj_racelunchLEPSPED_03,adj_racelunchLEPage_03,adj_racelunchLEPEnlang_03,adj_racelunchSPEDage_03,adj_racelunchSPEDEnlang_03,adj_racelunchageEnlang_03,adj_raceLEPSPEDage_03,adj_raceLEPSPEDEnlang_03,adj_raceLEPageEnlang_03,adj_raceSPEDageEnlang_03,adj_lunchLEPSPEDage_03,adj_lunchLEPSPEDEnlang_03,adj_lunchLEPageEnlang_03,adj_lunchSPEDageEnlang_03,adj_LEPSPEDageEnlang_03,adj_racelunchLEPSPEDage_03,adj_racelunchLEPSPEDEnlang_03,adj_racelunchLEPageEnlang_03,adj_racelunchSPEDageEnlang_03,adj_raceLEPSPEDageEnlang_03,adj_lunchLEPSPEDageEnlang_03,adj_racelunchLEPSPEDageEnlang_03,adj_Clunch_03,adj_raceClunch_03,adj_ClunchLEP_03,adj_ClunchSPED_03,adj_Clunchage_03,adj_ClunchEnlang_03,adj_raceClunchLEP_03,adj_raceClunchSPED_03,adj_raceClunchage_03,adj_raceClunchEnlang_03,adj_ClunchLEPSPED_03,adj_ClunchLEPage_03,adj_ClunchLEPEnlang_03,adj_ClunchSPEDage_03,adj_ClunchSPEDEnlang_03,adj_ClunchageEnlang_03,adj_raceClunchLEPSPED_03,adj_raceClunchLEPage_03,adj_raceClunchLEPEnlang_03,adj_raceClunchSPEDage_03,adj_raceClunchSPEDEnlang_03,adj_raceClunchageEnlang_03,adj_ClunchLEPSPEDage_03,adj_ClunchLEPSPEDEnlang_03,adj_ClunchLEPageEnlang_03,adj_ClunchSPEDageEnlang_03,adj_raceClunchLEPSPEDage_03,adj_raceClunchLEPSPEDEnlang_03,adj_raceClunchLEPageEnlang_03,adj_raceClunchSPEDageEnlang_03,adj_ClunchLEPSPEDageEnlang_03,adj_raceCluncLEPSPEDageEnlang_03,adj_race,adj_lunch,adj_LEP,adj_SPED,adj_age,adj_Enlang,adj_racelunch,adj_raceLEP,adj_raceSPED,adj_raceage,adj_raceEnlang,adj_lunchLEP,adj_lunchSPED,adj_lunchage,adj_lunchEnlang,adj_LEPSPED,adj_LEPage,adj_LEPEnlang,adj_SPEDage,adj_SPEDEnlang,adj_ageEnlang,adj_racelunchLEP,adj_racelunchSPED,adj_racelunchage,adj_racelunchEnlang,adj_raceLEPSPED,adj_raceLEPage,adj_raceLEPEnlang,adj_raceSPEDage,adj_raceSPEDEnlang,adj_raceageEnlang,adj_lunchLEPSPED,adj_lunchLEPage,adj_lunchLEPEnlang,adj_lunchSPEDage,adj_lunchSPEDEnlang,adj_lunchageEnlang,adj_LEPSPEDage,adj_LEPSPEDEnlang,adj_LEPageEnlang,adj_SPEDageEnlang,adj_racelunchLEPSPED,adj_racelunchLEPage,adj_racelunchLEPEnlang,adj_racelunchSPEDage,adj_racelunchSPEDEnlang,adj_racelunchageEnlang,adj_raceLEPSPEDage,adj_raceLEPSPEDEnlang,adj_raceLEPageEnlang,adj_raceSPEDageEnlang,adj_lunchLEPSPEDage,adj_lunchLEPSPEDEnlang,adj_lunchLEPageEnlang,adj_lunchSPEDageEnlang,adj_LEPSPEDageEnlang,adj_racelunchLEPSPEDage,adj_racelunchLEPSPEDEnlang,adj_racelunchLEPageEnlang,adj_racelunchSPEDageEnlang,adj_raceLEPSPEDageEnlang,adj_lunchLEPSPEDageEnlang,adj_racelunchLEPSPEDageEnlang,adj_Clunch,adj_raceClunch,adj_ClunchLEP,adj_ClunchSPED,adj_Clunchage,adj_ClunchEnlang,adj_raceClunchLEP,adj_raceClunchSPED,adj_raceClunchage,adj_raceClunchEnlang,adj_ClunchLEPSPED,adj_ClunchLEPage,adj_ClunchLEPEnlang,adj_ClunchSPEDage,adj_ClunchSPEDEnlang,adj_ClunchageEnlang,adj_raceClunchLEPSPED,adj_raceClunchLEPage,adj_raceClunchLEPEnlang,adj_raceClunchSPEDage,adj_raceClunchSPEDEnlang,adj_raceClunchageEnlang,adj_ClunchLEPSPEDage,adj_ClunchLEPSPEDEnlang,adj_ClunchLEPageEnlang,adj_ClunchSPEDageEnlang,adj_raceClunchLEPSPEDage,adj_raceClunchLEPSPEDEnlang,adj_raceClunchLEPageEnlang,adj_raceClunchSPEDageEnlang,adj_ClunchLEPSPEDageEnlang,adj_raceCluncLEPSPEDageEnlang
8th grade,mathematics,1996,ALABAMA,56.2%,58.7%,0.0%,15.6%,17.9%,11.4%,12.9%,0.0%,17.5%,80.4%,20.9%,30.1%,28.8%,27.4%,0.0%,14.100985,108.8%,36.5%,0.0%,30.0%,261.07986,264.48062,260.25745,261.02521,260.67111,258.90884,253.98982,254.30777,248.66664,247.31006,264.86896,256.71222,253.88062,257.47791,267.74374,260.7345,246.94562,246.7076,259.79089,250.53827,247.94905,247.77309,250.54616,258.89526,265.3999,260.57062,260.84354,270.6069,250.21094,271.39563,253.46761,267.06061,266.66708,265.76859,255.48996,260.31619,262.62204,254.79259,265.44095,254.12106,256.32065,261.40384,254.63843,249.77097,268.29736,256.30679,247.89775,251.31729,254.09879,268.43475,268.53214,266.87326,256.44989,267.40823,270.57645,255.70724,247.35919,258.6329,259.73798,257.41882,250.03178,251.30704,250.20065,269.81705,258.55511,263.46344,246.41302,252.21516,271.69028,251.18654,254.30762,250.39935,258.56683,272.11981,266.1499,267.66718,247.58492,248.37811,266.26233,252.48198,255.24951,254.77007,256.18683,255.40257,252.52794,259.88168,250.60454,267.54156,263.47025,266.7139,248.17337,265.82278,267.0834,258.84662,258.15994,254.48375,263.397,271.65457,265.6196,258.24716,262.75098,266.29984,255.2338,271.62289,272.20129,269.77777,256.63147,258.37061,262.46814,257.68872,248.96909,265.74802,271.39297,260.25916,270.4382,261.80957,264.98523,271.47672,274.54019,263.439,257.2955,270.00098,267.63934,262.84073,271.08307,267.09744,265.25287,263.492,254.67128,267.1051,261.22351,256.16873,259.84207,255.57773,254.88283,253.94391,251.36818,257.37527,270.24875,260.97934,261.42654,256.79944,252.00002,251.50768,266.99899,251.89948,264.06305,262.7168,265.68704,259.97302,264.06482,269.77844,274.08282,266.00705,269.1835,258.51279,252.03,269.34326,272.97287,267.03116,267.12799,258.48572,260.03043,264.5545,265.71918,264.77777,251.56412,264.25461,259.21024,261.039,264.97079,252.26884,255.18661,257.10956,261.25217,267.23511,256.16626,263.3757,262.61157,273.71588,274.52283,265.68582,249.33624,268.01111,256.93555,271.92767,253.01608,252.48343,257.64606,262.879,266.88837
8th grade,mathematics,2000,ALABAMA,84.3%,18.9%,0.0%,0.0%,0.0%,3.6%,38.3%,0.0%,28.6%,81.0%,24.9%,17.3%,31.5%,15.2%,0.0%,13.98236,54.6%,0.7%,25.0%,0.0%,252.54112,271.26416,263.00366,250.63391,263.46802,266.47931,251.21571,275.15176,260.36987,257.84644,261.58746,259.94849,266.40714,265.18884,257.42566,269.38885,267.35022,269.39554,262.71658,266.61633,270.74335,265.60159,271.2233,257.08398,273.36267,273.26636,259.48099,264.51575,258.44083,257.49442,267.6279,266.93066,250.25299,267.15228,251.75514,270.93854,263.63446,254.07043,269.13501,259.54083,258.2272,261.57974,264.04703,260.16721,275.39655,259.69891,275.92648,275.62906,272.14996,273.46585,274.52634,254.92886,266.15198,262.51337,256.81195,266.22272,250.49483,265.0878,273.92697,272.79437,265.46252,273.32233,267.61661,257.12677,269.3533,261.43457,251.59149,251.28809,269.70874,267.95688,274.32483,264.45175,254.39153,256.61536,273.34433,269.73038,257.13824,272.29645,270.84506,270.80325,269.95303,257.29752,258.29391,272.2514,265.11386,259.40472,271.08542,267.2373,260.84943,272.25552,265.45505,263.83881,262.98419,276.38235,252.31644,253.31931,259.39108,271.27432,266.99164,252.93413,272.22324,267.63223,261.40469,263.09201,260.42368,277.43494,270.63037,264.68427,271.10495,270.71753,259.16797,254.37366,254.56068,264.94028,262.11108,256.75488,254.05228,257.56537,274.66678,270.45441,256.45541,274.27432,269.25693,272.28018,260.01608,255.5215,266.63498,262.6268,259.53342,271.5701,254.96048,267.6073,276.44461,269.39365,272.39621,265.39749,258.36389,278.33887,275.06946,262.73825,266.31494,260.64267,277.5314,259.09088,262.8197,270.81757,266.30228,255.78375,271.75058,275.10339,275.56699,259.58136,263.01837,258.55148,255.37057,266.07755,257.40121,265.65372,273.90631,257.86469,254.56448,263.3299,265.82053,272.56671,261.14731,258.38657,271.16663,273.71002,277.39029,275.30399,255.33467,262.92142,269.9061,254.34561,274.05371,263.47437,259.0235,269.61166,266.90714,277.26865,278.00916,257.98846,274.44824,262.46008,276.23566,271.28976,267.35452,267.36401,267.18518,261.69421,261.0358
8th grade,mathematics,2003,ALABAMA,71.5%,22.0%,0.0%,7.1%,13.7%,22.1%,21.4%,35.7%,0.0%,61.1%,28.9%,0.0%,0.0%,20.9%,22.5%,13.883266,50.1%,27.6%,0.0%,22.1%,261.70596,256.01456,270.85931,272.30865,255.32433,263.05447,250.29668,257.6701,275.56378,253.2505,256.44287,259.40665,270.96671,259.03171,273.49094,264.64108,266.65237,252.63304,259.76169,252.0248,257.48459,258.26691,274.90839,254.94002,266.37717,266.03354,275.61749,276.46698,274.05927,274.04391,274.79272,263.91425,271.65381,258.31754,269.28589,275.95026,270.73709,254.02728,267.64038,267.68863,263.23053,260.7879,264.62607,269.80484,270.23132,274.78537,272.48489,263.35379,268.94617,256.73724,272.31931,265.55728,270.54178,274.78061,257.00748,266.03928,267.0983,259.8898,263.31055,274.31128,268.44333,261.09619,256.38626,255.38843,263.34909,268.07501,267.7995,259.52228,265.61395,269.21512,261.66483,259.89578,258.97665,276.93256,266.90958,268.50916,267.80472,275.88641,271.50192,269.29611,264.64044,270.88953,264.19669,256.9335,265.53806,276.19775,252.68323,262.69455,274.68283,264.32217,264.9621,268.79272,271.11905,266.47998,269.55508,267.60577,265.21365,269.44907,260.99753,257.62955,275.36334,269.1391,277.42725,271.01727,256.47037,265.8681,263.0589,255.39664,269.90884,254.87451,255.43214,270.90445,251.64635,259.31927,253.69299,258.09796,252.51344,275.46185,269.1319,273.08884,265.88248,262.45956,269.80789,257.01465,266.54224,271.72678,271.85672,267.80618,256.96545,262.67612,258.41321,269.26724,268.25772,266.95251,260.88297,258.06116,261.09464,270.27036,268.22455,271.43192,277.05994,254.16429,276.77103,253.96004,252.33191,276.65881,254.91516,273.51755,270.93494,256.60443,257.68921,252.22896,268.62073,254.53531,263.22324,264.08353,269.7641,267.43933,277.6377,262.51425,273.11942,257.40491,261.82538,262.41586,264.68518,277.04172,272.79309,256.9841,276.95322,266.71442,257.90613,261.39868,267.2218,254.87534,261.40707,271.98453,255.58907,254.53925,273.60886,259.78314,256.52881,273.31598,269.26724,261.81805,274.29285,271.19711,256.30121,258.59485,262.8479,271.5274,270.88779
8th grade,mathematics,2005,ALABAMA,55.6%,37.2%,1.0%,2.0%,0.0%,12.2%,35.6%,0.0%,0.0%,71.2%,38.3%,0.0%,24.1%,0.0%,1.4%,14.309101,45.5%,0.0%,26.3%,22.2%,250.22502,273.00113,268.68887,253.1008,262.10965,268.12509,259.69968,258.37711,269.24011,267.22968,259.59909,273.8252,269.92877,270.3219,262.02945,262.17786,272.83356,262.19769,248.42381,268.81009,255.6259,252.65605,269.10294,264.17575,276.59579,263.65582,262.72592,267.03378,274.03897,276.68274,273.638,274.08954,268.83844,277.66656,276.16318,271.39526,269.54724,278.83167,254.2728,265.58597,272.47153,266.86243,263.53754,260.12857,266.36609,271.33896,256.63611,264.09906,267.93817,261.07663,274.05368,273.23935,256.21906,256.37848,271.94962,257.81598,269.58112,261.74936,278.45419,270.60242,263.90292,278.71524,265.84525,274.12589,259.72202,269.78046,264.82428,254.83719,258.64697,270.74683,275.64902,267.29959,279.57074,261.41708,270.82257,265.98715,261.65659,269.50571,259.53085,270.42361,265.15295,265.79971,273.67056,259.61084,261.37878,273.35959,264.56415,256.17307,260.23145,267.7309,269.67038,266.79257,265.73111,273.66885,254.5885,267.25064,271.26141,276.33304,266.69229,250.98393,275.85214,253.38913,274.58008,262.62244,268.45288,277.42575,268.44952,256.02524,274.45642,276.57114,266.09381,251.01073,267.36108,260.60449,265.84918,264.38589,257.18704,266.05634,278.95905,272.7178,273.09619,266.99887,270.99136,256.45673,271.90414,271.77939,265.99762,273.19812,262.38159,268.75735,278.60754,255.9752,263.92892,251.60777,271.89023,259.42197,251.04109,256.18677,271.22498,276.45328,267.02756,263.91232,273.36722,264.87848,274.37689,260.19583,270.23672,261.50754,263.57916,256.49707,255.20518,251.33467,273.73492,265.43805,277.53012,272.80621,276.86386,260.73215,263.82202,270.121,271.96762,263.95526,274.58179,268.96722,260.72702,261.89294,256.51572,270.47531,260.66144,270.88177,260.51993,263.47864,278.42072,271.28644,265.4375,257.49078,257.95813,257.4035,256.54712,257.44397,276.12634,274.34207,260.54907,257.25232,272.75439,268.84918,269.75461,279.99292,264.0603,262.89667,260.55716
8th grade,mathematics,2007,ALABAMA,86.6%,35.3%,0.0%,18.3%,0.0%,5.6%,38.8%,16.0%,0.1%,24.3%,23.1%,15.8%,25.1%,24.5%,0.0%,14.383233,96.8%,22.4%,27.4%,0.0%,266.25031,267.57904,278.52252,253.94791,268.64899,266.48703,275.35162,276.1192,258.58655,274.86014,272.22632,275.34372,265.12781,278.86725,264.62305,278.92114,271.99213,257.42624,253.02837,263.9213,257.496,259.76953,278.75778,279.45657,279.60651,281.02087,279.466,271.2063,277.87692,272.80505,265.73306,264.50665,256.50046,277.50555,273.13214,268.85239,276.04089,281.37265,259.72543,258.52643,259.2269,259.12653,277.33667,275.98059,269.65823,271.61102,270.33322,263.49707,258.81662,259.46924,261.74353,262.45493,274.30487,266.63791,258.69138,275.18146,275.75659,265.58618,279.91104,284.40314,281.64133,262.52078,267.80121,268.30441,261.59753,263.22302,261.53528,265.49423,260.56198,262.72159,264.70761,271.85303,279.29907,270.4054,264.88248,269.53143,278.8974,275.90164,258.61121,269.78915,274.00671,261.91293,259.6297,270.82846,268.43094,276.87704,264.10355,257.29886,264.64352,257.21689,264.05557,276.07053,281.25632,263.4437,278.14975,275.57059,274.28708,270.88293,256.64752,273.7742,261.59747,259.81024,278.16013,276.15546,272.52457,271.32712,270.36856,277.79663,276.36508,279.03177,259.66599,263.87274,259.15021,257.94189,256.79416,254.41795,272.22449,273.2247,262.18692,276.03461,265.04117,275.711,259.79553,278.4863,275.65002,262.4624,260.2699,272.75085,275.14618,260.91153,275.01242,263.20804,259.33319,277.34412,252.55426,266.42511,253.71144,277.93427,279.02676,272.07422,264.60214,278.46158,260.40796,267.29648,270.33685,280.20959,258.27097,260.90945,261.60938,261.63098,276.79495,261.19598,260.82111,261.22385,268.27274,261.01492,271.31628,264.70377,260.71603,278.28754,271.51822,275.45096,268.43317,275.07776,273.82364,276.09241,275.35599,273.90228,277.72476,262.26251,272.22327,261.27997,269.86386,266.02444,275.06494,277.84073,263.62204,274.97778,260.18552,267.36234,280.19366,262.95865,260.91409,276.92062,273.53683,268.05344,264.63104,262.03378,264.08466,259.10416,275.59692
8th grade,mathematics,2009,ALABAMA,66.3%,47.0%,16.3%,0.0%,0.0%,2.3%,40.9%,0.0%,20.9%,36.8%,21.7%,3.9%,8.5%,0.0%,0.0%,14.159337,62.9%,13.3%,20.8%,9.8%,275.03775,263.7171,273.0976,266.73132,266.10864,276.0293,261.4317,264.26785,268.82629,259.06555,265.69022,265.62009,282.06506,275.71558,275.0134,283.26648,255.19545,270.09683,277.27762,280.14606,259.24261,268.17319,282.17511,263.7818,270.39645,280.8591,272.33594,274.46799,279.98398,281.76779,273.02017,275.24356,278.87646,260.51187,270.39221,265.7883,268.76556,274.50577,256.40869,272.8645,261.85379,263.65485,279.91064,267.23367,279.33978,263.55728,272.42938,279.52472,281.04871,277.28772,269.59344,262.29575,273.11642,268.68433,282.92575,261.5589,256.43179,281.51501,269.40204,268.0538,281.58865,282.72543,270.68747,283.52643,265.30493,271.72543,260.33112,273.91708,274.30414,273.31955,279.07156,280.27328,282.23334,284.90762,261.62222,263.13058,277.27136,281.39612,270.29642,262.211,263.6651,265.9306,281.49384,270.14218,276.31625,281.96722,278.10492,261.94528,268.33817,261.71246,277.5011,275.96136,274.95779,269.44281,273.73657,279.5321,261.86807,273.29581,256.65399,269.70062,270.01572,259.03516,260.93695,274.30341,279.42337,279.95319,281.73862,259.95013,258.20157,266.16534,275.72183,267.11026,262.94055,264.62399,266.69501,258.65436,278.5278,261.96133,259.24615,277.99295,280.8443,272.73703,270.70358,261.0845,279.08487,268.35361,261.44702,278.5932,261.27762,273.60138,282.0495,272.3053,273.25165,256.66669,273.66614,270.67755,272.12158,265.98633,283.43326,267.70636,274.06125,271.23062,260.51846,274.61267,279.88879,281.65448,272.6355,268.16232,257.19556,278.74744,271.34015,277.06885,282.0383,273.57217,270.97244,279.1626,277.6553,278.68069,262.81281,270.26227,276.43213,264.52466,267.24136,275.26376,268.9794,269.43259,277.48035,282.33627,260.33722,262.0939,276.85547,267.12628,275.53867,264.22229,261.10489,263.49774,268.58572,267.48059,272.92261,277.37549,271.22644,273.71164,272.20078,276.35352,274.57803,281.32794,275.54535,262.37262,281.53333,279.6123,271.47739
8th grade,mathematics,2011,ALABAMA,84.5%,4.7%,11.9%,0.0%,5.2%,0.0%,30.8%,0.0%,3.0%,44.0%,26.3%,13.5%,0.0%,28.2%,0.0%,13.928269,50.0%,24.9%,33.8%,0.0%,260.7999,261.91785,267.5159,264.00955,275.04849,269.12537,257.31357,279.99722,265.52457,275.50351,273.9537,265.19064,278.08282,279.92691,264.86057,283.8233,279.04538,263.23044,256.0896,281.07846,270.76944,275.71548,270.0932,265.0372,284.85095,280.29974,273.8768,275.39905,266.29144,260.60419,270.02252,281.80084,278.70633,280.77905,282.52557,283.89117,267.53125,277.70276,258.81381,255.52318,266.8786,261.18069,277.4295,268.97119,281.04672,279.29681,264.65259,266.35284,276.90079,279.59723,272.1908,279.56323,274.03033,267.78748,263.1308,261.44855,271.65796,283.83801,272.33459,281.84131,286.18503,277.50735,278.7782,271.39105,264.39713,275.11072,261.08456,268.06207,271.9877,283.4722,262.36566,262.65411,269.20682,285.42395,263.57355,265.52158,278.37964,279.14377,267.17734,283.63934,281.09952,282.7399,264.32639,267.24957,283.04779,265.23145,280.57654,280.66827,282.00735,270.09375,271.24603,271.69205,279.67795,277.00079,277.62405,264.83527,278.66541,270.05399,276.05023,261.48462,265.55582,270.32846,269.27863,279.63593,269.33859,270.96918,268.70929,281.21527,271.39987,283.77179,270.87714,256.25082,272.72763,265.99261,267.77127,271.33148,269.42426,275.19003,265.98074,283.36819,273.77652,275.18045,282.51627,273.6261,261.11795,264.27069,275.5629,264.45822,271.79059,276.95413,279.24008,272.63101,266.60123,273.31601,275.65503,267.94156,261.70297,274.73068,282.74789,279.58441,271.92877,281.89841,263.39346,282.78616,269.85495,274.50397,268.48117,277.89496,266.93063,259.04062,262.6936,258.91205,282.53369,268.60306,266.15176,274.3063,266.9455,272.86453,263.63055,278.04953,259.99661,260.25616,264.41071,268.46295,269.28842,272.80804,259.22876,262.2186,268.3085,259.49237,280.54648,275.51337,276.56973,269.07217,282.19547,277.19763,263.98706,265.86996,264.29407,272.96439,278.5235,258.2724,280.47858,281.82416,275.15213,280.02304,277.56665,266.07175,278.75534,274.78406,260.95245
8th grade,mathematics,2013,ALABAMA,56.1%,55.1%,0.8%,0.0%,0.0%,19.7%,30.1%,3.3%,0.0%,15.9%,63.9%,0.0%,12.5%,14.9%,19.0%,14.081804,75.2%,22.2%,28.3%,11.1%,280.04004,282.41043,277.40823,262.16739,269.53235,272.23038,268.00424,280.66644,274.11917,266.22888,283.14316,262.72321,273.8699,273.67749,274.89441,277.15466,276.39694,261.72186,268.49802,280.07556,256.06281,266.26624,274.95331,275.04214,270.17776,276.80533,268.15945,281.98615,268.7171,266.37494,262.23859,275.3924,263.49002,272.07892,268.60178,285.09998,266.75153,265.93857,276.2009,263.45328,258.96445,269.92279,268.78763,286.72705,270.57657,272.15994,262.17606,277.35287,261.01135,274.94373,274.09717,267.26974,269.95969,263.95419,275.41733,274.21927,255.88336,275.29587,275.81509,266.54791,271.47086,265.30399,283.22006,271.22974,282.50943,266.6626,270.04169,277.28244,271.59149,278.23535,267.30222,268.81158,272.18915,270.59619,267.7236,284.72113,267.26385,271.7525,272.17819,275.99634,266.97833,266.93542,273.4256,282.46356,271.26199,264.54251,279.2998,270.08826,266.89893,273.81537,281.76901,284.92938,281.10349,284.56519,274.53989,276.69461,260.95303,276.04156,259.39389,263.53839,259.54108,262.96561,261.57663,266.05621,280.02637,273.62299,273.36914,266.47357,274.91348,275.57581,275.26291,277.79233,263.5658,255.60321,280.10092,263.64893,278.67542,269.82697,272.60138,271.87753,279.23215,265.04089,264.64615,260.6752,260.59973,266.15555,279.82697,276.7858,263.79214,261.72278,271.41757,280.66052,271.3595,268.59949,270.84393,263.82693,278.72839,277.07999,279.97971,267.49182,259.87686,274.48035,278.20331,278.0025,264.24841,271.56824,269.62308,265.32562,273.25772,274.58847,269.68042,264.10876,271.56064,280.9024,279.66644,267.90793,264.53757,261.67969,270.80109,269.92847,281.38879,265.81705,265.2977,262.82541,264.77084,283.75421,271.64706,270.14136,268.81628,261.12518,268.70102,265.71082,263.6911,270.56479,259.50879,261.6041,282.14453,278.01489,260.38889,261.53998,268.022,278.04947,264.91302,260.27493,258.95193,263.78998,271.35315,262.39822,265.42014,275.22223,279.5777
8th grade,mathematics,2015,ALABAMA,41.5%,9.8%,25.8%,0.0%,12.6%,16.1%,19.3%,22.7%,0.0%,42.7%,65.4%,0.0%,0.0%,16.5%,26.3%,14.261694,75.5%,41.1%,26.6%,14.8%,258.80972,264.3306,277.31107,275.00903,274.215,263.93301,265.56479,276.12015,270.27969,265.84711,262.0672,273.49939,266.91568,273.89224,264.896,264.86707,258.81888,255.26817,274.6889,272.76822,253.38435,261.64093,272.09668,275.70917,280.78391,262.18192,258.04727,269.25607,277.82101,278.6926,262.32117,270.65005,274.57706,270.37766,279.29572,271.8779,266.46005,273.2301,258.65964,256.40027,272.81213,255.43808,276.34448,277.79126,277.07162,269.66241,277.11331,263.9722,273.95819,263.85617,262.80185,274.78281,275.46338,275.03461,266.82959,275.82892,269.15573,259.6972,278.93793,260.80035,276.07001,275.61975,262.05093,268.1424,263.63803,265.41745,259.13797,267.60245,278.47055,261.93219,259.55173,274.83017,268.18723,274.20975,268.21417,274.34842,270.78159,279.15952,265.90326,264.00027,275.06519,283.29379,267.23203,264.45816,271.15607,278.23218,259.45023,281.0899,264.10126,267.99124,274.36078,273.09305,269.08374,281.33456,261.47687,270.16104,260.8934,277.48666,258.83725,258.09506,270.22766,253.17984,261.96805,273.50452,265.60919,264.30939,276.39117,274.60962,272.9726,265.37384,257.88553,253.94322,265.93777,261.74121,264.91135,274.50467,259.94556,266.28314,272.83047,266.46072,258.39639,263.12347,260.99796,254.71941,268.23288,271.50412,260.26398,254.32877,255.78377,254.55327,257.71127,275.39819,274.16299,273.54056,259.76483,266.88657,266.84149,262.26926,268.20129,256.82236,277.36044,274.33789,270.61011,265.64792,264.74072,269.96243,258.78967,272.5994,258.80042,274.24536,274.44412,267.38635,272.00174,267.34869,272.22543,274.21967,268.59659,255.68617,268.40869,264.17899,270.95682,270.19012,276.94958,279.24182,262.18604,261.54828,255.10556,261.62888,272.48865,274.79507,278.72818,267.72925,271.75146,263.90347,265.07263,272.31064,262.33902,259.00552,276.99484,258.02725,256.59271,254.99156,269.90286,270.02554,266.16263,259.15512,263.44748,268.57193,257.95868,262.90164,270.19888
8th grade,mathematics,2017,ALABAMA,84.6%,36.2%,0.0%,29.4%,7.8%,28.0%,84.6%,0.0%,3.2%,12.3%,38.9%,16.6%,15.7%,27.8%,11.5%,13.973677,29.4%,0.0%,10.0%,0.0%,269.30887,259.87659,274.96024,268.06665,277.30881,272.71597,263.02737,280.10428,264.5282,278.73599,273.98233,263.10672,271.93958,269.88596,268.15399,262.73914,254.68062,275.0582,265.3974,280.24384,271.50406,261.6864,274.46695,265.19659,267.2265,279.6669,263.44397,273.28943,273.78421,279.63229,273.62082,260.08224,278.87585,274.32187,277.53491,286.36096,264.12183,286.12906,255.94266,260.00308,268.91757,261.64877,263.14377,269.70096,267.86179,285.94559,265.9324,266.32434,274.11224,270.55466,283.42026,269.13303,281.03958,274.69699,277.0676,263.56097,261.56116,276.64963,265.62314,284.77414,279.68448,261.43362,279.34323,280.32556,283.74677,267.10037,283.48178,277.0386,280.04099,273.53384,282.40942,273.33597,274.7782,266.69385,283.13229,270.11923,267.98572,285.6207,269.00705,271.83417,272.83231,274.73773,269.28998,285.95743,283.69055,286.86121,263.52087,274.46756,267.91339,262.17874,264.45001,274.8493,267.40402,271.7016,268.2579,283.55136,266.73312,260.84351,267.59647,259.43484,271.21289,275.29929,262.02527,269.32495,266.41031,273.02112,264.64542,276.52777,266.2084,275.71057,265.15747,275.76855,267.11896,256.99954,257.81641,276.41302,266.45493,283.24869,268.10452,272.71066,272.07153,269.55106,259.87314,271.47662,259.92435,259.79865,263.07959,275.04526,272.95093,282.41171,272.33234,278.25943,279.03754,259.76361,270.8783,259.86966,277.30597,274.03574,276.06589,274.43289,275.35544,267.08401,264.98132,273.9274,258.24255,260.29361,272.89728,260.53229,265.58255,265.27777,281.01593,263.33475,281.89932,277.40121,275.05917,273.05624,263.73804,264.64832,282.12488,261.22461,270.60367,263.27335,273.06305,265.52057,268.89185,273.03485,258.20447,277.08823,262.44568,271.95493,271.27997,259.09308,281.16208,273.39154,263.66879,262.62958,263.4881,260.00024,277.0307,279.36798,273.56259,269.87503,268.9599,259.80917,263.49561,267.87802,258.99649,263.47662,270.16962,270.18759,261.10699
