FIPS,year,profmean,pct,sepct,semean,diff,profmean_stnd,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,score_m1,score_m2,score_m3,score_m4,score_m5,score_m6,score_m7,score_m8,score_m9,score_m10,score_m11,score_m12,score_m13,score_m14,score_m15,score_m16,score_m17,score_m18,score_m19,score_m20,score_m21,score_m22,score_m23,score_m24,score_m25,score_m26,score_m27,score_m28,score_m29,score_m30,score_m31,score_m32,score_m33,score_m34,score_m35,score_m36,score_m37,score_m38,score_m39,score_m40,score_m41,score_m42,score_m43,score_m44,score_m45,score_m46,score_m47,score_m48,score_m49,score_m50,score_m51,score_m52,score_m53,score_m54,score_m55,score_m56,score_m57,score_m58,score_m59,score_m60,score_m61,score_m62,score_m63,score_m64,score_m65,score_m65_r
"Alabama",1992,207.358,0.000,0.00000,871.85767,-.0009262,-.1887416,.4817995,.0007994,.0466492,10.09229,.6148672,.3127661,.048052,.0058448,.01847,0,,,,.1083897,.8083604,.0832499,207.3585,209.2589,,206.4495,207.3489,208.0424,206.8369,,209.6495,209.1894,209.7317,209.7779,,,,,206.5053,207.1367,206.5456,207.8436,206.7557,207.4565,,,,,209.5327,210.1019,210.1007,209.5277,209.6539,210.2083,,,,,,,207.0112,206.4952,207.1568,207.218,,,,,,,209.8625,209.9395,210.5127,209.9659,,,,,206.9559,,,,,210.2432,,,,
"Alabama",1994,209.849,0.001,0.00075,16.11114,-6.84e-09,-.0642021,.4929731,.0009024,.0538004,10.04855,.6331959,.2786163,.0574479,.0088356,.0217132,.0001911,,,,.0941257,.8380327,.0675889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama",1998,210.921,0.001,0.00090,14.85648,-7.20e-09,-.1141423,.4862577,.0015884,.0567566,10.07555,.6109959,.3001672,.0580841,.0103327,.02042,0,.3870426,.099002,.0297885,.0943782,.8382611,.0673608,210.9208,212.1176,213.3773,209.612,211.1786,212.4943,210.4945,213.6342,212.2639,212.3043,213.423,212.8153,212.238,213.5376,214.412,213.2639,209.9488,211.1949,209.8649,212.3024,210.6596,212.0296,213.668,213.7256,214.5973,214.1869,212.4236,213.5284,212.8718,213.2208,212.9257,214.0654,212.4917,213.3073,212.6137,214.1915,213.3203,214.2497,211.1028,210.0803,211.3783,211.785,213.7516,214.6176,214.1622,214.3587,214.2161,215.1156,213.3225,212.9703,214.0846,213.81,213.1926,212.7385,213.6073,213.9686,211.2018,214.3853,214.1938,215.0764,214.8318,213.8373,213.4037,214.8078,,
"Alabama",2002,206.880,0.001,0.00054,15.09143,-2.10e-09,-.2912578,.5051248,.0097963,.1120602,10.13859,.6032379,.3713225,.0122132,.0053151,.0063906,.0015207,.4565817,.0899338,.1078818,.4137556,.5803018,.0059426,206.88,207.9478,210.5977,204.7038,208.0082,208.5568,205.4403,210.3096,207.8906,208.9969,209.3141,208.1082,208.6794,211.5177,211.7057,209.7657,205.9247,206.3887,204.3944,209.1626,206.5155,207.0861,210.0879,211.15,211.3045,210.4003,208.9016,209.2176,208.0716,209.9166,209.1259,209.4393,209.7348,209.8113,208.6683,212.1935,210.6072,210.8084,207.1049,205.5152,206.0202,207.6734,210.9279,211.0707,210.2203,211.7781,211.2204,211.371,209.8051,209.0529,209.3647,210.0254,210.4471,209.6009,209.7171,211.2653,206.6696,211.5567,211.0369,211.1773,211.8362,209.9358,210.2726,211.6512,,
"Alabama",2003,207.084,0.001,0.00053,15.28505,1.84e-07,-.2691742,.4836109,.0064639,.0995703,10.1411,.6015813,.3689347,.0124713,.0062189,.0088277,.0019662,.456939,.0876539,.0007484,.3990189,.5941328,.0068483,207.0838,208.0573,210.1375,204.4903,207.2341,208.7335,205.481,210.0675,207.7549,208.1279,209.387,208.174,208.0293,210.1734,211.2152,209.2817,204.8171,206.1469,204.1596,208.4184,205.5877,207.0959,209.6649,210.0084,211.0269,210.1435,207.8614,209.0506,207.9269,209.067,208.2248,209.4706,208.2466,209.1258,208.0304,210.8588,209.2411,210.2927,206.0262,204.3833,205.7574,206.7753,209.6622,210.6139,209.804,210.6443,210.0704,211.0799,208.7851,208.008,209.1904,209.1449,208.9668,208.1264,209.0464,209.9095,205.5676,210.2987,209.7799,210.7286,210.6949,208.9122,208.8078,210.4029,210.3631,210.3631
"Alabama",2005,207.752,0.001,0.00064,15.13966,-2.19e-08,-.2826277,.4755881,.0149065,.1009498,10.1396,.5786215,.3809122,.0189607,.0080345,.0123013,.0011698,.4621713,.1022169,.011202,.416977,.5803148,.0027081,207.752,209.0686,210.8069,205.3203,207.9452,209.3339,205.8606,210.993,208.9527,209.1725,210.315,209.0938,208.8134,210.8817,211.8452,209.7835,205.6761,206.9089,204.8071,209.0784,206.0177,207.3898,210.7668,210.9705,211.8991,210.9925,209.0671,210.1645,209.0534,210.0511,209.1898,210.3008,209.0584,209.8706,208.7279,211.5407,209.7844,210.7375,206.8331,205.0541,206.3184,207.1393,210.7756,211.662,210.847,211.5699,210.9666,211.8694,209.9302,209.1508,210.2261,210.0441,209.7515,208.8429,209.6873,210.4138,206.1723,211.3756,210.8418,211.7113,211.5499,209.989,209.4855,211.4236,211.8259,211.3867
"Alabama",2007,216.389,0.001,0.00053,14.14701,-5.62e-10,-.097,.4853927,.0250956,.0930671,10.10828,.5761284,.3705938,.0308434,.0147066,.004419,.0033089,.4538278,.0970356,.0003107,.4368314,.5590343,.0041343,216.389,217.4144,219.0297,214.1564,216.2436,217.7178,214.5153,219.1453,217.4329,217.1953,218.4402,217.4136,217.2221,218.8027,219.8996,218.041,214.1783,215.4905,213.618,217.2111,214.3371,215.788,219.0527,218.8273,219.8839,219.138,217.2209,218.4282,217.5068,217.9324,217.1887,218.4062,217.1592,218.1051,217.1333,219.3642,217.7421,218.8255,215.1654,213.5312,214.8761,215.2874,218.7586,219.7818,219.1237,219.3263,218.8165,219.8511,217.9444,217.2789,218.4689,217.9054,217.7482,216.9423,217.922,218.2703,214.4785,219.2582,218.8152,219.8257,219.3015,217.9811,217.4814,219.2987,219.8145,219.279
"Alabama",2009,216.273,0.001,0.00057,14.01787,-3.76e-08,-.0994484,.4834836,.0219654,.0867861,10.09035,.6120313,.3273239,.041352,.0113492,.0030433,.0049002,.4474535,.0972854,0,.4376225,.5583986,.0039788,216.2734,215.9877,217.9335,213.928,215.7811,217.4277,214.5429,217.4755,215.9786,215.424,216.8602,216.1682,216.1513,217.4158,218.7083,217.1071,213.6301,215.0859,213.5255,216.64,214.0042,215.6265,217.376,216.8425,218.1042,217.6199,215.4405,216.8256,216.1931,216.0685,215.5833,217.0049,215.8052,216.9345,216.1785,217.9262,216.5051,217.792,214.5045,213.1063,214.5988,214.8343,216.7793,217.9968,217.563,217.2799,216.9696,218.2225,216.073,215.6286,217.0051,216.2059,216.3386,215.6966,216.8664,216.9783,213.9341,217.2171,216.9427,218.1565,217.3926,216.2389,216.1789,217.3645,218.5059,217.3534
"Alabama",2011,220.273,0.001,0.00054,13.87238,-1.88e-08,.0073173,.4941203,.0229099,.0779827,10.08186,.5960627,.3224363,.0483405,.0113831,.014631,.0071464,.5111712,.063875,0,.4382498,.5553441,.0064061,220.2734,219.9837,221.793,217.5089,219.2378,221.3415,218.2895,221.3757,219.7074,218.8631,220.7547,220.129,219.7268,220.7713,222.5071,220.865,216.7275,218.5788,217.0571,220.0619,217.2024,219.2682,221.0408,220.213,221.923,221.5048,218.6709,220.4604,219.934,219.4615,218.9877,220.8596,218.918,220.4406,219.767,221.2595,219.7466,221.4708,217.5637,216.1354,218.0292,217.9848,219.9651,221.5828,221.2499,220.6149,220.3227,222.0207,219.2595,218.8643,220.6469,219.5607,219.4228,218.8038,220.3739,220.1859,216.9159,220.3674,220.1431,221.7598,220.7069,219.4273,219.2498,220.5264,223.1147,220.5303
"Alabama",2013,218.576,0.001,0.00054,32.71511,2.58e-08,-.0609407,.4816371,.0211411,.0930786,10.07203,.5978031,.3021476,.0652834,.0150753,.0078501,.0118406,.5131925,.0736144,0,.4495345,.5450802,.0053852,218.5759,217.6792,219.7943,215.8602,217.6744,219.6521,216.7057,219.0658,217.4591,216.7042,218.4764,217.8205,217.7999,218.9087,220.5255,218.9139,215.202,216.9383,215.4243,218.4976,215.763,217.7037,218.7875,218.0441,219.6381,219.1792,216.5546,218.2365,217.6515,217.3143,216.8306,218.5829,217.1165,218.5332,217.8117,219.4034,217.9451,219.5499,216.0374,214.6446,216.4157,216.5518,217.8401,219.3538,218.9554,218.4577,218.1449,219.7256,217.1545,216.7238,218.3949,217.4192,217.6295,216.9937,218.4491,218.399,215.4316,218.2541,217.9871,219.4951,218.5441,217.3019,217.4547,218.3854,221.66,218.428
