grade,subject,year,FIPS,white,black,hispanic,asian,amind,multirace_unclass,free_lunch,red_lunch,miss_lunch,no_freelunch,combo_pct_free_lunch,combo_pct_red_lunch,combo_pct_miss_lunch,lep,sped,testage,nonEnglish_neverathome,nonEnglish_sometimesathome,nonEnglish_alwaysathome,nonEnglish_miss,unadj_score,adj_race_03,adj_lunch_03,adj_LEP_03,adj_SPED_03,adj_age_03,adj_Enlang_03,adj_racelunch_03,adj_raceLEP_03,adj_raceSPED_03,adj_raceage_03,adj_raceEnlang_03,adj_lunchLEP_03,adj_lunchSPED_03,adj_lunchage_03,adj_lunchEnlang_03,adj_LEPSPED_03,adj_LEPage_03,adj_LEPEnlang_03,adj_SPEDage_03,adj_SPEDEnlang_03,adj_ageEnlang_03,adj_racelunchLEP_03,adj_racelunchSPED_03,adj_racelunchage_03,adj_racelunchEnlang_03,adj_raceLEPSPED_03,adj_raceLEPage_03,adj_raceLEPEnlang_03,adj_raceSPEDage_03,adj_raceSPEDEnlang_03,adj_raceageEnlang_03,adj_lunchLEPSPED_03,adj_lunchLEPage_03,adj_lunchLEPEnlang_03,adj_lunchSPEDage_03,adj_lunchSPEDEnlang_03,adj_lunchageEnlang_03,adj_LEPSPEDage_03,adj_LEPSPEDEnlang_03,adj_LEPageEnlang_03,adj_SPEDageEnlang_03,adj_racelunchLEPSPED_03,adj_racelunchLEPage_03,adj_racelunchLEPEnlang_03,adj_racelunchSPEDage_03,adj_racelunchSPEDEnlang_03,adj_racelunchageEnlang_03,adj_raceLEPSPEDage_03,adj_raceLEPSPEDEnlang_03,adj_raceLEPageEnlang_03,adj_raceSPEDageEnlang_03,adj_lunchLEPSPEDage_03,adj_lunchLEPSPEDEnlang_03,adj_lunchLEPageEnlang_03,adj_lunchSPEDageEnlang_03,adj_LEPSPEDageEnlang_03,adj_racelunchLEPSPEDage_03,adj_racelunchLEPSPEDEnlang_03,adj_racelunchLEPageEnlang_03,adj_racelunchSPEDageEnlang_03,adj_raceLEPSPEDageEnlang_03,adj_lunchLEPSPEDageEnlang_03,adj_racelunchLEPSPEDageEnlang_03,adj_Clunch_03,adj_raceClunch_03,adj_ClunchLEP_03,adj_ClunchSPED_03,adj_Clunchage_03,adj_ClunchEnlang_03,adj_raceClunchLEP_03,adj_raceClunchSPED_03,adj_raceClunchage_03,adj_raceClunchEnlang_03,adj_ClunchLEPSPED_03,adj_ClunchLEPage_03,adj_ClunchLEPEnlang_03,adj_ClunchSPEDage_03,adj_ClunchSPEDEnlang_03,adj_ClunchageEnlang_03,adj_raceClunchLEPSPED_03,adj_raceClunchLEPage_03,adj_raceClunchLEPEnlang_03,adj_raceClunchSPEDage_03,adj_raceClunchSPEDEnlang_03,adj_raceClunchageEnlang_03,adj_ClunchLEPSPEDage_03,adj_ClunchLEPSPEDEnlang_03,adj_ClunchLEPageEnlang_03,adj_ClunchSPEDageEnlang_03,adj_raceClunchLEPSPEDage_03,adj_raceClunchLEPSPEDEnlang_03,adj_raceClunchLEPageEnlang_03,adj_raceClunchSPEDageEnlang_03,adj_ClunchLEPSPEDageEnlang_03,adj_raceCluncLEPSPEDageEnlang_03,adj_race,adj_lunch,adj_LEP,adj_SPED,adj_age,adj_Enlang,adj_racelunch,adj_raceLEP,adj_raceSPED,adj_raceage,adj_raceEnlang,adj_lunchLEP,adj_lunchSPED,adj_lunchage,adj_lunchEnlang,adj_LEPSPED,adj_LEPage,adj_LEPEnlang,adj_SPEDage,adj_SPEDEnlang,adj_ageEnlang,adj_racelunchLEP,adj_racelunchSPED,adj_racelunchage,adj_racelunchEnlang,adj_raceLEPSPED,adj_raceLEPage,adj_raceLEPEnlang,adj_raceSPEDage,adj_raceSPEDEnlang,adj_raceageEnlang,adj_lunchLEPSPED,adj_lunchLEPage,adj_lunchLEPEnlang,adj_lunchSPEDage,adj_lunchSPEDEnlang,adj_lunchageEnlang,adj_LEPSPEDage,adj_LEPSPEDEnlang,adj_LEPageEnlang,adj_SPEDageEnlang,adj_racelunchLEPSPED,adj_racelunchLEPage,adj_racelunchLEPEnlang,adj_racelunchSPEDage,adj_racelunchSPEDEnlang,adj_racelunchageEnlang,adj_raceLEPSPEDage,adj_raceLEPSPEDEnlang,adj_raceLEPageEnlang,adj_raceSPEDageEnlang,adj_lunchLEPSPEDage,adj_lunchLEPSPEDEnlang,adj_lunchLEPageEnlang,adj_lunchSPEDageEnlang,adj_LEPSPEDageEnlang,adj_racelunchLEPSPEDage,adj_racelunchLEPSPEDEnlang,adj_racelunchLEPageEnlang,adj_racelunchSPEDageEnlang,adj_raceLEPSPEDageEnlang,adj_lunchLEPSPEDageEnlang,adj_racelunchLEPSPEDageEnlang,adj_Clunch,adj_raceClunch,adj_ClunchLEP,adj_ClunchSPED,adj_Clunchage,adj_ClunchEnlang,adj_raceClunchLEP,adj_raceClunchSPED,adj_raceClunchage,adj_raceClunchEnlang,adj_ClunchLEPSPED,adj_ClunchLEPage,adj_ClunchLEPEnlang,adj_ClunchSPEDage,adj_ClunchSPEDEnlang,adj_ClunchageEnlang,adj_raceClunchLEPSPED,adj_raceClunchLEPage,adj_raceClunchLEPEnlang,adj_raceClunchSPEDage,adj_raceClunchSPEDEnlang,adj_raceClunchageEnlang,adj_ClunchLEPSPEDage,adj_ClunchLEPSPEDEnlang,adj_ClunchLEPageEnlang,adj_ClunchSPEDageEnlang,adj_raceClunchLEPSPEDage,adj_raceClunchLEPSPEDEnlang,adj_raceClunchLEPageEnlang,adj_raceClunchSPEDageEnlang,adj_ClunchLEPSPEDageEnlang,adj_raceCluncLEPSPEDageEnlang
4th grade,mathematics,1996,ALABAMA,35.9%,18.4%,32.8%,0.0%,0.0%,0.0%,24.2%,3.3%,18.6%,66.5%,13.1%,0.0%,25.2%,30.1%,31.7%,10.188394,56.2%,17.3%,0.0%,10.6%,213.0007,216.69878,223.50653,215.12128,215.24364,206.76434,219.67229,220.89955,220.13622,222.47443,224.10435,218.18433,209.23907,214.03827,204.36406,213.4886,219.55869,216.96335,212.17355,204.74019,201.06172,204.37749,219.64,208.34729,217.90974,205.90849,210.83255,202.63318,223.69505,213.69504,208.92891,222.24814,217.87415,219.42178,218.2327,205.51567,214.10132,210.26035,207.3506,210.75948,215.67371,222.18248,214.93639,214.29153,209.23265,220.71765,211.63448,211.17229,205.93404,222.61931,220.34534,215.62712,218.81015,207.79597,217.66982,213.91319,211.39296,210.62677,207.66858,206.08876,214.10118,209.99805,211.08102,222.4938,223.27318,220.03873,202.58302,205.80931,211.76169,221.01599,225.20303,209.35681,215.58931,222.06296,207.25395,207.96991,202.78394,223.86235,202.84567,222.22093,205.48235,206.66132,216.70493,220.43234,202.23483,214.42357,213.75705,204.42387,206.10069,207.40894,214.29114,201.71916,204.46576,204.05109,213.02083,213.35283,214.3484,214.07013,205.1089,225.56587,216.44684,218.55649,208.89407,218.09584,222.18452,206.63142,221.76332,212.98021,210.71948,218.21638,207.23837,203.08537,218.82286,206.52116,213.26768,203.2001,226.29807,213.92343,210.31885,214.83727,225.24123,213.8287,221.94307,207.09175,206.52338,220.99202,206.78328,206.31607,208.27992,205.80914,227.54344,214.00786,223.54443,207.38016,207.61092,215.45761,220.78438,207.46921,217.28741,225.38297,211.85585,214.84448,211.04759,212.89725,226.32472,224.64122,218.89191,220.60455,204.14493,219.05159,211.01573,202.64508,226.21112,217.11514,220.58952,218.45036,206.05748,226.37158,222.31248,224.33966,211.19992,207.83711,208.10405,223.90208,217.80249,217.89012,223.76776,216.81302,212.67262,220.71964,227.56639,206.06323,204.46519,204.64926,209.2121,224.29745,206.44125,220.9342,219.72456,225.34537,220.05896,206.56306,218.87892,222.90483,214.7298,208.70131,206.49182,216.12585,211.16461,214.6711,225.34201
4th grade,mathematics,2000,ALABAMA,60.5%,40.1%,26.3%,1.9%,26.5%,0.0%,34.7%,0.0%,21.0%,51.2%,32.3%,6.5%,17.6%,0.0%,0.0%,10.339324,96.8%,28.9%,0.0%,0.0%,227.36755,224.26419,228.24055,216.95953,220.82697,215.93268,218.53101,214.87622,208.37422,218.46994,219.16252,220.51483,220.26547,213.26888,229.39566,227.9472,205.76622,207.87747,210.74503,227.27306,223.73378,207.82257,222.95799,221.20854,221.52171,211.73354,230.51762,226.31956,231.92451,208.66718,213.40244,223.55597,209.52678,214.42685,210.19691,224.20627,212.29131,219.6962,206.96446,204.02434,225.57663,217.32082,211.85641,217.00464,211.06535,217.63107,218.31169,215.85898,210.74677,217.69809,229.99611,212.04175,219.34306,206.88113,220.51022,219.73508,207.78645,217.67432,216.85301,226.81969,210.33165,229.3526,216.11766,214.47539,221.50461,215.38246,210.02722,214.20049,226.53885,228.68694,216.75104,228.38684,215.76054,213.45122,227.58835,208.37581,210.22845,229.51086,223.29077,214.19727,208.37086,219.0965,227.35031,232.22841,212.49977,230.46352,220.91934,226.34743,219.40369,225.27043,213.70023,214.75427,226.88782,209.7307,226.36748,215.53658,217.72662,212.90955,224.72336,207.91745,208.01547,206.54239,226.79414,210.81856,225.15427,230.39236,227.13884,228.88324,209.39157,231.27815,221.90054,221.63791,210.83865,218.61073,221.67422,229.16302,218.19426,217.62584,227.68666,225.35721,215.29437,224.46294,220.56238,226.77289,212.42938,225.75305,219.85826,231.13724,215.29843,225.05867,223.50394,216.28073,220.55298,223.80597,224.07091,224.49849,209.37358,213.0955,222.00656,226.02162,216.40237,217.51007,214.08618,221.79898,217.03127,216.04318,225.33125,209.72617,223.39116,231.21834,220.93422,213.68976,217.71204,230.47383,211.914,229.24242,217.6972,210.67726,227.87682,223.93814,223.97594,226.73874,226.29999,212.82867,229.14272,226.57243,232.40236,222.48773,226.89421,222.25764,225.23378,221.28772,222.66577,215.51416,223.99438,214.7131,231.99672,229.44885,213.06644,211.86974,233.34857,214.71674,216.35297,209.38956,222.35648,232.18187,223.73405,225.28094,216.63324,227.73053,224.12463
4th grade,mathematics,2003,ALABAMA,63.9%,7.0%,16.0%,0.0%,0.0%,0.0%,68.5%,3.3%,3.3%,22.8%,38.8%,0.0%,0.0%,0.0%,0.0%,10.246265,45.6%,7.2%,0.0%,0.0%,223.33598,235.89473,221.8064,220.16113,229.45314,218.29045,218.31155,237.25784,220.78464,219.94432,231.9426,232.52231,228.2151,231.94978,228.30278,222.4381,231.58139,211.24979,210.00961,223.67297,217.59666,226.10516,232.26924,235.68803,234.64067,214.78593,234.37003,236.62158,234.97676,225.10118,226.002,217.55589,215.69859,233.51155,218.58282,231.24149,222.08589,215.98579,228.46298,232.19044,214.18675,212.00037,225.82445,225.03697,223.12912,226.92279,226.95425,221.87343,219.23344,230.28552,233.33092,220.06044,219.64977,223.25348,222.97563,228.33607,209.79587,220.93861,226.62433,227.65256,237.47661,228.66405,229.48929,223.89005,214.62119,231.50822,233.75128,216.36563,225.62923,219.34966,216.36848,237.19162,233.09946,216.05156,233.939,224.77686,234.55746,220.33707,234.41382,225.3309,230.02965,217.59898,231.91374,217.21017,231.49318,219.57674,223.11447,224.36914,229.32811,219.19632,226.67625,235.19684,236.75258,226.44788,232.07024,217.39481,213.92555,230.40218,227.71738,224.88176,229.15541,221.39174,221.65111,231.66806,214.38942,234.63464,217.84187,230.30861,215.19754,218.79224,215.41304,226.46399,218.09026,212.37985,213.78323,222.21461,228.73421,233.49391,232.60672,218.40591,235.90329,225.45166,234.43282,219.21565,231.36729,222.63287,217.89261,228.10367,213.54297,222.1951,228.06848,224.24857,225.8802,231.36455,217.8226,232.89668,219.64099,214.33621,217.03433,236.02048,224.74823,222.14804,216.91592,233.25038,215.62788,217.18474,220.02281,231.51781,236.13498,217.07933,236.84274,227.77766,234.10851,226.75584,225.12476,227.86241,234.64792,227.20255,225.62907,235.58926,225.33578,213.36911,234.37753,230.71663,223.80309,233.26309,226.50212,225.32549,233.87396,219.91689,235.63707,222.08311,228.33371,225.63173,228.92023,221.26834,220.66321,225.82349,231.78282,219.40199,235.87325,214.52232,223.11798,223.65094,226.63292,220.4474,233.70653,228.73758,221.6418,219.92749,222.66859
4th grade,mathematics,2005,ALABAMA,83.4%,34.9%,20.3%,0.0%,16.5%,0.0%,48.3%,10.1%,0.0%,17.5%,27.4%,0.0%,8.2%,0.0%,13.2%,9.8798771,81.3%,23.8%,0.0%,0.0%,228.50394,227.62297,219.5296,233.60597,231.36371,223.51172,223.69724,226.24997,234.14014,230.50058,239.85846,235.66634,232.67096,220.49413,231.00139,221.20865,223.34067,220.1355,211.53719,219.68309,235.37645,215.79848,219.55351,224.99487,221.65782,221.07578,223.41278,224.69458,232.91774,216.53099,222.39218,225.46587,215.68958,217.41821,235.57138,216.19196,224.52817,221.85408,220.35509,218.16806,228.13458,235.2352,228.3071,239.0101,218.33539,239.06584,219.81184,221.76781,236.83963,224.44112,218.58287,217.60071,231.44125,219.75455,228.97679,218.89799,234.04118,229.30168,223.40082,221.54114,235.10254,234.48219,216.43019,231.51781,215.92174,217.61232,214.71501,225.46068,230.87708,228.00362,235.55414,224.39014,218.88963,228.02222,232.45988,219.45547,217.3609,216.67525,221.40985,218.73804,220.92142,228.33255,221.72086,234.45587,226.94228,218.99754,238.04927,225.89609,232.26685,222.50406,219.55389,216.25517,226.51451,239.98418,216.75446,227.55829,233.35173,223.78008,218.48221,220.90166,233.13638,230.79387,221.36479,228.56621,222.2417,219.84178,233.14233,232.42586,224.42155,222.76321,238.02206,233.48122,233.95786,214.46458,221.87836,215.16805,236.1328,232.32909,236.85204,231.37022,237.87073,221.24005,239.37077,219.29855,227.44423,225.63248,219.34528,215.35516,235.13133,222.87819,229.44899,227.79274,228.48888,223.51633,215.69485,231.92009,224.74696,221.20758,234.27361,239.98946,229.83986,228.36742,228.23958,219.49615,233.4641,233.29489,231.02589,232.66782,215.97833,235.23795,218.93687,226.74098,217.77783,226.68079,236.93596,234.16223,222.15004,230.8446,225.34491,236.91293,221.17642,225.68294,226.9046,222.75125,226.19917,222.67758,233.67946,237.20607,232.14583,234.09123,238.43134,235.86623,218.03943,232.1684,233.77534,222.88373,232.53116,221.56599,239.43884,240.03642,218.44659,229.50954,221.18942,220.26581,235.30421,231.07864,234.83618,219.8537,237.22177,215.14488,221.9469
4th grade,mathematics,2007,ALABAMA,65.8%,41.9%,26.7%,28.1%,0.7%,0.0%,67.1%,0.0%,5.8%,23.1%,29.5%,0.0%,18.5%,21.7%,6.0%,10.366592,95.7%,13.5%,0.0%,0.0%,219.73743,227.80699,238.02664,227.40511,223.71114,223.70291,232.76845,222.88362,218.75371,239.01846,237.18332,228.95587,224.42831,232.46327,234.18358,227.70268,223.30325,219.17719,237.19818,226.27106,221.89151,221.1273,243.358,239.44362,234.29216,224.70911,236.07549,237.86171,240.5376,239.56012,223.73468,227.97314,219.79306,227.48431,232.30154,233.51999,222.39795,235.88187,223.42015,215.1722,223.91286,237.83636,234.59908,229.7662,221.66632,230.01439,233.90506,223.18681,220.52608,219.29626,241.87239,229.96777,239.56084,226.64742,225.63112,234.72173,219.70853,233.55492,240.51889,231.06815,220.64726,220.0213,232.2332,239.14478,233.25917,238.43719,236.87433,226.89865,225.13544,220.19469,228.71536,232.25241,239.36618,233.88744,227.16837,218.29787,227.13702,241.91789,221.58594,230.63048,227.38364,243.01668,240.10623,221.10764,243.30373,220.60078,226.64995,239.08197,223.12378,242.31674,234.89931,241.69269,221.41214,242.2135,241.71594,225.48737,226.79266,226.60017,224.45619,235.84572,234.95067,230.74138,236.27283,231.00287,237.91034,226.01753,231.72173,222.72055,236.91586,240.50528,220.6114,216.71472,216.08087,235.86093,220.9882,222.83063,220.02138,233.27086,237.87402,224.49806,228.15674,228.63991,224.86823,239.1443,235.83885,224.41934,238.21999,228.81032,226.73929,220.56038,235.28062,238.21941,227.58536,234.15897,227.20142,223.67757,234.96329,222.08885,228.84436,233.77457,225.49907,237.90833,236.94617,233.18932,238.37415,235.26643,229.94977,237.43973,236.68478,239.39122,235.53831,230.35855,221.21936,237.00697,226.97951,235.97858,241.2075,217.52573,234.92062,228.36186,242.80446,231.12405,235.87892,232.71295,223.04688,234.32874,219.77017,231.77565,239.90819,218.37018,238.17021,220.14264,241.20311,222.24799,237.48132,229.80699,223.86046,239.39359,230.69226,238.0042,224.11227,240.7316,218.60783,234.73494,225.24747,227.41092,238.35724,221.3519,239.49463,239.58171,229.28555
4th grade,mathematics,2009,ALABAMA,34.1%,45.7%,21.0%,0.0%,0.0%,0.0%,61.0%,0.0%,0.7%,35.5%,72.5%,6.5%,0.0%,0.0%,34.2%,10.387656,77.2%,21.2%,0.0%,0.0%,220.07571,222.55991,223.03674,228.21812,229.45547,239.29597,221.51814,229.76874,228.31561,227.72206,237.85544,218.97824,226.26776,219.88718,238.8174,219.06815,216.96135,231.56648,215.11568,226.399,223.32494,216.07291,224.95726,223.66737,222.07886,232.13164,232.21848,217.59926,224.04272,236.27524,239.05093,234.80974,219.9872,241.53951,223.57022,233.37877,224.30461,224.34929,217.21806,232.06648,222.46396,234.72893,230.04236,227.85005,231.71306,234.99431,231.77582,225.21812,236.28328,231.99059,227.647,222.399,228.39508,220.82191,231.58026,228.98557,237.86459,225.17418,241.14893,234.17862,223.08873,221.43861,233.96559,236.63243,234.43892,241.70935,223.80794,224.69096,226.99231,221.68814,239.61119,226.10991,241.7278,220.58517,219.52751,236.46626,232.2709,220.7291,233.57489,231.95538,232.13748,241.44211,220.33624,221.75555,228.43608,226.62952,221.22211,217.70282,221.84348,233.64252,221.6783,236.74953,223.95403,229.83975,229.69716,227.11218,237.81287,228.6154,234.91997,221.20903,227.02933,231.77022,237.31755,234.63936,229.04996,235.43082,219.3958,229.69839,239.61215,240.20026,240.33736,216.95102,223.03847,225.79814,222.06985,237.32469,226.05072,218.7141,220.73529,222.83675,235.4612,232.5159,223.87334,222.86192,230.68279,236.86842,227.55946,220.3515,233.69806,218.3808,238.85326,222.19084,221.25015,230.26241,225.21982,234.69183,231.92007,218.56053,238.00984,233.09193,236.71082,231.57787,224.70117,219.78029,237.04875,220.72552,239.93143,226.53314,228.08858,236.05121,236.29367,221.36066,235.90184,239.36333,230.25749,233.26152,225.76147,226.58183,225.88538,224.54276,239.60568,230.47316,231.33533,219.39343,228.60995,226.51279,219.58031,240.33774,231.33475,232.62697,229.35362,238.72055,232.2747,235.76909,221.83453,228.45763,230.78607,240.88869,217.85588,218.06996,231.56686,230.12994,226.06628,219.31589,225.73615,222.40097,230.65852,232.78804,234.50613,234.02208,222.98871
4th grade,mathematics,2011,ALABAMA,59.5%,20.4%,24.9%,14.7%,0.0%,0.0%,35.5%,14.1%,6.3%,28.5%,67.5%,16.4%,0.0%,0.0%,20.8%,10.038047,61.8%,45.1%,1.3%,30.6%,230.46671,234.41403,244.8428,221.77966,230.82089,237.83759,225.56451,229.86874,227.5797,237.06436,234.57329,231.22192,241.09622,245.61494,241.3889,242.20175,232.12944,222.82912,225.27415,219.29897,218.68449,235.77354,245.59004,233.90053,223.0464,240.64597,225.94839,235.45583,225.70038,220.51076,227.56442,240.49498,228.97636,240.49377,233.81958,243.918,226.30826,230.80508,235.75096,226.78972,237.48059,235.34891,229.46915,225.18869,242.81451,234.65944,233.78239,224.49493,239.08563,227.91513,225.0854,223.69827,225.67757,238.23189,235.33759,224.17201,239.62819,222.6378,239.64424,240.46973,233.88417,233.00797,223.16248,244.42815,236.73944,238.17053,242.28308,223.8831,244.51624,241.67107,235.3719,242.01849,226.70313,239.71608,242.55231,233.2271,236.29774,224.45969,224.44115,236.16476,231.68427,240.55223,236.63121,245.35753,224.6571,237.43542,233.44746,227.28801,235.16452,243.61626,236.46223,239.65028,230.6066,227.31517,231.66824,237.01691,243.09082,243.65695,234.14781,239.45689,242.72002,229.4549,227.54692,226.98131,220.88937,231.2748,233.49617,224.88498,226.69286,243.70711,232.59401,217.26427,222.30324,225.17773,225.39082,237.60345,240.42249,220.91498,229.7437,243.25296,231.75365,233.98621,241.20216,239.81271,230.63641,220.54726,232.97745,234.04651,221.58226,232.87495,238.8683,233.90862,231.55464,234.63315,216.76776,235.96277,240.40201,232.9129,232.50587,223.49823,231.65343,227.18188,237.45345,222.65076,221.70207,233.76826,228.03307,219.77655,232.0648,234.21349,229.69946,219.33144,241.42581,224.36156,237.31868,223.15359,222.40527,226.95544,225.28406,230.74135,237.19125,221.10555,241.89534,239.41924,233.99835,224.09282,233.33516,223.45956,236.37842,224.18271,234.68164,224.15733,237.7296,227.63004,242.17818,232.34451,241.38599,227.66307,237.35066,244.24916,227.9371,229.58632,234.72116,228.96432,243.08244,233.37341,239.93436,221.62271,236.3183,232.6501,237.74615
4th grade,mathematics,2013,ALABAMA,72.1%,19.2%,18.2%,10.5%,0.0%,28.5%,33.6%,0.0%,14.0%,65.2%,69.7%,0.0%,0.0%,4.1%,0.0%,9.903573,74.0%,17.8%,0.0%,0.0%,223.259,227.27161,247.19304,240.62242,232.93951,222.31554,229.82985,232.89114,240.55251,242.74828,225.99188,240.90677,231.81708,234.81445,235.59471,246.69975,236.2641,242.43997,230.97655,226.72987,233.44046,232.72914,245.92245,229.00703,230.18553,237.21819,222.04964,224.47948,230.09886,226.16132,240.80847,223.09746,223.44147,237.14664,238.32587,245.283,230.49525,241.96233,224.58241,222.3299,240.51945,226.95726,246.13208,236.95599,244.5554,242.64212,232.567,239.57094,221.74799,235.06216,230.10881,227.80318,229.06396,229.08223,236.23776,225.00888,236.60378,226.24602,239.67578,227.00285,229.65236,243.16461,230.07271,227.27788,226.44727,227.44196,234.9286,224.08147,239.76147,239.77531,240.07585,234.64723,239.43774,224.76752,242.88284,238.65459,226.66743,230.06581,237.24692,234.95451,246.6969,225.6344,244.69495,241.74707,235.62617,245.35104,227.08907,231.07693,225.04305,235.47285,230.01434,227.73448,230.50739,232.53537,243.1599,240.20215,225.74493,244.44197,219.83415,238.69531,239.37517,228.76237,237.76558,227.26721,223.26576,228.4866,227.2794,229.61601,234.48264,239.07655,230.2337,234.91782,241.7942,222.94008,233.39685,239.52768,235.75679,233.65886,226.12573,243.75925,229.01759,242.01207,235.85356,244.02325,242.35341,238.30164,232.57556,225.93654,239.45215,224.41577,234.45505,228.9021,234.45331,224.73112,219.79607,240.12456,237.39496,226.22516,237.65117,224.55096,242.12555,232.23969,242.44621,230.22211,242.20155,234.93022,243.82433,227.99651,237.44621,230.67078,221.0183,235.05753,235.78,244.53275,236.20665,229.97049,235.35973,233.81413,244.6618,240.32892,223.68881,243.57039,227.73605,229.56192,228.63467,224.51544,236.84296,227.59892,233.43408,230.62753,242.44267,234.22931,239.56425,232.5872,246.04539,224.95663,232.64194,223.03955,237.89079,234.48241,237.30882,225.05313,225.00877,242.08752,238.97087,226.70175,225.55907,224.8692,244.6935,227.25406,240.42653
4th grade,mathematics,2015,ALABAMA,42.8%,29.2%,0.0%,0.0%,22.2%,3.6%,44.2%,25.6%,16.2%,25.5%,52.8%,0.0%,25.1%,0.0%,34.5%,10.186554,86.4%,11.6%,35.2%,0.0%,237.25243,235.1817,230.40329,229.12256,234.75832,229.29881,227.92813,238.11757,241.74074,220.90343,224.0647,233.7375,244.91328,240.55991,242.90742,228.11713,217.55772,238.91461,237.47076,224.79207,240.74619,221.37883,227.84026,244.23122,223.56296,242.55588,231.51831,230.08357,240.11197,242.1833,229.44221,231.18336,239.24811,239.33499,231.64783,245.52856,239.13631,231.27274,226.2307,237.59607,236.20822,239.722,223.29688,234.5305,233.62439,243.96431,227.60504,227.29439,239.58701,238.6198,239.88858,244.35513,235.68097,239.59373,237.71381,243.07881,220.25175,227.51881,225.87346,229.84573,239.68034,220.71353,245.32721,234.80322,229.66286,232.67281,241.42725,236.07292,233.49211,237.90559,246.67538,232.43422,241.79745,227.00955,230.49263,233.48959,233.43427,246.74652,236.20914,239.81274,225.3373,241.5396,231.30086,242.19803,230.94698,225.71991,239.30206,230.52855,241.09503,225.32932,230.21016,226.78995,233.41858,223.11732,243.67558,228.05659,221.14371,243.9438,226.15152,227.89001,230.16879,225.11198,224.78967,229.32904,241.36465,223.86258,236.97192,236.93501,236.93811,243.28806,227.68973,222.69614,219.46515,239.38568,219.92699,216.92401,224.20724,225.43642,221.29857,241.82924,229.3114,226.95209,243.66679,239.22069,233.33218,222.36218,236.83699,221.24077,230.27873,231.72441,228.15846,230.69501,238.07248,222.67322,228.24934,227.0139,241.08646,221.23608,227.23431,244.22784,241.17078,230.87988,239.1778,221.96457,228.34528,239.18732,222.93102,241.11031,239.02448,222.42322,235.7607,222.05472,243.72858,237.17203,231.08459,231.40915,238.44739,232.00806,239.37958,231.4077,238.61771,229.05632,224.35902,230.84024,239.0096,232.64638,238.3672,229.10063,239.54291,223.2243,237.56474,232.94193,234.50407,219.86223,243.38205,226.28563,230.85838,228.58525,224.89987,220.22414,226.74013,223.4832,221.56435,232.56433,221.40211,231.52258,225.19215,236.91432,235.71594,233.85291,237.91266
4th grade,mathematics,2017,ALABAMA,46.8%,26.1%,29.8%,0.0%,5.9%,0.0%,51.6%,0.2%,0.0%,45.0%,49.3%,1.1%,16.2%,0.0%,16.5%,9.7802839,25.5%,0.0%,17.6%,18.1%,225.30289,225.72444,237.68588,224.41187,232.65984,231.55824,235.0356,242.19098,235.77066,223.10394,225.86971,242.76938,227.7276,248.88686,239.21532,241.68117,220.98882,230.02684,236.21671,237.67258,225.92406,234.8308,241.84764,240.59642,232.22618,239.52551,243.91891,244.76106,238.13112,237.5159,244.23886,232.02341,236.74265,225.91937,241.72112,237.85118,241.17839,240.91353,223.10251,230.59984,226.97202,236.00134,229.36774,245.35442,237.57802,240.53009,245.15318,244.33652,242.41266,230.14421,238.74629,244.60448,233.56596,231.11746,229.84349,232.59261,239.0173,235.1165,233.05455,239.23781,232.77777,246.30394,229.37849,236.68896,239.48856,232.47557,243.72327,236.90627,245.91463,235.36366,245.87648,233.28941,238.80946,241.80858,230.1288,229.51662,243.75031,229.56133,247.08803,233.45621,227.21597,227.50586,240.77232,224.96591,227.83221,243.45154,225.66536,226.52592,238.45302,229.81528,241.82394,242.47989,247.77287,244.74902,242.87665,245.95465,231.28839,236.35481,231.19121,229.10327,236.48589,226.51775,230.63786,233.6989,239.07047,245.26817,221.9023,224.8192,231.7041,243.65013,243.80478,240.11484,223.31363,229.4165,242.27811,222.33678,241.75363,235.98177,222.88239,243.64987,223.9745,234.22084,243.71291,236.037,239.17802,236.69711,224.56023,223.94955,240.0134,243.84982,230.73779,222.65375,232.11421,218.67265,218.92795,225.46265,225.77345,237.36752,236.49559,243.78389,238.61452,245.61378,224.58054,221.87456,228.3576,230.4933,225.91841,232.91258,237.91322,231.80716,236.92062,229.64595,244.73328,224.25377,230.63744,238.25362,230.44328,238.03656,245.33177,244.8698,236.31985,240.16705,241.05656,233.88011,244.86308,232.66602,222.05733,239.84631,235.2108,222.78894,237.38194,234.23055,243.32497,240.52687,241.95094,238.66104,236.66914,223.01167,230.62508,236.54097,244.62802,234.14116,240.09427,243.57933,245.2269,243.39729,226.6916,243.41167,233.13376,242.40935,244.80582
