year,FIPS,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,lang_nr,lang_st,lang_mt,lang_om,score_st_m1,score_m1,score_st_m2,score_m2,score_st_m3,score_m3,score_st_m4,score_m4,score_st_m5,score_m5,score_st_m6,score_m6,score_st_m7,score_m7,score_st_m8,score_m8,score_st_m9,score_m9,score_st_m10,score_m10,score_st_m11,score_m11,score_st_m12,score_m12,score_st_m13,score_m13,score_st_m14,score_m14,score_st_m15,score_m15,score_st_m16,score_m16,score_st_m17,score_m17,score_st_m18,score_m18,score_st_m19,score_m19,score_st_m20,score_m20,score_st_m21,score_m21,score_st_m22,score_m22,score_st_m23,score_m23,score_st_m24,score_m24,score_st_m25,score_m25,score_st_m26,score_m26,score_st_m27,score_m27,score_st_m28,score_m28,score_st_m29,score_m29,score_st_m30,score_m30,score_st_m31,score_m31,score_st_m32,score_m32,score_st_m33,score_m33,score_st_m34,score_m34,score_st_m35,score_m35,score_st_m36,score_m36,score_st_m37,score_m37,score_st_m38,score_m38,score_st_m39,score_m39,score_st_m40,score_m40,score_st_m41,score_m41,score_st_m42,score_m42,score_st_m43,score_m43,score_st_m44,score_m44,score_st_m45,score_m45,score_st_m46,score_m46,score_st_m47,score_m47,score_st_m48,score_m48,score_st_m49,score_m49,score_st_m50,score_m50,score_st_m51,score_m51,score_st_m52,score_m52,score_st_m53,score_m53,score_st_m54,score_m54,score_st_m55,score_m55,score_st_m56,score_m56,score_st_m57,score_m57,score_st_m58,score_m58,score_st_m59,score_m59,score_st_m60,score_m60,score_st_m61,score_m61,score_st_m62,score_m62,score_st_m63,score_m63,score_st_m64,score_m64
1990,Alabama,0.4981613,0.0011656,0.0423772,14.1754,0.6438388,0.2892943,0.0457521,0.0105778,0.010537,0,,,,0.0582736,0.8963364,0.04539,0.8250555,0.1431962,0.0244706,0.0065764,-0.277343,252.2738,-0.2445704,253.4201,,,-0.3330415,250.3255,-0.3534793,249.6107,-0.213061,254.5222,-0.3401071,250.0784,,,-0.2633429,252.7634,-0.3200014,250.7817,-0.187333,255.4221,-0.2524728,253.1437,,,,,,,,,-0.39858,248.0332,-0.268484,252.5836,-0.3607296,249.3571,-0.302564,251.3916,-0.4143441,247.4818,-0.2791423,252.2108,,,,,,,,,-0.3325979,250.3411,-0.2069373,254.7364,-0.2659319,252.6729,-0.2740071,252.3904,-0.3259977,250.5719,-0.1977957,255.0562,,,,,,,,,,,,,-0.3466236,249.8505,-0.4286524,246.9813,-0.3003276,251.4698,-0.3647987,249.2148,,,,,,,,,,,,,-0.2869203,251.9388,-0.3343194,250.2808,-0.2120906,254.5562,-0.2818508,252.1161,,,,,,,,,-0.3790526,248.7162,,,,,,,,,-0.2904996,251.8136,,,,
1992,Alabama,0.480211,0.0013351,0.0489684,14.17218,0.6138272,0.3179874,0.0443174,0.0055368,0.0183312,0,,,,0.0741676,0.8739085,0.0519239,0.8352804,0.1355339,0.0247068,0.0044789,-0.3842724,252.1875,-0.3188209,254.4769,,,-0.4397928,250.2455,-0.4531336,249.7789,-0.3211288,254.3961,-0.4499922,249.8888,,,-0.3372793,253.8312,-0.3884988,252.0397,-0.2634314,256.4143,-0.328452,254.14,,,,,,,,,-0.4984556,248.1936,-0.3763818,252.4635,-0.4699316,249.1913,-0.4034111,251.5181,-0.5166426,247.5575,-0.390296,251.9768,,,,,,,,,-0.4010653,251.6001,-0.2826896,255.7407,-0.3415212,253.6829,-0.3441515,253.5909,-0.3958507,251.7825,-0.2756268,255.9877,,,,,,,,,,,,,-0.4477299,249.9679,-0.5307044,247.0656,-0.4107889,251.26,-0.4684445,249.2434,,,,,,,,,,,,,-0.3570211,253.1407,-0.4040849,251.4945,-0.2895023,255.5024,-0.3533769,253.2682,,,,,,,,,-0.4824536,248.7534,,,,,,,,,-0.3619244,252.9692,,,,
1996,Alabama,0.5090332,0,0.0618856,14.12699,0.6112584,0.3216206,0.0416763,0.008377,0.0163532,0.0007144,0.293341,0.0678867,0.0323966,0.0687244,0.8884886,0.0427871,0.8154705,0.1270108,0.0425692,0.0149494,-0.3441808,258.8976,-0.2785155,261.1945,-0.3394765,259.0622,-0.4011037,256.9066,-0.3987847,256.9877,-0.2970302,260.5469,-0.3908993,257.2635,-0.2800957,261.1392,-0.2977821,260.5206,-0.3341816,259.2474,-0.2385248,262.5933,-0.2756334,261.2953,-0.3797976,257.6519,-0.3894434,257.3145,-0.3015471,260.3889,-0.3538126,258.5608,-0.4460828,255.3333,-0.3538143,258.5607,-0.4165907,256.3649,-0.3614995,258.2919,-0.4455711,255.3512,-0.3477109,258.7742,-0.2969166,260.5508,-0.3326807,259.2999,-0.2452692,262.3574,-0.2751858,261.3109,-0.3479852,258.7646,-0.2582643,261.9028,-0.291635,260.7356,-0.3019013,260.3765,-0.3312135,259.3512,-0.2382509,262.6028,-0.4228861,256.1447,-0.3415975,258.988,-0.3755973,257.7988,-0.3603821,258.331,-0.4065215,256.7171,-0.3207451,259.7174,-0.4081873,256.6588,-0.4650743,254.6691,-0.3736934,257.8654,-0.4103634,256.5827,-0.3449237,258.8717,-0.2622818,261.7623,-0.2894279,260.8128,-0.3051042,260.2645,-0.3279938,259.4638,-0.2427014,262.4472,-0.3158989,259.8869,-0.3423302,258.9624,-0.2546979,262.0276,-0.3007706,260.416,-0.3931789,257.1838,-0.4232131,256.1333,-0.3424847,258.957,-0.3803085,257.634,-0.4298353,255.9016,-0.3172984,259.838,-0.3380595,259.1118,-0.2571513,261.9417,-0.3020346,260.3718,-0.3120785,260.0205,-0.3967382,257.0593,-0.3120872,260.0202
2000,Alabama,0.494566,0.0036476,0.0927375,14.14765,0.6291094,0.3089616,0.0384317,0.00693,0.0165673,0,0.3139559,0.0720889,0.0692957,0.0745297,0.8816192,0.0438511,0.8343986,0.1177264,0.0380246,0.0098504,-0.314436,262.1582,-0.2639624,263.9236,-0.2776765,263.444,-0.3675271,260.3012,-0.3349871,261.4394,-0.2599748,264.0631,-0.3697667,260.2228,-0.2409102,264.73,-0.2792469,263.389,-0.2865901,263.1322,-0.2169076,265.5695,-0.2655831,263.867,-0.3178783,262.0378,-0.2979891,262.7335,-0.2339802,264.9724,-0.2991879,262.6916,-0.3806799,259.8412,-0.3128559,262.2135,-0.3901373,259.5103,-0.2940088,262.8727,-0.3898711,259.5197,-0.3191857,261.9921,-0.2554958,264.2198,-0.2642262,263.9144,-0.200751,266.1346,-0.2405133,264.7439,-0.2984077,262.7188,-0.2328786,265.0109,-0.2772621,263.4585,-0.2507035,264.3874,-0.2875926,263.0971,-0.2212036,265.4193,-0.3322715,261.5344,-0.2737448,263.5815,-0.3185343,262.0149,-0.2660088,263.8521,-0.3218539,261.8987,-0.2607036,264.0377,-0.3389638,261.3003,-0.4063666,258.9427,-0.3399916,261.2643,-0.3509371,260.8815,-0.2755999,263.5166,-0.2155956,265.6154,-0.2519889,264.3425,-0.2339735,264.9726,-0.2634746,263.9407,-0.2027904,266.0633,-0.2627569,263.9658,-0.2964191,262.7884,-0.233547,264.9875,-0.2536027,264.286,-0.2995214,262.6799,-0.3374519,261.3531,-0.2799816,263.3633,-0.2929597,262.9094,-0.3673941,260.3058,-0.2452903,264.5768,-0.2722346,263.6343,-0.2145545,265.6518,-0.2349195,264.9395,-0.2626657,263.969,-0.3082396,262.3749,-0.243664,264.6337
2003,Alabama,0.4870734,0.0101998,0.1108578,14.17251,0.6188258,0.3575551,0.0119958,0.0075978,0.00347,0.0005554,0.3871396,0.0812021,0,0.3500671,0.6437684,0.0061645,0.7656874,0.1775887,0.0466657,0.0100582,-0.4052927,261.939,-0.3360791,264.36,-0.3221712,264.8464,-0.4515012,260.3228,-0.4058435,261.9197,-0.3420341,264.1517,-0.4513029,260.3297,-0.2843347,266.1699,-0.3394151,264.2433,-0.338881,264.262,-0.2811596,266.2809,-0.3364607,264.3466,-0.3617299,263.4628,-0.3294546,264.5917,-0.2743407,266.5194,-0.3427196,264.1277,-0.4465137,260.4972,-0.3879377,262.5461,-0.4700882,259.6726,-0.3593908,263.5446,-0.4517232,260.315,-0.3901867,262.4674,-0.2911769,265.9305,-0.293994,265.832,-0.2406433,267.6981,-0.2847382,266.1558,-0.3415463,264.1687,-0.285552,266.1273,-0.3384038,264.2787,-0.2981503,265.6866,-0.3389358,264.26,-0.2832631,266.2073,-0.3635927,263.3976,-0.3133316,265.1556,-0.3634917,263.4011,-0.2950506,265.795,-0.3520962,263.7997,-0.2988307,265.6628,-0.3991061,262.1554,-0.4677391,259.7548,-0.4095545,261.7899,-0.4059301,261.9167,-0.299373,265.6439,-0.2478385,267.4464,-0.2899387,265.9738,-0.2617314,266.9605,-0.2940648,265.8295,-0.2425408,267.6317,-0.3011447,265.5819,-0.3404499,264.2071,-0.2862262,266.1037,-0.2993617,265.6443,-0.3282961,264.6322,-0.3693236,263.1971,-0.3195215,264.9391,-0.319831,264.9283,-0.421898,261.3582,-0.2670389,266.7748,-0.2980704,265.6894,-0.2481354,267.436,-0.2628008,266.9231,-0.3012071,265.5797,-0.3367012,264.3382,-0.2667869,266.7837
2005,Alabama,0.5067368,0.0108416,0.1221823,14.18907,0.5914631,0.3668367,0.023011,0.0097816,0.0075907,0.0013168,0.4055675,0.0922669,0.0137261,0.3925116,0.5996572,0.0078312,0.7481999,0.178575,0.0543862,0.0188389,-0.4381257,262.2111,-0.3480886,265.3604,-0.3288611,266.0329,-0.4836599,260.6184,-0.4261771,262.629,-0.3690064,264.6288,-0.4706759,261.0726,-0.2854662,267.5508,-0.353846,265.159,-0.3393409,265.6664,-0.2872754,267.4875,-0.3405623,265.6237,-0.3700692,264.5916,-0.3263209,266.1218,-0.2767729,267.8549,-0.3411126,265.6044,-0.466903,261.2045,-0.4141879,263.0484,-0.491494,260.3444,-0.376037,264.3828,-0.4605226,261.4277,-0.4034927,263.4225,-0.2949877,267.2177,-0.2851884,267.5605,-0.2370548,269.2441,-0.2789294,267.7794,-0.3444877,265.4864,-0.2941663,267.2465,-0.3454394,265.4531,-0.2948185,267.2237,-0.3332669,265.8788,-0.2817773,267.6798,-0.3622046,264.8667,-0.3173253,266.4364,-0.3645107,264.786,-0.2892759,267.4175,-0.342096,265.57,-0.2928849,267.2913,-0.4156983,262.9955,-0.4787429,260.7904,-0.4249494,262.672,-0.4107395,263.169,-0.2931401,267.2824,-0.2469521,268.8979,-0.2871522,267.4918,-0.2498953,268.795,-0.2798688,267.7466,-0.2322267,269.413,-0.3003122,267.0315,-0.3375862,265.7278,-0.2877309,267.4716,-0.2900271,267.3913,-0.324178,266.1967,-0.3618084,264.8805,-0.316195,266.476,-0.3070297,266.7965,-0.4289082,262.5335,-0.2577723,268.5195,-0.2866601,267.509,-0.2408625,269.1109,-0.2456558,268.9433,-0.2946912,267.2281,-0.3263643,266.1203,-0.2524269,268.7065
2007,Alabama,0.4914083,0.0185941,0.0917142,14.18917,0.6011565,0.354673,0.0248175,0.0089321,0.0082844,0.0021365,0.394643,0.0936857,0.0014912,0.405515,0.589949,0.004536,0.7544346,0.185089,0.044185,0.0162913,-0.4084958,266.0001,-0.3283327,268.804,-0.31202,269.3746,-0.4458864,264.6923,-0.4301764,265.2418,-0.3393431,268.4189,-0.4478525,264.6235,-0.2715874,270.7889,-0.3278387,268.8213,-0.3519531,267.9778,-0.267379,270.9361,-0.3248673,268.9253,-0.3464703,268.1696,-0.339479,268.4142,-0.2597903,271.2015,-0.3277507,268.8244,-0.4619821,264.1293,-0.3763487,267.1245,-0.4593403,264.2217,-0.3783605,267.0542,-0.4703398,263.8369,-0.3807211,266.9716,-0.2753404,270.6576,-0.3016156,269.7386,-0.2229304,272.4908,-0.2681738,270.9083,-0.3505908,268.0255,-0.2681314,270.9098,-0.3226838,269.0016,-0.3057446,269.5941,-0.3490524,268.0793,-0.2659012,270.9878,-0.3685369,267.3978,-0.2934453,270.0243,-0.3435454,268.2719,-0.3011253,269.7557,-0.3581892,267.7597,-0.2794596,270.5135,-0.4089566,265.984,-0.4791475,263.5289,-0.3929375,266.5443,-0.4188862,265.6367,-0.3037252,269.6648,-0.227107,272.3447,-0.26995,270.8461,-0.2648877,271.0232,-0.2987386,269.8392,-0.221239,272.55,-0.3047807,269.6278,-0.3463151,268.175,-0.2649288,271.0218,-0.3041382,269.6503,-0.3289768,268.7815,-0.3705407,267.3277,-0.295146,269.9648,-0.3218487,269.0308,-0.4276327,265.3307,-0.2669096,270.9525,-0.2991988,269.8231,-0.223491,272.4712,-0.2631275,271.0848,-0.3018054,269.7319,-0.333724,268.6155,-0.2635635,271.0695
2009,Alabama,0.4900171,0.0111586,0.0898398,14.16443,0.6006877,0.3471677,0.0262204,0.0116303,0.0131858,0.001108,0.4134801,0.0833278,0,0.4076093,0.5891424,0.0032483,0.7711606,0.1720598,0.0445019,0.0122777,-0.3746398,268.5241,-0.2982535,271.196,-0.2673823,272.2758,-0.4198411,266.9431,-0.3983893,267.6934,-0.3142421,270.6367,-0.4195678,266.9526,-0.2342845,273.4334,-0.3050875,270.9569,-0.3239616,270.2968,-0.2456315,273.0366,-0.2982043,271.1977,-0.308282,270.8452,-0.2974537,271.2239,-0.2225976,273.8422,-0.2874215,271.5748,-0.4369668,266.3441,-0.3591564,269.0657,-0.4370078,266.3426,-0.352897,269.2846,-0.4432943,266.1227,-0.361643,268.9787,-0.2450444,273.0571,-0.2671448,272.2841,-0.1933742,274.8644,-0.2340252,273.4425,-0.3286178,270.1339,-0.2534137,272.7643,-0.3026727,271.0414,-0.2838094,271.7012,-0.3236934,270.3061,-0.2475668,272.9689,-0.332032,270.0144,-0.2630431,272.4275,-0.3085024,270.8375,-0.2643043,272.3834,-0.3198654,270.44,-0.2470008,272.9886,-0.390526,267.9684,-0.4571276,265.6389,-0.3796386,268.3493,-0.3986708,267.6836,-0.2750029,272.0092,-0.2044303,274.4777,-0.2422274,273.1556,-0.2359489,273.3752,-0.2667079,272.2993,-0.194873,274.812,-0.2887784,271.5274,-0.3264148,270.2109,-0.2529576,272.7803,-0.2848922,271.6633,-0.2980622,271.2026,-0.3366132,269.8542,-0.2680119,272.2537,-0.2891572,271.5141,-0.4124559,267.2014,-0.2437422,273.1026,-0.2724295,272.0992,-0.2034093,274.5134,-0.2367038,273.3488,-0.2879305,271.557,-0.3055687,270.9401,-0.2424076,273.1493
2011,Alabama,0.4940161,0.0159187,0.0945352,14.14984,0.5923467,0.3306609,0.0480343,0.0132475,0.0120998,0.0036109,0.4534285,0.0764182,0,0.4524856,0.5446715,0.0028429,0.7610697,0.1777171,0.0566739,0.0045393,-0.3906835,269.0965,-0.313045,271.8121,-0.2519384,273.9495,-0.4308845,267.6904,-0.4092504,268.4471,-0.3354462,271.0286,-0.4385514,267.4222,-0.2304857,274.6999,-0.3204832,271.552,-0.3336712,271.0907,-0.2647288,273.5021,-0.3195585,271.5843,-0.2920489,272.5465,-0.2794652,272.9867,-0.2122894,275.3364,-0.2781539,273.0326,-0.4436932,267.2424,-0.3753804,269.6318,-0.453506,266.8991,-0.3677999,269.8969,-0.4556131,266.8254,-0.3853098,269.2845,-0.2431077,274.2584,-0.2607238,273.6422,-0.1945312,275.9575,-0.236797,274.4791,-0.3390352,270.9031,-0.2730171,273.2122,-0.3243753,271.4158,-0.29695,272.3751,-0.3385577,270.9198,-0.2729199,273.2156,-0.3134388,271.7984,-0.252076,273.9447,-0.2989665,272.3046,-0.2500809,274.0145,-0.30657,272.0386,-0.2425912,274.2765,-0.4013709,268.7227,-0.4676208,266.4054,-0.4007855,268.7432,-0.4148459,268.2514,-0.2702242,273.3099,-0.2073886,275.5078,-0.2464792,274.1405,-0.2332506,274.6032,-0.265503,273.4751,-0.2023678,275.6834,-0.3025937,272.1777,-0.3418169,270.8058,-0.2785732,273.0179,-0.3030397,272.1621,-0.2834053,272.8489,-0.3232207,271.4562,-0.2633483,273.5504,-0.2795578,272.9835,-0.426809,267.8329,-0.2426981,274.2727,-0.2725845,273.2274,-0.2123207,275.3353,-0.2391199,274.3979,-0.3065841,272.0381,-0.2959328,272.4107,-0.2461866,274.1507
2013,Alabama,0.4897704,0.0130314,0.0887198,14.12513,0.6000571,0.3285019,0.041733,0.0116372,0.010797,0.0072739,0.4972179,0.0655132,0.0003475,0.500743,0.4982714,0.0009856,0.778607,0.1584683,0.0569989,0.0059259,-0.4143072,269.1943,-0.3434997,271.671,-0.2426172,275.1996,-0.4575411,267.6821,-0.4392928,268.3203,-0.3678141,270.8205,-0.4621557,267.5206,-0.237237,275.3878,-0.3518818,271.3778,-0.370209,270.7368,-0.303759,273.061,-0.3475629,271.5288,-0.287712,273.6223,-0.2782114,273.9546,-0.2110395,276.3041,-0.2692648,274.2675,-0.4760734,267.0338,-0.4108605,269.3148,-0.4791551,266.926,-0.4039446,269.5567,-0.4858213,266.6929,-0.4183777,269.0519,-0.252383,274.858,-0.2760216,274.0312,-0.2102646,276.3312,-0.2418922,275.225,-0.3761141,270.5302,-0.3128004,272.7448,-0.3536551,271.3158,-0.3395289,271.8098,-0.3728558,270.6442,-0.3096514,272.8549,-0.3162588,272.6238,-0.2561399,274.7266,-0.2935281,273.4189,-0.2542584,274.7924,-0.3060611,272.9805,-0.242539,275.2024,-0.4400606,268.2935,-0.4992813,266.2221,-0.4357599,268.4439,-0.4517958,267.883,-0.2873368,273.6354,-0.2255425,275.7968,-0.2541493,274.7963,-0.2547446,274.7754,-0.2792478,273.9184,-0.2165732,276.1106,-0.3456596,271.5954,-0.3769295,270.5017,-0.3163832,272.6194,-0.3435022,271.6709,-0.2920198,273.4716,-0.3253546,272.3056,-0.2667834,274.3543,-0.2851172,273.7131,-0.4652212,267.4134,-0.2660252,274.3809,-0.2881788,273.606,-0.2289813,275.6766,-0.2591723,274.6205,-0.3478027,271.5205,-0.304264,273.0434,-0.2680938,274.3085
