FIPS,year,profmean,pct,sepct,semean,diff,profmean_stnd,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,score_m1,score_m2,score_m3,score_m4,score_m5,score_m6,score_m7,score_m8,score_m9,score_m10,score_m11,score_m12,score_m13,score_m14,score_m15,score_m16,score_m17,score_m18,score_m19,score_m20,score_m21,score_m22,score_m23,score_m24,score_m25,score_m26,score_m27,score_m28,score_m29,score_m30,score_m31,score_m32,score_m33,score_m34,score_m35,score_m36,score_m37,score_m38,score_m39,score_m40,score_m41,score_m42,score_m43,score_m44,score_m45,score_m46,score_m47,score_m48,score_m49,score_m50,score_m51,score_m52,score_m53,score_m54,score_m55,score_m56,score_m57,score_m58,score_m59,score_m60,score_m61,score_m62,score_m63,score_m64
"Alaska",1996,223.833,0.000,0.00015,11.82325,-3.54e-09,.0481107,.4977454,.0659337,.1012374,10.04301,.5728813,.0375879,.1143054,.0438001,.2314253,0,.19627,.0502868,.4324788,,,,223.8335,223.7667,223.7368,224.41,224.9273,224.5119,223.8335,223.5916,224.0109,224.6611,224.2994,223.7667,224.1104,224.7254,224.2628,223.7368,225.4258,225.1069,224.41,225.3369,224.9273,224.5119,223.845,224.4282,224.0725,223.5916,224.8427,224.5292,224.0109,224.9708,224.6611,224.2994,225.0571,224.6808,224.1104,225.0053,224.7254,224.2628,225.8604,225.4258,225.1069,225.3369,224.6269,224.323,223.845,224.6895,224.4282,224.0725,225.1494,224.8427,224.5292,224.9708,225.3775,225.0571,224.6808,225.0053,225.8604,224.8927,224.6269,224.323,224.6895,225.1494,225.3775,224.8927
"Alaska",2003,232.992,0.000,0.00010,9.64579,-8.52e-09,-.0350888,.4811333,.1770025,.1561877,10.05341,.5585697,.0451771,.0471763,.0741901,.2580872,.0129406,.2625329,.0674962,.0612541,,,,232.9917,231.0774,230.7532,234.8502,233.9793,233.4469,232.9917,230.1016,232.7383,231.8329,231.4173,231.0774,232.1131,231.7215,231.1172,230.7532,235.6988,235.3279,234.8502,234.2385,233.9793,233.4469,231.5654,230.8751,230.411,230.1016,233.2834,233.0514,232.7383,232.0211,231.8329,231.4173,232.9859,232.5359,232.1131,231.9045,231.7215,231.1172,235.9864,235.6988,235.3279,234.2385,232.1553,231.8699,231.5654,231.0346,230.8751,230.411,233.4664,233.2834,233.0514,232.0211,233.216,232.9859,232.5359,231.9045,235.9864,232.3212,232.1553,231.8699,231.0346,233.4664,233.216,232.3212
"Alaska",2005,235.511,0.000,0.00010,9.56189,4.17e-09,-.058173,.4959617,.1883658,.1435712,10.0396,.5566725,.0400004,.0392142,.0754866,.26279,.0258363,.3203948,.0658177,.0056029,,,,235.5107,233.2527,233.784,237.6078,236.1263,235.7712,235.5107,232.7597,235.2218,233.6332,233.4176,233.2527,235.2513,234.3992,233.9958,233.784,238.0886,237.8882,237.6078,236.2715,236.1263,235.7712,234.4505,233.1503,232.9047,232.7597,235.3738,235.3601,235.2218,233.7239,233.6332,233.4176,235.7728,235.5145,235.2513,234.5037,234.3992,233.9958,238.2586,238.0886,237.8882,236.2715,234.6456,234.5909,234.4505,233.224,233.1503,232.9047,235.4594,235.3738,235.3601,233.7239,235.9169,235.7728,235.5145,234.5037,238.2586,234.725,234.6456,234.5909,233.224,235.4594,235.9169,234.725
"Alaska",2007,237.274,0.000,0.00009,10.21377,-5.64e-12,-.0647696,.4857325,.1567981,.1504834,10.06167,.5508254,.050684,.0350175,.0703307,.2491729,.0439695,.3545811,.0830052,.0067826,,,,237.2739,234.9943,236.6176,238.474,238.1187,237.7941,237.2739,235.2873,236.4236,235.6039,235.3808,234.9943,237.4335,237.399,236.9814,236.6176,239.2198,239.0136,238.474,238.4324,238.1187,237.7941,236.4823,235.835,235.5735,235.2873,236.8538,236.785,236.4236,235.8306,235.6039,235.3808,238.1533,237.8423,237.4335,237.5888,237.399,236.9814,239.5591,239.2198,239.0136,238.4324,236.883,236.7644,236.4823,235.9887,235.835,235.5735,237.0755,236.8538,236.785,235.8306,238.381,238.1533,237.8423,237.5888,239.5591,237.0422,236.883,236.7644,235.9887,237.0755,238.381,237.0422
"Alaska",2009,237.212,0.000,0.00011,10.09173,1.38e-09,-.0679012,.4902184,.0980966,.1621751,10.03741,.4970167,.0364891,.0732384,.0814599,.2379051,.0738909,.3687531,.0758095,.0091566,,,,237.2123,235.1753,236.244,237.1556,238.2469,237.5386,237.2123,235.106,235.4052,236.011,235.4288,235.1753,236.2922,237.2073,236.486,236.244,238.1472,237.4885,237.1556,238.4126,238.2469,237.5386,235.3065,235.8904,235.305,235.106,236.1822,235.6504,235.4052,236.1374,236.011,235.4288,237.232,236.5514,236.2922,237.3169,237.2073,236.486,238.3203,238.1472,237.4885,238.4126,236.0436,235.5041,235.3065,235.9825,235.8904,235.305,236.307,236.1822,235.6504,236.1374,237.3554,237.232,236.5514,237.3169,238.3203,236.1375,236.0436,235.5041,235.9825,236.307,237.3554,236.1375
"Alaska",2011,236.360,0.000,0.00010,10.37067,1.19e-09,-.1348005,.4830795,.1322845,.1409364,10.03379,.5029242,.0384687,.0614273,.0825088,.2347887,.0798823,.4032026,.058061,.0089715,,,,236.3596,233.897,234.8469,236.8127,236.9168,236.707,236.3596,233.6285,234.7222,234.2525,234.16,233.897,235.2619,235.4017,235.1161,234.8469,237.3218,237.1706,236.8127,237.1267,236.9168,236.707,234.3436,233.9793,233.8436,233.6285,234.974,234.9697,234.7222,234.4098,234.2525,234.16,235.782,235.5596,235.2619,235.5431,235.4017,235.1161,237.5459,237.3218,237.1706,237.1267,234.6057,234.556,234.3436,234.097,233.9793,233.8436,235.1281,234.974,234.9697,234.4098,235.948,235.782,235.5596,235.5431,237.5459,234.7271,234.6057,234.556,234.097,235.1281,235.948,234.7271
"Alaska",2013,236.122,0.000,0.00010,24.59251,8.73e-10,-.1794851,.4865242,.1394251,.1487555,10.00807,.4674079,.0356104,.0687551,.1059796,.2369081,.0853389,.5104415,.0044157,.0021808,,,,236.122,233.5069,236.0254,236.8404,236.6289,236.3475,236.122,234.152,234.4985,233.8278,233.6874,233.5069,236.4769,236.4847,236.1709,236.0254,237.288,237.0757,236.8404,236.7562,236.6289,236.3475,234.9364,234.4038,234.2545,234.152,234.699,234.6633,234.4985,233.9318,233.8278,233.6874,236.9015,236.6435,236.4769,236.5551,236.4847,236.1709,237.4276,237.288,237.0757,236.7562,235.0953,235.0368,234.9364,234.4569,234.4038,234.2545,234.8,234.699,234.6633,233.9318,236.9887,236.9015,236.6435,236.5551,237.4276,235.1513,235.0953,235.0368,234.4569,234.8,236.9887,235.1513
"Alaska",2015,,,,,,,,.15,.14,,.46,.04,.07,.09,.24,.1,.5,0,.01,,,,236.3284,233.7133,236.2318,237.0468,236.8353,236.5539,236.3284,234.3584,234.7049,234.0342,233.8938,233.7133,236.6833,236.6911,236.3773,236.2318,237.4944,237.2821,237.0468,236.9626,236.8353,236.5539,235.1428,234.6102,234.461,234.3584,234.9054,234.8698,234.7049,234.1382,234.0342,233.8938,237.1079,236.8499,236.6833,236.7615,236.6911,236.3773,237.634,237.4944,237.2821,236.9626,235.3017,235.2432,235.1428,234.6633,234.6102,234.461,235.0064,234.9054,234.8698,234.1382,237.1951,237.1079,236.8499,236.7615,237.634,235.3577,235.3017,235.2432,234.6633,235.0064,237.1951,235.3577
"Arizona",1992,215.254,0.000,0.00000,433.22922,.0026805,-.065926,.4864977,.0667957,.0393113,10.10273,.5596134,.0417448,.287097,.0141503,.097034,.0003606,,,,.0747562,.8598787,.0653651,215.2539,216.6127,,216.0695,214.9792,215.8365,215.599,,216.2364,216.3105,217.1382,216.2685,,,,,215.7651,216.6701,215.9742,215.4056,215.3871,216.2585,,,,,215.9871,216.7548,215.9409,216.6767,216.0121,216.8051,,,,,,,216.2201,215.7444,216.6291,215.8744,,,,,,,216.351,215.7305,216.4699,216.3842,,,,,216.2383,,,,,216.1001,,
"Arizona",1996,217.761,0.001,0.00098,10.03034,6.45e-12,-.1562016,.4796366,.0970353,.032652,9.984593,.5526184,.0429587,.2778741,.0213945,.1024674,.0026868,.3071063,.0597387,.1337531,.0779958,.8678211,.0541831,217.7605,219.0303,218.4575,219.0356,217.3267,217.9779,218.1025,218.9423,219.1168,218.5643,219.2291,218.617,219.2024,218.0436,218.5972,218.3856,218.5558,219.2664,218.8431,217.5062,217.7504,218.3994,219.0258,218.5123,219.109,218.5797,218.6602,219.3103,218.732,218.7208,218.2138,218.8429,218.7567,219.3703,218.8844,218.1433,218.0568,218.5861,218.7553,218.4531,219.1365,217.9866,218.6009,219.1915,218.686,218.6292,218.2032,218.7655,218.8152,218.3318,218.9517,218.3855,218.8825,218.5254,219.0963,218.1949,218.6941,218.7198,218.3099,218.8702,218.33,218.5017,218.677,218.4385
