FIPS,year,profmean,pct,sepct,semean,diff,profmean_stnd,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,score_m1,score_m2,score_m3,score_m4,score_m5,score_m6,score_m7,score_m8,score_m9,score_m10,score_m11,score_m12,score_m13,score_m14,score_m15,score_m16,score_m17,score_m18,score_m19,score_m20,score_m21,score_m22,score_m23,score_m24,score_m25,score_m26,score_m27,score_m28,score_m29,score_m30,score_m31,score_m32,score_m33,score_m34,score_m35,score_m36,score_m37,score_m38,score_m39,score_m40,score_m41,score_m42,score_m43,score_m44,score_m45,score_m46,score_m47,score_m48,score_m49,score_m50,score_m51,score_m52,score_m53,score_m54,score_m55,score_m56,score_m57,score_m58,score_m59,score_m60,score_m61,score_m62,score_m63,score_m64
"Delaware",2015,,,,,,,,.06,.13,,.12,.7,.15,.01,0,.02,.72,.03,0,,,,238.678,240.76,238.3021,236.9084,239.0065,239.0138,238.2483,240.1239,240.1118,241.0106,240.9491,240.8753,237.2182,238.6105,238.5338,238.2196,237.3129,237.2392,236.9873,239.2223,238.538,238.5579,239.6142,240.4037,240.2963,240.2413,240.4224,240.3043,240.2497,241.124,241.1048,241.0528,237.5792,237.4377,237.3508,238.7385,238.4811,238.4254,237.5245,237.3546,237.2986,238.7415,239.9399,239.7869,239.7414,240.4981,240.5012,240.4053,240.5362,240.5391,240.431,241.2118,237.7026,237.673,237.5513,238.599,237.5565,240.0343,240.048,239.906,240.5916,240.6468,237.7877,240.1382
"D.C.",1992,192.601,0.000,0.00000,651.57721,-.1115671,-.8050733,.5224162,.0118058,.0140018,9.935532,.0534523,.8210891,.0952049,.0108062,.0190383,.0004091,,,,.1264311,.7735726,.0999963,192.6006,209.384,,192.181,191.762,191.8635,192.6262,,209.506,208.3818,208.4144,209.5191,,,,,191.4012,191.4253,192.4104,191.2956,191.7406,191.8217,,,,,208.5311,208.5561,209.6683,207.786,208.5017,208.5381,,,,,,,190.908,191.5771,191.6107,191.2205,,,,,,,207.94,208.674,208.7066,207.8974,,,,,191.0507,,,,,208.0746,,
"D.C.",1996,194.414,0.000,0.00007,15.78423,-2.24e-09,-.9416429,.5174007,.014275,.013449,9.81929,.117094,.7582499,.0980196,.0120534,.0132325,.0013506,.5614929,.0465418,.1429778,.1167076,.8089467,.0743457,194.4144,209.4451,201.1959,193.8306,193.5528,193.327,194.4753,209.872,209.5143,208.4355,208.1888,209.5372,200.248,200.1772,200.3189,201.0601,193.0372,192.7161,194.038,192.8415,193.5902,193.3262,209.9061,208.8975,208.8968,209.9582,208.5382,208.2847,209.6103,207.6488,208.5294,208.2862,199.3032,199.2886,200.3708,199.687,199.9972,200.1122,192.2855,193.221,192.8961,192.8225,208.9599,208.9358,210,208.3413,208.9834,208.9854,207.7578,208.6335,208.3853,207.744,198.7362,199.3885,199.3896,199.4487,192.4437,208.3955,209.0518,209.0337,208.4269,207.8548,198.8017,208.489
"D.C.",2000,193.290,0.000,0.00010,15.63752,5.20e-11,-1.060492,.5143334,.0393811,.0762756,9.860025,.0558346,.755852,.1494762,.0137662,.0242664,.0008044,.6750101,.0325173,.0215541,.1293941,.7528001,.1178058,193.2898,208.2389,200.9809,192.8926,193.8909,192.6286,193.6364,209.2794,208.3139,208.6741,207.3631,208.531,200.0666,201.241,200.3445,201.0068,193.4874,192.2146,193.3087,193.3892,194.179,192.9213,209.2634,209.6097,208.55,209.52,208.7234,207.4564,208.5951,208.0674,208.9219,207.6464,200.3712,199.3647,200.333,200.8477,201.1973,200.3032,192.9567,193.852,192.5983,193.6302,209.5846,208.5377,209.5039,209.155,209.8141,208.7844,208.1217,208.9637,207.7288,208.3101,199.9129,200.5708,199.6026,200.7511,193.2961,209.123,209.7903,208.7734,209.3556,208.3573,200.0918,209.3264
"D.C.",2003,204.920,0.000,0.00006,10.71736,5.35e-10,-1.059911,.4958627,.0555568,.1007952,9.882484,.0384325,.8689621,.0833691,.0081882,.000692,.0003562,.6316578,.0764156,.0190916,.4609052,.5289207,.0101742,204.9198,221.2824,211.522,204.0507,204.6737,204.026,204.9894,221.3185,221.4153,220.8447,220.1418,221.433,210.4103,211.0611,210.7655,211.4184,203.86,203.1318,204.3233,204.0606,204.7065,204.0398,221.4252,220.9075,220.4383,221.4493,220.9809,220.298,221.5553,220.1059,220.983,220.3,210.0202,209.5753,210.5762,210.6224,210.904,210.595,203.2087,204.0996,203.3805,204.043,221.0161,220.5492,221.5497,220.3883,221.0275,220.5741,220.248,221.1094,220.4453,220.248,209.5078,210.1402,209.721,210.4113,203.4269,220.4895,221.1304,220.6801,220.5103,220.3807,209.6105,220.6073
"D.C.",2005,211.122,0.000,0.00007,11.04492,-7.88e-10,-.9498272,.5060294,.0391001,.1140627,9.858662,.0425515,.8614959,.0804178,.014664,0,.0008708,.6892745,.0690217,.0163231,.4327081,.5577363,.0095555,211.1223,226.9801,218.5121,209.8669,211.0806,209.9546,211.0695,227.7022,226.9,226.7457,225.6013,227.1168,217.0897,218.2058,217.5539,218.3364,209.8913,208.6656,210.129,210.2624,210.9845,209.8301,227.5872,227.4312,226.6087,227.8164,226.6837,225.5522,227.043,225.8375,226.8652,225.7475,216.868,216.0318,217.2552,217.6399,217.9658,217.2954,209.0212,210.1144,208.8986,210.1,227.3375,226.4994,227.7114,226.7775,227.531,226.7289,225.7833,226.8093,225.7041,225.962,216.207,216.9779,216.1737,217.3318,209.2173,226.6737,227.4467,226.6316,226.8795,225.9144,216.296,226.7873
"D.C.",2007,213.699,0.000,0.00007,11.65158,-1.53e-09,-.9176196,.510042,.064304,.0940244,9.804212,.0598006,.8346103,.0877522,.0152986,.000498,.0020403,.631932,.05357,.0009861,.4243103,.5700057,.005684,213.6989,228.8917,219.3584,212.8216,213.2861,212.1871,213.5251,228.6564,229.1511,228.2887,227.2117,228.9039,218.3204,218.7823,218.21,219.1331,212.4721,211.2715,212.9048,212.2488,213.0923,211.9395,228.884,228.1109,227.3705,228.6701,228.5444,227.5047,229.1543,227.1983,228.3077,227.2459,217.8136,217.0695,218.369,218.1118,218.5175,217.9083,211.3752,212.5341,211.3292,211.9818,228.3318,227.604,228.891,227.3506,228.13,227.3988,227.4627,228.5538,227.529,227.2289,217.0426,217.8284,217.1028,217.7786,211.4096,227.5607,228.344,227.6277,227.376,227.484,217.0394,227.5816
"D.C.",2009,219.260,0.000,0.00007,10.85800,-1.40e-09,-.7159356,.5008588,.067633,.1048959,9.820135,.0706648,.8041031,.1071527,.0170376,.0005409,.0005009,.6547667,.0806933,.0084657,.4328919,.564371,.0027371,219.2601,233.8705,225.3323,218.5192,219.0189,217.8715,218.984,234.0807,234.1831,233.4437,232.31,233.7654,224.3504,224.8946,224.2615,224.9895,218.3266,217.0959,218.4701,218.0577,218.7394,217.5323,234.3346,233.6677,232.8729,233.9794,233.7398,232.653,234.0678,232.4242,233.3594,232.2294,223.976,223.1835,224.2816,224.2657,224.5262,223.8474,217.3108,218.2723,217.0274,217.7128,233.9077,233.1323,234.2284,232.9498,233.5849,232.7879,232.7281,233.6443,232.5613,232.3526,223.2525,223.885,223.1008,223.8328,217.2329,233.1798,233.8192,233.0442,232.8741,232.6457,223.1446,233.1006
"D.C.",2011,221.808,0.000,0.00006,11.52570,-3.49e-10,-.6575656,.5003567,.0675964,.1109905,9.778959,.0846664,.7660195,.1241866,.0162206,0,.008907,.7318506,.007436,0,.4034498,.5860518,.0104984,221.8083,235.6026,227.5455,220.8084,221.6984,220.1443,221.7203,235.7934,235.7127,235.3112,233.8095,235.7053,226.4165,227.2391,226.2903,227.3996,220.7545,219.102,220.9923,220.5355,221.5747,219.9764,235.8591,235.507,234.3976,235.887,235.4211,233.9575,235.8099,234.1295,235.402,233.9355,226.1786,225.0493,226.5498,226.4942,227.0402,226.0638,219.5246,220.9046,219.2596,220.3319,235.575,234.4701,235.9507,234.6705,235.5899,234.5067,234.2491,235.5068,234.0768,234.2334,225.3221,226.2654,225.1686,226.2219,219.6459,234.7261,235.6561,234.5797,234.7606,234.3484,225.3916,234.8174
"D.C.",2013,228.567,0.000,0.00006,25.47116,4.12e-10,-.4475584,.4936127,.0629604,.1457183,9.836851,.0976998,.7270052,.1449749,.0164554,0,.0138646,.7564521,.0257569,.0047901,.4049504,.5859421,.0091075,228.5673,241.5588,234.7872,227.5683,229.0065,227.4414,228.3777,242.3067,241.6326,241.8187,240.256,241.5394,233.6221,234.9555,233.8826,234.5086,228.0392,226.4115,227.6252,228.1881,228.799,227.1977,242.3148,242.4945,241.2676,242.2717,241.8739,240.3573,241.6042,240.9359,241.7986,240.257,233.8506,232.6279,233.6201,234.4039,234.6396,233.5381,227.1708,228.0824,226.4534,227.9242,242.4955,241.2809,242.2779,241.8571,242.4608,241.2467,240.9985,241.8463,240.3487,240.9274,233.2102,233.8166,232.6134,234.0295,227.1957,241.8485,242.4603,241.2598,241.83,240.9828,233.162,241.8221
"D.C.",2015,,,,,,,,.05,.16,,.45,.31,.17,.04,0,.03,.39,.03,0,,,,231.3075,244.2991,237.5275,230.3085,231.7468,230.1816,231.1179,245.047,244.3728,244.5589,242.9962,244.2796,236.3624,237.6958,236.6228,237.2489,230.7794,229.1518,230.3654,230.9284,231.5393,229.938,245.055,245.2348,244.0079,245.012,244.6142,243.0976,244.3445,243.6762,244.5388,242.9972,236.5909,235.3681,236.3604,237.1442,237.3798,236.2784,229.9111,230.8227,229.1937,230.6645,245.2358,244.0211,245.0181,244.5974,245.2011,243.987,243.7387,244.5865,243.089,243.6676,235.9505,236.5569,235.3536,236.7697,229.936,244.5888,245.2005,244.0001,244.5703,243.723,235.9023,244.5624
"Florida",1992,213.690,0.000,0.00000,456.67734,-.6664059,-.116963,.516291,.0222151,.0695024,10.11715,.5790769,.2128016,.1729728,.0162449,.0185939,.0003099,,,,.0902023,.8364859,.0733118,213.6898,215.7506,,213.504,214.0875,214.3862,213.9411,,215.5422,216.1253,216.325,215.8692,,,,,213.8936,214.2141,213.6855,214.5525,214.3304,214.6633,,,,,215.9243,216.1065,215.6409,216.4895,216.2303,216.4325,,,,,,,214.3804,214.0767,214.4045,214.8236,,,,,,,216.2859,216.013,216.1948,216.5887,,,,,214.5746,,,,,216.3689,,
"Florida",1996,218.056,0.002,0.00217,9.84176,-1.17e-07,-.1462522,.4759943,.0270061,.0670393,10.00029,.5645695,.1906013,.2110222,.0156633,.0178874,.0002563,.3482734,.0772932,.0561165,.0860214,.8499346,.064044,218.0563,220.3024,219.4716,217.7585,218.3884,218.3976,218.1017,220.6118,219.8354,220.622,220.5713,220.164,219.1662,219.7175,219.6628,219.3563,218.0911,218.1051,217.7366,218.6079,218.4614,218.4711,220.2001,220.8882,220.8037,220.4712,220.1927,220.104,219.7106,220.7851,220.5032,220.435,219.4235,219.3623,219.0316,219.8235,219.6285,219.5632,218.319,218.1072,218.105,218.7032,220.5121,220.3921,220.0685,220.9946,220.7669,220.6652,220.3555,220.0865,219.9813,220.6671,219.5366,219.322,219.2399,219.7466,218.3506,220.6189,220.399,220.2625,220.8742,220.2502,219.443,220.5066
"Florida",2003,233.729,0.002,0.00168,8.99820,1.12e-08,-.0081773,.4765902,.0942274,.1677257,10.12007,.5030529,.2497665,.2060953,.0180351,.0033177,.0197325,.378829,.1126345,.0063604,.3860399,.6096609,.0042992,233.7288,236.2169,234.5814,233.7282,234.9735,234.7103,234.406,236.1323,236.1737,237.4303,237.0371,236.4918,234.5142,235.6662,235.2159,234.8503,234.9176,234.7306,234.113,235.5867,235.645,235.4381,236.1077,237.2707,236.7687,236.3138,237.3425,236.9765,236.3649,237.9155,237.6783,237.3015,235.5792,235.1891,234.6268,236.0078,235.9449,235.5248,235.5613,235.3211,235.1404,236.3056,237.2115,236.741,236.2217,237.6153,237.4358,236.9475,237.8239,237.5194,237.1588,238.1594,235.9606,235.7107,235.3161,236.3217,235.9879,237.5611,237.3179,236.8514,237.7805,237.9966,236.1059,237.6663
"Florida",2005,238.931,0.001,0.00134,9.31265,7.11e-08,.0668621,.4994609,.0656987,.1631977,10.18007,.4807578,.2319691,.2374735,.0199153,.0024698,.0274145,.4200752,.1009975,.0026858,.3844163,.6113696,.0042141,238.9306,241.4326,240.1061,238.2726,239.9834,240.2998,239.6384,241.527,240.7437,242.4671,242.6084,241.6166,239.596,241.0071,240.9903,240.3416,239.3123,239.6665,238.7053,240.881,240.6997,241.0851,240.9442,242.4857,242.4282,241.6313,241.8109,241.9019,240.8749,243.1988,242.6353,242.783,240.5054,240.5259,239.66,241.5061,241.2662,241.2833,240.2492,239.7886,240.1467,241.6695,241.9344,241.8422,241.0017,242.9975,242.5827,242.5303,242.538,241.9357,242.0252,243.3635,241.0553,240.6137,240.6178,241.8163,240.7662,242.4522,241.9918,241.8966,243.0951,242.6594,241.1868,242.5088
"Florida",2007,242.020,0.001,0.00112,9.04551,-3.27e-08,.1069348,.4863222,.0672558,.1321651,10.1694,.477981,.2085667,.2497339,.0232268,.0013665,.0391252,.3648903,.1186619,.0028309,.3846273,.6117438,.003629,242.0202,244.0931,242.0856,241.2092,242.457,243.3908,242.6087,243.5732,243.2793,244.5247,245.2813,244.2155,241.5791,242.4738,243.0023,242.2905,241.6681,242.6035,241.5725,243.3935,243.0637,244.0553,242.9308,244.0144,244.516,243.6393,243.7816,244.4512,243.3607,245.2956,244.646,245.394,241.9866,242.5438,241.6047,243.0117,242.711,243.2673,242.6448,242.0822,243.0142,244.073,243.4269,243.8703,242.9544,244.5704,244.0839,244.579,244.5478,243.8687,244.5244,245.4125,242.5805,242.0675,242.5984,243.303,243.0994,243.9895,243.46,243.8899,244.6396,244.6305,242.685,244.0207
"Florida",2009,241.945,0.002,0.00171,9.04018,1.30e-07,.1029366,.4965855,.0757736,.1535202,10.16197,.4620043,.221329,.2481669,.0180696,.0015679,.0488624,.4310819,.1189833,.002805,.3913383,.6049036,.0037581,241.9449,244.2582,243.0556,241.3868,242.7868,243.2544,242.4272,244.4083,243.7466,245.08,245.376,244.4146,242.6193,243.7693,243.9066,243.2146,242.2199,242.7204,241.7015,243.6554,243.2721,243.8012,243.9804,245.1649,245.2678,244.5061,244.5906,244.8461,243.862,245.784,245.2217,245.5208,243.3413,243.5156,242.6773,244.2553,243.9405,244.1106,243.1272,242.5627,243.0701,244.2038,244.7584,244.8365,244.0423,245.6588,245.2545,245.3608,245.2898,244.6987,244.9513,245.9206,243.8781,243.4263,243.59,244.47,243.5024,245.2585,244.8176,244.8926,245.7473,245.3927,243.9794,245.3152
"Florida",2011,239.826,0.001,0.00141,9.42311,-2.06e-09,-.0102543,.491792,.0866137,.1470489,10.16172,.4023084,.2485059,.2892144,.0265325,.0009473,.0324914,.5356438,.0837228,.00147,.4247656,.5720738,.0031605,239.8264,243.3802,241.851,239.2537,240.5197,241.1835,240.6617,243.7305,242.6742,244.0533,244.5314,243.5922,241.323,242.3986,242.7091,242.1125,239.9455,240.6358,239.7447,241.4309,241.3647,242.0982,243.1194,244.3334,244.6038,243.8507,243.3965,243.8086,242.8234,244.7871,244.2518,244.7332,241.8876,242.2246,241.3991,242.8951,242.6847,243.0278,240.8976,240.4835,241.176,242.3505,243.7686,243.9897,243.1864,244.8413,244.4488,244.7217,244.1258,243.5421,243.9493,244.9815,242.4346,242.0119,242.3295,243.2323,241.4774,244.2824,243.8383,244.0536,244.9571,244.2672,242.5822,244.351
"Florida",2013,241.676,0.002,0.00159,21.91690,-3.30e-08,.0175865,.4935412,.0981204,.148264,10.11941,.395143,.2241382,.3141429,.0313298,.0023187,.0329275,.5296196,.0779573,.0003629,.409049,.5870917,.0038592,241.6758,244.8867,243.0599,241.4665,242.1718,242.7802,242.401,244.8795,244.3824,245.3716,245.8269,245.0191,242.8151,243.4538,243.7644,243.2867,241.9511,242.593,241.8424,242.9175,242.9112,243.5752,244.4599,245.3326,245.6055,244.9499,244.9022,245.308,244.4662,245.9742,245.4973,245.9519,243.2139,243.5602,242.8535,243.8636,243.7086,244.0436,242.7325,242.3709,243.0118,243.7212,244.9435,245.1832,244.4874,245.7567,245.4022,245.6744,245.5009,244.9868,245.3857,246.097,243.6689,243.2981,243.6248,244.1636,243.1881,245.3727,244.976,245.2084,245.8266,245.5825,243.7737,245.4043
"Florida",2015,,,,,,,,.09,.16,,.43,.21,.29,.03,0,.03,.59,.02,0,,,,242.6643,245.8752,244.0484,242.455,243.1603,243.7687,243.3896,245.868,245.371,246.3601,246.8154,246.0076,243.8036,244.4423,244.7529,244.2752,242.9397,243.5815,242.8309,243.906,243.8997,244.5637,245.4484,246.3211,246.594,245.9384,245.8907,246.2965,245.4547,246.9627,246.4858,246.9404,244.2025,244.5488,243.842,244.8521,244.6971,245.0321,243.721,243.3595,244.0003,244.7097,245.9321,246.1717,245.4759,246.7452,246.3907,246.6629,246.4895,245.9753,246.3743,247.0855,244.6575,244.2867,244.6133,245.1521,244.1767,246.3613,245.9645,246.1969,246.8151,246.571,244.7622,246.3928
"Georgia",1992,215.595,0.000,0.00000,410.94003,.2598448,-.0548006,.4853961,.0029336,.0421542,10.17005,.5567519,.3549472,.0619686,.0124668,.0135231,.0003424,,,,.0701246,.8504009,.0794745,215.5949,219.028,,214.9761,215.3835,216.7089,215.2564,,219.2529,218.7411,219.8864,219.2695,,,,,214.8057,216.1096,215.0189,216.1795,214.9954,216.3562,,,,,218.9532,220.0898,219.4723,219.3286,218.9568,220.0946,,,,,,,215.6368,214.7856,216.1135,215.8021,,,,,,,219.5352,219.1493,220.277,219.5248,,,,,215.6006,,,,,219.7117,,
"Georgia",1996,216.689,0.001,0.00128,10.03862,-1.24e-07,-.1922552,.4974117,.0074166,.0564958,10.06974,.5816626,.2966165,.0774283,.0208387,.0212234,.0022304,.3531404,.0624296,.0921009,.0820123,.8582774,.0597102,216.6889,218.9938,218.2616,215.9511,216.7862,217.5783,216.3361,219.5723,219.0536,219.0239,219.68,219.1834,217.6628,218.2918,218.8196,218.1409,216.0819,216.8545,215.967,217.4054,216.3964,217.2107,219.5899,219.5581,220.078,219.7189,219.076,219.7242,219.2267,219.4803,219.1949,219.8423,217.7251,218.2426,217.7811,218.627,218.1215,218.6729,216.726,216.051,216.8379,217.0205,219.5743,220.093,219.7288,219.8655,219.6906,220.2065,219.5285,219.233,219.8709,219.6352,218.09,217.7901,218.3225,218.4539,216.6809,219.8864,219.7002,220.213,219.9883,219.6692,218.1371,220.0016
"Georgia",2000,219.557,0.002,0.00167,9.66269,9.90e-10,-.1672661,.5169776,.0095884,.0378477,10.03077,.4900312,.377478,.0932086,.0196898,.0166694,.002923,.3464245,.0755214,.0798452,.1047907,.7890813,.106128,219.5568,222.9868,220.2303,218.4904,219.3019,220.2433,219.3415,222.6863,222.9348,222.6514,223.4599,223.3107,219.5012,219.9775,220.6796,220.2606,218.3015,219.1843,218.6711,219.8002,219.032,220.0012,222.6657,222.3942,223.071,222.9689,222.6186,223.3983,223.229,222.9843,222.9434,223.7575,219.2938,219.9618,219.7475,220.2578,219.9445,220.6804,218.816,218.4223,219.3291,219.5259,222.3853,223.0485,222.9235,222.6383,222.6487,223.336,222.9489,222.885,223.6672,223.2612,219.5949,219.4792,220.1719,220.2188,218.9196,222.6331,222.6185,223.2882,222.8838,223.2,219.7632,222.8563
"Georgia",2003,230.255,0.001,0.00089,9.18062,1.75e-08,-.1349971,.4897752,.0374753,.1094976,10.09192,.5022386,.3923773,.0650656,.0217749,.0029884,.0155363,.3987636,.0826344,.0427606,.3970552,.5995787,.0033661,230.255,233.5197,231.4244,228.9797,230.2026,231.0142,229.6755,233.6196,233.416,233.3828,234.0568,233.5428,230.5209,231.3351,231.9066,231.1727,228.995,229.7464,228.8822,230.7395,229.6012,230.4258,233.5285,233.4841,234.0327,233.6369,233.2958,233.9426,233.4458,233.7483,233.4054,234.0673,230.483,231.0121,230.5388,231.6291,231.0449,231.6321,229.5482,228.8674,229.6306,230.1448,233.4073,233.9398,233.5519,233.7397,233.5008,234.0413,233.6584,233.3244,233.9603,233.7633,230.7961,230.4633,231.0023,231.3363,229.4146,233.6665,233.4295,233.9538,233.7519,233.6794,230.764,233.6833
"Georgia",2005,233.636,0.001,0.00109,9.41501,-8.84e-10,-.1267229,.4943899,.0227225,.1243882,10.07949,.4816161,.389415,.0770916,.0285602,.0004879,.0228293,.456228,.0756448,.0021162,.3952191,.6016182,.0031626,233.6357,236.8505,235.3358,232.0124,233.824,234.2111,233.032,237.3149,236.4602,236.9602,237.2343,236.881,234.1673,235.4427,235.6748,235.0637,232.2755,232.5889,231.9555,234.2169,233.1912,233.5864,236.9552,237.384,237.5872,237.3344,236.6077,236.8402,236.5143,237.2107,236.9824,237.2505,234.3358,234.4991,234.1995,235.643,235.1248,235.3694,232.6744,232.1847,232.5099,233.5791,237.0609,237.227,236.9943,237.5468,237.3972,237.5965,236.857,236.6522,236.8803,237.2244,234.5389,234.3259,234.5025,235.3129,232.5736,237.2251,237.0925,237.2557,237.5545,236.893,234.5148,237.2508
"Georgia",2007,235.209,0.001,0.00110,9.27540,-5.07e-08,-.1394686,.4978875,.0316987,.1039862,10.07046,.4624304,.381321,.0919084,.0355136,.0011043,.0277223,.4505466,.0726128,.0107449,.4042034,.5925936,.003203,235.209,238.4315,236.7759,233.5994,235.0181,235.7986,234.6807,238.7877,238.0157,238.1695,238.8345,238.4828,235.6288,236.5475,237.1315,236.5516,233.4994,234.1906,233.585,235.4443,234.4626,235.2531,238.4164,238.5178,239.083,238.8311,237.8093,238.4148,238.0887,238.4518,238.2156,238.872,235.4681,235.9787,235.6861,236.7704,236.2796,236.8777,233.9336,233.4539,234.1573,234.8879,238.1955,238.7111,238.4769,238.7069,238.5566,239.1165,238.0902,237.8752,238.4743,238.4896,235.697,235.4882,236.01,236.4937,233.8806,238.3864,238.2501,238.7615,238.7404,238.1477,235.7047,238.4353
"Georgia",2009,236.030,0.001,0.00118,9.60964,-6.32e-08,-.1105946,.497607,.0402193,.094767,10.08042,.4652824,.361396,.1113485,.0267252,.0007433,.0345045,.4773107,.0777466,.0007276,.4148823,.5807738,.0043438,236.0296,239.0424,237.6789,234.6729,235.5627,236.6953,235.5412,239.5343,238.8054,238.5054,239.5089,239.1124,236.6848,237.1998,238.082,237.4625,234.2963,235.3436,234.6416,236.0594,235.0516,236.1951,239.306,238.9985,239.8717,239.5843,238.3159,239.2646,238.8785,238.8443,238.5747,239.5654,236.2704,237.0894,236.7294,237.4608,236.9447,237.8402,234.8068,234.2365,235.2944,235.5531,238.8124,239.6422,239.3601,239.2228,239.0487,239.9126,238.6523,238.3875,239.3247,238.9053,236.545,236.2816,237.1078,237.2007,234.7408,239.0395,238.8663,239.6868,239.2681,238.7156,236.544,239.0878
"Georgia",2011,238.367,0.001,0.00110,9.60054,1.22e-09,-.0627022,.4895657,.0486382,.1036772,10.04931,.4501998,.3592617,.1251402,.042127,.0010774,.0221939,.4928086,.0628744,.0029991,.4062351,.5927328,.001032,238.3665,241.274,239.0659,236.9408,238.0937,238.8364,237.878,241.13,240.9548,240.9325,241.5747,241.3015,238.1088,238.7955,239.3626,238.8613,236.7531,237.411,236.8973,238.4408,237.5859,238.3308,240.871,240.8221,241.3685,241.1485,240.6617,241.2528,240.9879,241.1507,240.9614,241.5916,237.8967,238.4008,238.1279,238.9845,238.5588,239.134,237.1058,236.6871,237.3503,237.93,240.6012,241.1089,240.891,240.9781,240.8419,241.3797,240.8788,240.6955,241.2756,241.1729,238.091,237.89,238.3986,238.7408,237.0322,240.7589,240.6225,241.1215,240.9938,240.9059,238.074,240.7757
"Georgia",2013,240.047,0.001,0.00118,22.52289,4.98e-10,-.0402018,.4973681,.0464137,.1120334,10.06057,.4383593,.3369327,.1565381,.0403773,.0017674,.0260251,.552098,.0612614,.000512,.4201297,.5768203,.0030501,240.0472,242.8382,241.7479,238.6766,239.7362,240.6871,239.7147,243.3835,242.4589,242.4633,243.2957,242.8911,240.7406,241.4067,242.1331,241.5622,238.4495,239.3208,238.6958,240.2051,239.3899,240.3509,243.0318,242.9948,243.712,243.4011,242.1403,242.9109,242.5035,242.7878,242.5188,243.3373,240.4619,241.1257,240.7512,241.6517,241.1954,241.9308,238.9307,238.457,239.3313,239.8679,242.6939,243.3596,243.0437,243.2084,243.0172,243.7229,242.4629,242.1884,242.9448,242.8364,240.7183,240.4566,241.1194,241.4397,238.9373,242.9098,242.7114,243.3644,243.2271,242.504,240.7057,242.923
"Georgia",2015,,,,,,,,.06,.13,,.43,.35,.15,.04,0,.03,.58,.05,.01,,,,236.4525,239.2435,238.1532,235.0819,236.1414,237.0924,236.1199,239.7888,238.8642,238.8686,239.701,239.2964,237.1458,237.812,238.5384,237.9675,234.8548,235.7261,235.1011,236.6104,235.7952,236.7561,239.4371,239.4001,240.1173,239.8064,238.5455,239.3162,238.9088,239.1931,238.9241,239.7426,236.8672,237.531,237.1565,238.057,237.6006,238.336,235.336,234.8623,235.7366,236.2732,239.0992,239.7648,239.449,239.6137,239.4225,240.1282,238.8681,238.5937,239.3501,239.2417,237.1235,236.8619,237.5247,237.845,235.3426,239.3151,239.1167,239.7697,239.6324,238.9093,237.111,239.3282
"Hawaii",1992,214.057,0.000,0.00000,493.71576,.0850404,-.1049911,.5075036,.0278692,.0558694,9.705223,.2070378,.0427632,.1074787,.6055078,.022001,.0152116,,,,.0727609,.8597846,.0674545,214.0567,208.3539,,213.9979,214.1507,211.5018,214.5221,,206.4328,208.9662,206.8684,206.9886,,,,,214.0908,211.3881,213.9164,212.3491,214.725,211.9788,,,,,207.2283,205.0022,205.4861,207.9435,207.6763,205.5402,,,,,,,212.1977,214.1539,211.3881,212.8853,,,,,,,206.2185,206.3126,204.0873,206.6721,,,,,212.2922,,,,,205.3213,,
"Hawaii",1996,214.966,0.000,0.00019,11.75833,-2.62e-09,-.2502338,.4737471,.0377695,.0538807,9.687582,.1812904,.0387645,.2137147,.5251659,.0233945,.0176701,.2925183,.1071552,.0101591,.0700224,.8728589,.0571187,214.9656,211.7151,215.1229,214.9095,215.0046,212.8386,215.2653,211.2672,209.4585,212.2265,210.5216,210.2694,215.0826,215.1506,213.6948,214.9368,214.9497,212.7368,214.7187,213.5072,215.4229,213.1642,209.3899,211.7788,210.3623,210.216,210.1935,208.3176,208.4622,211.4038,210.8666,209.1078,215.1118,213.5587,214.5828,214.2888,215.0916,213.542,213.3762,214.9085,212.6301,213.9037,210.0877,208.4939,208.6779,211.211,210.781,209.3172,209.3828,209.2352,207.3478,210.0589,214.1444,214.7611,213.1472,214.2161,213.371,209.5061,209.3937,207.7899,210.2133,208.4394,213.8322,208.8158
"Hawaii",2000,215.847,0.000,0.00023,11.66280,1.37e-10,-.2934256,.512262,.0484725,.0569913,9.671971,.1711991,.0414627,.1201299,.6383976,.0189462,.0098644,.3575403,.0999813,.0122714,.0815574,.8202646,.098178,215.8468,208.8461,216.6706,215.6538,216.0184,213.7013,216.1966,209.7893,206.9451,209.5554,207.7542,207.5018,216.4835,216.7937,215.2189,216.5304,215.8277,213.4612,215.5558,214.4998,216.4662,214.065,208.1269,210.3839,208.9058,208.8016,207.8315,205.8994,206.0268,208.7905,208.2795,206.4368,216.6142,214.9308,216.0711,215.9141,216.7589,215.1003,214.2307,215.8597,213.4372,214.9179,208.8816,207.2515,207.4716,209.826,209.4365,207.921,207.0773,206.9368,205.0029,207.5272,215.624,216.3294,214.5979,215.8585,214.2924,208.3107,208.2323,206.6012,208.8773,206.1951,215.3729,207.6635
