FIPS,year,profmean,profmean_stnd,female,sped,age,hispanic,asian,amind,free_lunch,red_lunch,miss_lunch,combo_pct_free_lunch,combo_pct_red_lunch,combo_pct_miss_lunch,admin_survey,wtdn,white,black,paid_lunch,lang_nr,lang_st,lang_mt,lang_om,score_oldway,score_m1,score_m2,score_m3,score_m4,score_m5,score_m6,score_m7,score_m8,score_m9,score_m10,score_m11,score_m12,score_m13,score_m14,score_m15,score_m16,score_m17,score_m18,score_m19,score_m20,score_m21,score_m22,score_m23,score_m24,score_m25,score_m26,score_m27,score_m28,score_m29,score_m30,score_m31,score_m32,score_m33,score_m34,score_m35,score_m36,score_m37,score_m38,score_m39,score_m40,score_m41,score_m42,score_m43,score_m44,score_m45,score_m46,score_m47,score_m48,score_m49,score_m50,score_m51,score_m52,score_m53,score_m54,score_m55,score_m56,score_m57,score_m58,score_m59,score_m60,score_m61,score_m62,score_m63,score_m64,score_m65,score_m66,score_m67,score_m68,score_m69,score_m70,score_m71,score_m72,score_m73,score_m74,score_m75,score_m76,score_m77,score_m78,score_m79,score_m80,score_m81,score_m82,score_m83,score_m84,score_m85,score_m86,score_m87,score_m88,score_m89,score_m90,score_m91,score_m92,score_m93,score_m94,score_m95,score_m96
"Alabama",1996,258.898,-.3441808,.5090332,.0618856,14.12699,.0416763,.008377,.0163532,.293341,.0678867,.0323966,.293341,.0678867,.0323966,1,25.36,.6112584,.3216206,.580324,.8154705,.1270108,.0425692,.0149494,,258.8976,261.86,260.4282,258.1782,259.3558,260.3016,257.5428,262.5806,262.2661,262.1937,263.0104,261.9016,259.789,260.6896,261.4782,259.8891,258.6983,259.5901,257.5525,260.3637,257.9956,258.8528,262.8707,262.7696,263.4994,262.6342,262.5185,263.386,262.3127,263.0278,262.2393,262.9948,260.126,260.8561,259.7525,261.4279,260.0823,260.8084,259.7293,257.9837,258.846,258.9529,263.0052,263.7787,262.9384,263.4318,262.8261,263.5033,263.3437,262.5669,263.3766,263.0335,260.8874,259.9608,260.6744,260.7419,258.9423,263.6695,263.0722,263.7956,263.4541,263.3521,260.6302,263.7007,260.4282,262.5806,259.789,260.6896,261.4782,259.8891,262.8707,262.7696,263.4994,262.6342,260.126,260.8561,259.7525,261.4279,260.0823,260.8084,263.0052,263.7787,262.9384,263.4318,262.8261,263.5033,260.8874,259.9608,260.6744,260.7419,263.6695,263.0722,263.7956,263.4541,260.6302,263.7007
"Alabama",2000,262.158,-.314436,.494566,.0927375,14.14765,.0384317,.00693,.0165673,.3139559,.0720889,.0692957,.3139559,.0720889,.0692957,1,23.34,.6291094,.3089616,.5219864,.8343986,.1177264,.0380246,.0098504,,262.1582,263.8388,264.6253,260.8328,263.7337,264.1339,260.4502,265.5315,263.9451,265.2608,265.5258,263.7977,263.4891,265.8942,266.1569,263.8492,262.4844,262.8185,260.0476,265.1063,262.024,262.3362,265.5148,266.6892,266.8984,265.489,265.2921,265.596,263.9278,266.4382,265.2271,265.4229,264.8666,265.0414,263.3516,266.9353,265.0455,265.2344,263.8847,261.6106,261.9139,263.354,266.6359,266.8691,265.5083,267.6381,266.6572,266.8018,266.4594,265.2799,265.5183,266.3625,265.9349,264.5872,264.7397,266.0016,262.942,267.587,266.6344,266.8072,267.5694,266.4052,265.5545,267.5473,264.6253,265.5315,263.4891,265.8942,266.1569,263.8492,265.5148,266.6892,266.8984,265.489,264.8666,265.0414,263.3516,266.9353,265.0455,265.2344,266.6359,266.8691,265.5083,267.6381,266.6572,266.8018,265.9349,264.5872,264.7397,266.0016,267.587,266.6344,266.8072,267.5694,265.5545,267.5473
"Alabama",2003,261.939,-.4052927,.4870734,.1108578,14.17251,.0119958,.0075978,.00347,.3871396,.0812021,0,.3871396,.0812021,0,1,21.95,.6188258,.3575551,.5305859,.7656874,.1775887,.0466657,.0100582,,261.939,264.36,264.8464,260.3228,261.9197,264.1517,260.3297,266.1699,264.2433,264.262,266.2809,264.3466,263.4628,264.5917,266.5194,264.1277,260.4972,262.5461,259.6726,263.5446,260.315,262.4674,265.9305,265.832,267.6981,266.1558,264.1687,266.1273,264.2787,265.6866,264.26,266.2073,263.3976,265.1556,263.4011,265.795,263.7997,265.6628,262.1554,259.7548,261.7899,261.9167,265.6439,267.4464,265.9738,266.9605,265.8295,267.6317,265.5819,264.2071,266.1037,265.6443,264.6322,263.1971,264.9391,264.9283,261.3582,266.7748,265.6894,267.436,266.9231,265.5797,264.3382,266.7837,264.8464,266.1699,263.4628,264.5917,266.5194,264.1277,265.9305,265.832,267.6981,266.1558,263.3976,265.1556,263.4011,265.795,263.7997,265.6628,265.6439,267.4464,265.9738,266.9605,265.8295,267.6317,264.6322,263.1971,264.9391,264.9283,266.7748,265.6894,267.436,266.9231,264.3382,266.7837
"Alabama",2005,262.211,-.4381257,.5067368,.1221823,14.18907,.023011,.0097816,.0075907,.4055675,.0922669,.0137261,.404754,.0927389,.0137261,1,22.28,.5914631,.3668367,.4820827,.7481999,.178575,.0543862,.0188389,,262.2111,264.9724,265.2675,260.5462,262.8684,264.3881,260.5307,266.7952,264.8389,265.5127,266.8499,264.9272,263.8424,265.6408,266.9293,264.5167,261.3679,262.7334,259.8755,264.4339,261.1767,262.6287,266.5529,267.0832,268.3058,266.7631,265.3797,266.6806,264.8649,266.874,265.4661,266.7456,264.3907,265.5228,263.7886,266.8108,264.8017,266.0343,262.9641,260.5888,261.9536,262.7141,266.8713,268.0513,266.5966,268.1729,267.05,268.2212,266.7303,265.3938,266.6483,266.7883,265.589,264.1782,265.309,265.892,262.1278,267.9633,266.9024,268.041,268.1051,266.705,265.2801,267.9581,265.4685,266.928,264.0251,265.8216,267.1188,264.7089,266.6736,267.1946,268.4251,266.8924,264.5564,265.6935,263.9681,266.9843,264.9737,266.2139,266.9734,268.1588,266.7153,268.2754,267.1583,268.3371,265.7466,264.3402,265.4758,266.0557,268.0564,267.0026,268.1465,268.2044,265.4335,268.0493
"Alabama",2007,266.000,-.4084958,.4914083,.0917142,14.18917,.0248175,.0089321,.0082844,.394643,.0936857,.0014912,.3953617,.0932998,.0014912,1,21.08,.6011565,.354673,.5101801,.7544346,.185089,.044185,.0162913,,266.0001,267.8808,268.0393,264.4351,266.0064,268.2026,263.9597,269.3125,267.9785,267.8054,269.7687,267.7487,266.7719,267.8862,269.7495,267.1795,264.6276,266.6483,263.5603,267.6225,263.9632,266.0633,269.3007,269.0582,270.8552,269.233,267.8897,269.8263,267.9509,269.2045,267.6788,269.5754,266.7899,268.5054,266.6911,269.112,266.9286,268.729,266.2773,263.622,265.6414,265.5384,269.057,270.8291,269.323,270.1938,268.9784,270.7194,269.2766,267.8489,269.7376,269.0369,268.0504,266.5245,268.2441,268.0643,265.1991,270.1954,269.0615,270.793,270.0766,269.1942,267.6749,270.1606,268.2362,269.4416,266.9512,268.0659,269.9372,267.3682,269.4189,269.1687,270.9729,269.359,266.9548,268.6749,266.8678,269.2858,267.0998,268.9071,269.1591,270.9362,269.4396,270.2968,269.0862,270.8342,268.2088,266.6862,268.4102,268.2287,270.2899,269.1621,270.8985,270.1769,267.8295,270.2536
"Alabama",2009,268.524,-.3746398,.4900171,.0898398,14.16443,.0262204,.0116303,.0131858,.4134801,.0833278,0,.4126342,.0836097,0,1,19.88,.6006877,.3471677,.5031921,.7711606,.1720598,.0445019,.0122777,,268.5241,270.0674,270.2722,266.8855,267.9992,270.2884,266.2072,271.416,270.209,269.4721,271.5118,269.8535,268.9763,269.6599,271.6376,269.278,266.5832,268.6568,265.8345,269.3198,265.7026,267.8425,271.4474,270.6813,272.5793,271.2676,269.6141,271.6217,270.1089,270.5689,269.2851,271.2393,268.5534,270.3544,268.8177,270.6583,268.5769,270.4594,267.9281,265.4069,267.453,266.9537,270.7324,272.5995,271.4082,271.5601,270.5505,272.3756,270.7008,269.5184,271.4625,270.3406,269.5749,268.2109,270.0015,269.4641,266.6594,271.6135,270.6909,272.5032,271.391,270.5633,269.1091,271.532,270.49,271.5605,269.1743,269.8549,271.8423,269.486,271.5784,270.8017,272.7084,271.4079,268.732,270.5386,269.0118,270.8449,268.7622,270.6531,270.8425,272.7155,271.5367,271.6703,270.6673,272.5008,269.7444,268.3853,270.1813,269.64,271.7133,270.7987,272.6169,271.4977,269.2738,271.6297
"Alabama",2011,269.097,-.3906835,.4940161,.0945352,14.14984,.0480343,.0132475,.0120998,.4534285,.0764182,0,.4534285,.0764182,0,1,20.61,.5923467,.3306609,.4701534,.7610697,.1777171,.0566739,.0045393,,269.0965,270.158,270.4442,267.5769,268.6816,270.8438,266.8924,271.3597,270.3871,269.6733,271.5848,270.0071,269.2662,269.9649,271.812,269.5298,267.3647,269.3316,266.5883,269.9843,266.488,268.5144,271.4799,270.7518,272.5208,271.2636,269.8836,271.7809,270.3294,270.7516,269.5391,271.3774,268.9567,270.6493,269.1478,270.9596,268.9575,270.7213,268.6923,266.2464,268.193,267.724,270.8727,272.6292,271.4751,271.6237,270.6652,272.3721,270.9516,269.824,271.6665,270.5782,269.9767,268.6535,270.342,269.8467,267.4839,271.747,270.8605,272.57,271.5011,270.8523,269.5544,271.6971,270.7025,271.5306,269.5013,270.1973,272.0556,269.7775,271.6353,270.8951,272.6743,271.4303,269.1696,270.8687,269.3792,271.1826,269.1791,270.9528,271.0041,272.7675,271.6282,271.7555,270.8048,272.5215,270.1793,268.8622,270.5571,270.0576,271.8668,270.9898,272.7061,271.6292,269.752,271.8148
"Alabama",2013,269.194,-.4143072,.4897704,.0887198,14.12513,.041733,.0116372,.010797,.4972179,.0655132,.0003475,.4965989,.0650833,.0003475,1,20.48,.6000571,.3285019,.4369214,.778607,.1584683,.0569989,.0059259,,269.1943,269.8057,271.0911,267.7704,268.0951,270.696,266.9541,271.5071,270.2301,268.677,270.9879,269.6689,269.932,269.9527,272.243,270.1145,266.8982,269.2781,266.7233,269.2512,265.8904,268.3207,271.7627,270.2294,272.4229,271.3958,269.0758,271.3809,270.15,269.606,268.5772,270.799,268.9818,271.0934,269.7578,270.8199,268.9019,271.0807,268.076,265.7407,268.0751,266.9697,270.486,272.6679,271.7184,270.9501,270.1497,272.2636,269.9947,269.0176,271.2488,269.4688,269.869,268.6398,270.726,269.6541,266.8212,271.2089,270.4587,272.5741,270.8364,269.8987,269.4018,271.146,271.3109,271.6527,270.1317,270.1493,272.4491,270.322,271.8945,270.3504,272.5526,271.5355,269.1617,271.2787,269.9512,271.0078,269.0865,271.2735,270.5963,272.784,271.846,271.0606,270.2657,272.3878,270.0393,268.8132,270.9047,269.829,271.3087,270.5656,272.6866,270.9421,269.5653,271.2425
"Alabama",2015,266.555,-.4170038,.4956152,.0934025,14.11582,.0512434,.0113149,.0028296,.4850049,.067792,.0004796,.4685406,.0690454,.0135667,1,25.29,.606155,.3147863,.4467235,.791894,.1440724,.0574414,.0065923,,266.5553,266.4151,267.2076,264.7513,265.3786,268.0151,264.0046,267.5316,266.6085,265.2323,267.5561,266.1202,265.8882,266.0768,268.3573,266.0955,263.8509,266.2153,263.5593,266.5078,262.8719,265.3042,267.6229,266.2643,268.4437,267.2903,265.4409,267.7229,266.4097,266.1335,264.9827,267.1995,264.9663,267.0441,265.6343,266.9422,264.8905,267.044,264.9975,262.5421,264.847,263.9046,266.3835,268.5257,267.4744,266.9819,266.0587,268.1451,266.3333,265.2661,267.4621,265.8387,265.8483,264.54,266.5845,265.6296,263.5758,267.103,266.2523,268.3185,266.7353,266.113,265.2878,266.9294,267.4081,267.6617,266.0711,266.2632,268.5512,266.2935,267.7433,266.3786,268.5648,267.4216,265.138,267.2199,265.8206,267.1245,265.0736,267.2336,266.4904,268.6374,267.5971,267.0905,266.1741,268.2671,266.0153,264.7136,266.7624,265.8072,267.2041,266.3611,268.432,266.8445,265.4557,267.032
"Alabama",2017,268.312,-.365403,.4909846,.097591,14.1128,.0798462,.0153339,.0106141,.5630857,.0579546,.0002959,.4822596,.0680026,.014504,1,22.53,.5660574,.3121424,.3786638,0,0,0,0,,268.312,269.1104,272.0281,266.5325,267.1365,269.9093,268.312,271.9217,269.1233,267.8962,270.3928,269.1104,270.4641,270.6857,273.1963,272.0281,265.6303,268.135,266.5325,268.3665,267.1365,269.9093,271.7359,270.4237,272.8477,271.9217,267.9558,270.3793,269.1233,268.9034,267.8962,270.3928,269.3696,271.6341,270.4641,271.5729,270.6857,273.1963,266.881,265.6303,268.135,268.3665,270.3197,272.6547,271.7359,271.1611,270.4237,272.8477,268.9541,267.9558,270.3793,268.9034,270.2695,269.3696,271.6341,271.5729,266.881,271.0587,270.3197,272.6547,271.1611,268.9541,270.2695,271.0587,270.2468,270.7634,268.8354,269.0262,271.468,270.2468,270.6585,269.4012,271.763,270.7634,267.8387,270.0631,268.8354,269.9462,269.0262,271.468,269.36,271.6496,270.6585,270.1866,269.4012,271.763,268.7762,267.8387,270.0631,269.9462,270.1473,269.36,271.6496,270.1866,268.7762,270.1473
