year,FIPS,profmean,pct,sepct,semean,diff,profmean_stnd,female,lep,sped,age,white,black,hispanic,asian,amind,unclass,freelunch,redlunch,misslunch,books_125,books_26p,books_multmiss,lang_nr,lang_st,lang_mt,lang_om,score_st_m1,score_m1,score_st_m2,score_m2,score_st_m3,score_m3,score_st_m4,score_m4,score_st_m5,score_m5,score_st_m6,score_m6,score_st_m7,score_m7,score_st_m8,score_m8,score_st_m9,score_m9,score_st_m10,score_m10,score_st_m11,score_m11,score_st_m12,score_m12,score_st_m13,score_m13,score_st_m14,score_m14,score_st_m15,score_m15,score_st_m16,score_m16,score_st_m17,score_m17,score_st_m18,score_m18,score_st_m19,score_m19,score_st_m20,score_m20,score_st_m21,score_m21,score_st_m22,score_m22,score_st_m23,score_m23,score_st_m24,score_m24,score_st_m25,score_m25,score_st_m26,score_m26,score_st_m27,score_m27,score_st_m28,score_m28,score_st_m29,score_m29,score_st_m30,score_m30,score_st_m31,score_m31,score_st_m32,score_m32,score_st_m33,score_m33,score_st_m34,score_m34,score_st_m35,score_m35,score_st_m36,score_m36,score_st_m37,score_m37,score_st_m38,score_m38,score_st_m39,score_m39,score_st_m40,score_m40,score_st_m41,score_m41,score_st_m42,score_m42,score_st_m43,score_m43,score_st_m44,score_m44,score_st_m45,score_m45,score_st_m46,score_m46,score_st_m47,score_m47,score_st_m48,score_m48,score_st_m49,score_m49,score_st_m50,score_m50,score_st_m51,score_m51,score_st_m52,score_m52,score_st_m53,score_m53,score_st_m54,score_m54,score_st_m55,score_m55,score_st_m56,score_m56,score_st_m57,score_m57,score_st_m58,score_m58,score_st_m59,score_m59,score_st_m60,score_m60,score_st_m61,score_m61,score_st_m62,score_m62,score_st_m63,score_m63,score_st_m64,score_m64
1992,Alabama,207.358,0,0,871.85767,-0.0009262,-0.1887416,0.4817995,0.0007994,0.0466492,10.09229,0.6148672,0.3127661,0.048052,0.0058448,0.01847,0,,,,0.1083897,0.8083604,0.0832499,0.8073974,0.1656723,0.0249876,0.0019427,-0.1887416,207.3585,-0.1739926,207.872,,,-0.2686309,204.5769,-0.2382514,205.6347,-0.1568098,208.4703,-0.2613124,204.8317,,,-0.1971766,207.0648,-0.2254621,206.08,-0.1494489,208.7266,-0.1763988,207.7883,,,,,,,,,-0.3097085,203.1466,-0.2366384,205.6908,-0.2890007,203.8677,-0.212674,206.5252,-0.311896,203.0705,-0.2328915,205.8213,,,,,,,,,-0.2434341,205.4542,-0.1729648,207.9078,-0.1924554,207.2292,-0.2056841,206.7686,-0.2276998,206.002,-0.153869,208.5727,,,,,,,,,,,,,-0.2837178,204.0516,-0.3346271,202.279,-0.2608416,204.8481,-0.2881437,203.8975,,,,,,,,,,,,,-0.2238961,206.1345,-0.2395791,205.5884,-0.1702874,208.001,-0.209279,206.6434,,,,,,,,,-0.3109439,203.1036,,,,,,,,,-0.2214167,206.2208,,,,
1994,Alabama,209.849,0.001,0.00075,16.11114,-6.84E-09,-0.0642021,0.4929731,0.0009024,0.0538004,10.04855,0.6331959,0.2786163,0.0574479,0.0088356,0.0217132,0.0001911,,,,0.0941257,0.8380327,0.0675889,0.8198178,0.1502454,0.0288757,0.0008084,-0.0642021,209.8495,-0.0686203,209.6956,,,-0.1439932,207.0713,-0.1064385,208.3789,-0.0461131,210.4793,-0.1358588,207.3545,,,-0.0949615,208.7785,-0.1127163,208.1603,-0.056425,210.1203,-0.0699784,209.6484,,,,,,,,,-0.1782066,205.8801,-0.1259547,207.6994,-0.1634549,206.3937,-0.091231,208.9084,-0.1793513,205.8402,-0.1220416,207.8356,,,,,,,,,-0.1337581,207.4277,-0.0826815,209.2061,-0.0889977,208.9861,-0.1020314,208.5323,-0.1140966,208.1122,-0.0598898,209.9996,,,,,,,,,,,,,-0.1629361,206.4117,-0.2023351,205.0399,-0.1496429,206.8746,-0.1667768,206.278,,,,,,,,,,,,,-0.1231249,207.7979,-0.1288414,207.5989,-0.0788555,209.3393,-0.1048622,208.4338,,,,,,,,,-0.1897823,205.477,,,,,,,,,-0.1196667,207.9183,,,,
1998,Alabama,210.921,0.001,0.0009,14.85648,-7.20E-09,-0.1141423,0.4862577,0.0015884,0.0567566,10.07555,0.6109959,0.3001672,0.0580841,0.0103327,0.02042,0,0.3870426,0.099002,0.0297885,0.0943782,0.8382611,0.0673608,0.8101166,0.1516699,0.0369687,0.0012449,-0.1141423,210.9208,-0.1004606,211.3971,-0.0742712,212.309,-0.1932792,208.1654,-0.153372,209.5549,-0.0875082,211.8481,-0.1816369,208.5707,-0.0723652,212.3754,-0.1265672,210.4882,-0.1415512,209.9664,-0.0804297,212.0946,-0.1009156,211.3813,-0.1330675,210.2618,-0.1123991,210.9815,-0.0563291,212.9337,-0.1058633,211.209,-0.2246988,207.0714,-0.1666252,209.0934,-0.210684,207.5594,-0.1321426,210.294,-0.2221842,207.159,-0.1587248,209.3685,-0.0967612,211.5259,-0.1135825,210.9403,-0.0575345,212.8918,-0.0712581,212.4139,-0.1625186,209.2364,-0.1066861,211.1804,-0.1201564,210.7114,-0.1254521,210.527,-0.142122,209.9466,-0.0829795,212.0058,-0.164833,209.1558,-0.115259,210.8819,-0.1327799,210.2718,-0.0997247,211.4228,-0.1468637,209.7815,-0.0920516,211.6899,-0.2032015,207.8199,-0.2466246,206.308,-0.1879248,208.3518,-0.2030484,207.8252,-0.133204,210.2571,-0.0819669,212.0411,-0.0897666,211.7695,-0.1023511,211.3313,-0.1127265,210.9701,-0.0581877,212.869,-0.1465713,209.7916,-0.1571771,209.4224,-0.1023906,211.3299,-0.12744,210.4578,-0.1518028,209.6095,-0.1695302,208.9923,-0.1189536,210.7533,-0.1362996,210.1493,-0.2275361,206.9726,-0.1219667,210.6483,-0.127286,210.4631,-0.0767449,212.2229,-0.102588,211.3231,-0.1426567,209.9279,-0.1588045,209.3657,-0.1171631,210.8156
2002,Alabama,206.88,0.001,0.00054,15.09143,-2.10E-09,-0.2912578,0.5051248,0.0097963,0.1120602,10.13859,0.6032379,0.3713225,0.0122132,0.0053151,0.0063906,0.0015207,0.4565817,0.0899338,0.1078818,0.4137556,0.5803018,0.0059426,0.7280505,0.1995365,0.066512,0.0059009,-0.2912578,206.88,-0.2634009,207.85,-0.179958,210.7553,-0.3625671,204.3972,-0.274239,207.4726,-0.2446725,208.502,-0.3411123,205.1442,-0.1916163,210.3494,-0.2691307,207.6505,-0.2487132,208.3614,-0.2259794,209.1529,-0.2588229,208.0094,-0.2418112,208.6017,-0.1681403,211.1667,-0.1492001,211.8262,-0.2077441,209.7878,-0.3414069,205.1339,-0.315782,206.0261,-0.3732247,204.0261,-0.241441,208.6146,-0.3258032,205.6772,-0.2960671,206.7126,-0.2018578,209.9928,-0.1826373,210.662,-0.1645707,211.291,-0.1887466,210.4493,-0.2543409,208.1654,-0.2327138,208.9184,-0.2625705,207.8789,-0.2228713,209.2611,-0.2450706,208.4882,-0.2226447,209.269,-0.2250307,209.1859,-0.2105496,209.6901,-0.241559,208.6104,-0.1489327,211.8355,-0.1986201,210.1055,-0.1795436,210.7697,-0.3079263,206.2997,-0.355675,204.6371,-0.3286961,205.5765,-0.2933458,206.8073,-0.1918212,210.3422,-0.1751139,210.924,-0.1965856,210.1763,-0.165081,211.2733,-0.1804217,210.7391,-0.1626135,211.3592,-0.2289354,209.05,-0.2488842,208.3554,-0.2273746,209.1043,-0.2199717,209.3621,-0.2048941,209.8871,-0.229079,209.045,-0.2132149,209.5973,-0.1803381,210.7421,-0.3233136,205.7639,-0.1742493,210.9541,-0.1874738,210.4936,-0.1707983,211.0742,-0.1633587,211.3332,-0.2242355,209.2136,-0.2104411,209.6939,-0.1704526,211.0862
2003,Alabama,207.084,0.001,0.00053,15.28505,1.84E-07,-0.2691742,0.4836109,0.0064639,0.0995703,10.1411,0.6015813,0.3689347,0.0124713,0.0062189,0.0088277,0.0019662,0.456939,0.0876539,0.0007484,0.3990189,0.5941328,0.0068483,0.6964029,0.2232399,0.0739376,0.0064196,-0.2691742,207.0838,-0.2412169,208.0573,-0.1814709,210.1375,-0.3436615,204.4903,-0.2648586,207.2341,-0.2217951,208.7335,-0.3152085,205.481,-0.1834809,210.0675,-0.2499011,207.7549,-0.2391898,208.1279,-0.2030264,209.387,-0.2378646,208.174,-0.2420208,208.0293,-0.18044,210.1734,-0.150518,211.2152,-0.2060493,209.2817,-0.3342755,204.8171,-0.296084,206.1469,-0.3531605,204.1596,-0.2308443,208.4184,-0.3121444,205.5877,-0.2688281,207.0959,-0.1950431,209.6649,-0.1851797,210.0084,-0.1559259,211.0269,-0.1812998,210.1435,-0.2468437,207.8614,-0.2126882,209.0506,-0.2449608,207.9269,-0.2122168,209.067,-0.236406,208.2248,-0.2006245,209.4706,-0.2357805,208.2466,-0.2105291,209.1258,-0.2419871,208.0304,-0.160756,210.8588,-0.2072166,209.2411,-0.1770138,210.2927,-0.2995517,206.0262,-0.3467355,204.3833,-0.3072698,205.7574,-0.2780349,206.7753,-0.1951215,209.6622,-0.1677876,210.6139,-0.191049,209.804,-0.1669156,210.6443,-0.1833979,210.0704,-0.1544038,211.0799,-0.220314,208.7851,-0.2426324,208.008,-0.2086729,209.1904,-0.2099784,209.1449,-0.2150934,208.9668,-0.2392324,208.1264,-0.2128098,209.0464,-0.1880194,209.9095,-0.3127226,205.5676,-0.1768413,210.2987,-0.1917425,209.7799,-0.1644947,210.7286,-0.1654618,210.6949,-0.2166615,208.9122,-0.2196616,208.8078,-0.1738495,210.4029
2005,Alabama,207.752,0.001,0.00064,15.13966,-2.19E-08,-0.2826277,0.4755881,0.0149065,0.1009498,10.1396,0.5786215,0.3809122,0.0189607,0.0080345,0.0123013,0.0011698,0.4621713,0.1022169,0.011202,0.416977,0.5803148,0.0027081,0.7222437,0.2071854,0.068674,0.0018969,-0.2826277,207.752,-0.2367232,209.3503,-0.1807829,211.2981,-0.3490637,205.4388,-0.276909,207.9512,-0.2357232,209.3852,-0.3349522,205.9302,-0.17507,211.497,-0.2414651,209.1852,-0.2333844,209.4666,-0.1991183,210.6597,-0.2363575,209.3631,-0.2372312,209.3327,-0.1789575,211.3616,-0.1503931,212.3562,-0.209992,210.2811,-0.338926,205.7918,-0.3019448,207.0795,-0.363311,204.9428,-0.2433086,209.121,-0.3301836,206.0962,-0.2894295,207.5152,-0.1833425,211.209,-0.1757899,211.4719,-0.1480162,212.4389,-0.1754733,211.483,-0.2376603,209.3177,-0.2048868,210.4588,-0.2386503,209.2832,-0.2068872,210.3892,-0.2331641,209.4743,-0.1999631,210.6303,-0.2305781,209.5643,-0.2062559,210.4112,-0.2398425,209.2417,-0.1596581,212.0336,-0.2101796,210.2745,-0.1819661,211.2569,-0.3045838,206.9876,-0.3561486,205.1922,-0.3183457,206.5084,-0.2968006,207.2586,-0.1829209,211.2236,-0.1566041,212.1399,-0.1811439,211.2855,-0.1578909,212.0951,-0.176203,211.4576,-0.149321,212.3935,-0.2116208,210.2244,-0.2352861,209.4004,-0.2032711,210.5151,-0.2074191,210.3707,-0.2102496,210.2721,-0.236798,209.3477,-0.2116536,210.2232,-0.1916831,210.9185,-0.3228708,206.3508,-0.1650054,211.8474,-0.1810734,211.288,-0.1553561,212.1834,-0.1588089,212.0632,-0.2100172,210.2802,-0.2179048,210.0056,-0.1637239,211.892
2007,Alabama,216.389,0.001,0.00053,14.14701,-5.62E-10,-0.097,0.4853927,0.0250956,0.0930671,10.10828,0.5761284,0.3705938,0.0308434,0.0147066,0.004419,0.0033089,0.4538278,0.0970356,0.0003107,0.4368314,0.5590343,0.0041343,0.6975288,0.2262682,0.0722513,0.0039517,-0.097,216.389,-0.0553708,217.8384,-0.0072541,219.5137,-0.1537191,214.4141,-0.0992988,216.3089,-0.0600062,217.677,-0.145964,214.6841,-0.0013754,219.7184,-0.0558555,217.8215,-0.059416,217.6976,-0.0262212,218.8533,-0.0558332,217.8223,-0.0556565,217.8285,-0.0124823,219.3317,0.0163131,220.3343,-0.0342224,218.5748,-0.151848,214.4792,-0.1165667,215.7077,-0.1678394,213.9225,-0.0724533,217.2436,-0.1490784,214.5757,-0.1104127,215.922,-0.0054562,219.5763,-0.0086291,219.4659,0.0191524,220.4332,-0.0020706,219.6942,-0.0596632,217.689,-0.0275555,218.8069,-0.0538796,217.8903,-0.0385694,218.4234,-0.0599525,217.6789,-0.0276863,218.8023,-0.0565188,217.7984,-0.0317223,218.6618,-0.0583033,217.7363,0.0027012,219.8604,-0.0412937,218.3285,-0.0129758,219.3145,-0.1244286,215.4339,-0.1687851,213.8895,-0.1327258,215.1451,-0.122636,215.4964,-0.0118983,219.352,0.0148172,220.2822,-0.0036211,219.6402,0.0051854,219.9469,-0.0093247,219.4417,0.0176813,220.3819,-0.0391982,218.4015,-0.0580878,217.7438,-0.0265855,218.8407,-0.0397345,218.3828,-0.0405847,218.3532,-0.0625408,217.5888,-0.0369408,218.4801,-0.027026,218.8253,-0.1424273,214.8073,0.0019297,219.8335,-0.010415,219.4037,0.0158322,220.3176,0.0040481,219.9073,-0.0382718,218.4338,-0.0479733,218.096,0.0029211,219.868
2009,Alabama,216.273,0.001,0.00057,14.01787,-3.76E-08,-0.0994484,0.4834836,0.0219654,0.0867861,10.09035,0.6120313,0.3273239,0.041352,0.0113492,0.0030433,0.0049002,0.4474535,0.0972854,0,0.4376225,0.5583986,0.0039788,0.7098275,0.2033643,0.0826007,0.0042075,-0.0994484,216.2734,-0.0874967,216.6895,-0.015094,219.2104,-0.1591525,214.1946,-0.1081354,215.9709,-0.0681302,217.3638,-0.1432394,214.7486,-0.0278505,218.7663,-0.0924468,216.5171,-0.0977764,216.3316,-0.0630381,217.5411,-0.0835551,216.8267,-0.0649747,217.4737,-0.026112,218.8268,0.0045966,219.896,-0.0382443,218.4044,-0.1631037,214.057,-0.127729,215.2887,-0.1689938,213.8519,-0.0850675,216.7741,-0.1530805,214.406,-0.1137551,215.7752,-0.0361964,218.4757,-0.041443,218.293,-0.0114118,219.3386,-0.0250669,218.8632,-0.1016444,216.1969,-0.0686245,217.3466,-0.0866732,216.7182,-0.0799658,216.9517,-0.0943061,216.4524,-0.0602348,217.6387,-0.0713058,217.2532,-0.0451552,218.1637,-0.0647183,217.4826,-0.0132089,219.2761,-0.0513858,217.9468,-0.0210926,219.0016,-0.1396039,214.8752,-0.1759888,213.6084,-0.1398067,214.8681,-0.1307563,215.1833,-0.0481739,218.0586,-0.0199265,219.0422,-0.0313486,218.6445,-0.0301097,218.6876,-0.0389873,218.3785,-0.0094867,219.4057,-0.0841347,216.8065,-0.0965812,216.3732,-0.0639733,217.5085,-0.0772131,217.0475,-0.0578991,217.72,-0.0745688,217.1396,-0.047511,218.0817,-0.0396047,218.357,-0.1537274,214.3835,-0.0368307,218.4536,-0.043934,218.2063,-0.0159608,219.1802,-0.0281506,218.7558,-0.0797973,216.9576,-0.0625893,217.5567,-0.0331233,218.5827
2011,Alabama,220.273,0.001,0.00054,13.87238,-1.88E-08,0.0073173,0.4941203,0.0229099,0.0779827,10.08186,0.5960627,0.3224363,0.0483405,0.0113831,0.014631,0.0071464,0.5111712,0.063875,0,0.4382498,0.5553441,0.0064061,0.7245086,0.1912781,0.0775637,0.0066496,0.0073173,220.2734,0.0295795,221.0485,0.1290997,224.5137,-0.0514861,218.226,-0.0103236,219.6592,0.0359493,221.2703,-0.0366763,218.7416,0.1106914,223.8727,0.022186,220.7911,0.0100289,220.3678,0.0513287,221.8058,0.0348865,221.2333,0.0754862,222.6469,0.1083915,223.7926,0.1456224,225.0889,0.1050528,223.6764,-0.0639602,217.7917,-0.0227681,219.2259,-0.0600523,217.9277,0.0112567,220.4106,-0.0558917,218.0726,-0.0102677,219.6611,0.0982156,223.4383,0.0867452,223.0389,0.123541,224.3201,0.1145784,224.008,0.0044333,220.173,0.0434197,221.5304,0.0301139,221.0672,0.0263485,220.9361,0.014551,220.5253,0.0553034,221.9442,0.060111,222.1116,0.0918958,223.2183,0.077346,222.7117,0.119593,224.1826,0.0817108,222.8636,0.1184688,224.1435,-0.0419897,218.5566,-0.0761966,217.3656,-0.0339072,218.838,-0.0353311,218.7885,0.0768143,222.6932,0.1109741,223.8826,0.1050292,223.6756,0.0960672,223.3635,0.0900308,223.1534,0.126387,224.4192,0.0204913,220.7321,0.011226,220.4095,0.0500249,221.7604,0.0300252,221.0641,0.0715934,222.5114,0.0577619,222.0298,0.0907677,223.179,0.0913885,223.2006,-0.055695,218.0794,0.0861431,223.018,0.0826268,222.8956,0.1167327,224.0831,0.0987363,223.4565,0.0264302,220.9389,0.0675599,222.371,0.0913145,223.198
2013,Alabama,218.576,0.001,0.00054,32.71511,2.58E-08,-0.0609407,0.4816371,0.0211411,0.0930786,10.07203,0.5978031,0.3021476,0.0652834,0.0150753,0.0078501,0.0118406,0.5131925,0.0736144,0,0.4495345,0.5450802,0.0053852,0.7043768,0.1994242,0.0912911,0.0049079,-0.0609407,218.576,-0.0463852,219.0827,0.067551,223.0498,-0.1214309,216.4698,-0.0632278,218.4963,-0.0354192,219.4646,-0.1000383,217.2146,0.0411783,222.1315,-0.0595177,218.6255,-0.050217,218.9493,-0.0266489,219.7699,-0.0418719,219.2399,0.0121593,221.1212,0.0609795,222.821,0.0817254,223.5433,0.0447462,222.2558,-0.1192801,216.5447,-0.0958527,217.3604,-0.128392,216.2274,-0.044672,219.1424,-0.1036983,217.0872,-0.0764894,218.0346,0.0233972,221.5124,0.0318975,221.8084,0.0521202,222.5125,0.044009,222.2301,-0.0614929,218.5567,-0.040141,219.3002,-0.0525274,218.8689,-0.0360518,219.4425,-0.0464214,219.0815,-0.0233525,219.8847,0.0106038,221.067,0.0260598,221.6051,0.0132172,221.158,0.0702235,223.1429,0.0359165,221.9483,0.0560599,222.6497,-0.1004507,217.2003,-0.1292589,216.1972,-0.1050132,217.0414,-0.0860963,217.7001,0.0168484,221.2844,0.0343106,221.8924,0.0290448,221.7091,0.0394492,222.0714,0.0342448,221.8901,0.0540029,222.5781,-0.0475106,219.0436,-0.0554982,218.7655,-0.0343516,219.5017,-0.0330332,219.5476,0.0198978,221.3906,0.0080837,220.9792,0.0244916,221.5506,0.0436933,222.2191,-0.1116963,216.8087,0.0244034,221.5475,0.0216603,221.452,0.0390083,222.056,0.0412253,222.1332,-0.0422942,219.2252,0.0158825,221.2508,0.0286324,221.6947
